#2022-04-11
#10:41:34
#Balayage par: iq-qfl
#Description Keyword: 
##Instrument: SympCCD@SymphonyCCD.lvclass; Function:AcqImage (Counts); Parameters: *BeforeWait(ms): 0;*AfterWait(ms): 0;  Lambda Factor: 0.00000; Lambda Source: Lambda@Triax320; Lambda Offset: 0.00000;Multiplier Source: GrooveRatio@Triax320; Multiplier Value: 0.00000; Y Bins: 5; X Start: 1; X End: 1024; Y Start: 1; Y End: 256; Integration Time(ms): 100; ADC1:  20 kHz Tab 1; Gain  2.0(x); Ccd Temp(degC): 23.408; Shutter Enable: True; Accumulation: 1; Noise Mode: Off; Noise Window Enabled: False; Window Width(ds): 1.000; Window Avg Samples: 1;
#SympCCD.XPixels               	SympCCD.Wavelenght(nm)        	SympCCD.Y Pix Row 1(Cnt)      	SympCCD.Y Pix Row 2(Cnt)      	SympCCD.Y Pix Row 3(Cnt)      	SympCCD.Y Pix Row 4(Cnt)      	SympCCD.Y Pix Row 5(Cnt)      
1E+0	NaN	1.187E+3	1.231E+3	1.278E+3	1.321E+3	1.39E+3
2E+0	NaN	1.176E+3	1.229E+3	1.27E+3	1.315E+3	1.361E+3
3E+0	NaN	1.19E+3	1.237E+3	1.278E+3	1.33E+3	1.38E+3
4E+0	NaN	1.181E+3	1.223E+3	1.281E+3	1.336E+3	1.371E+3
5E+0	NaN	1.182E+3	1.23E+3	1.29E+3	1.325E+3	1.379E+3
6E+0	NaN	1.18E+3	1.244E+3	1.276E+3	1.327E+3	1.37E+3
7E+0	NaN	1.187E+3	1.236E+3	1.277E+3	1.335E+3	1.38E+3
8E+0	NaN	1.187E+3	1.238E+3	1.292E+3	1.338E+3	1.382E+3
9E+0	NaN	1.194E+3	1.227E+3	1.28E+3	1.336E+3	1.386E+3
10E+0	NaN	1.191E+3	1.232E+3	1.281E+3	1.333E+3	1.374E+3
11E+0	NaN	1.191E+3	1.237E+3	1.286E+3	1.337E+3	1.376E+3
12E+0	NaN	1.186E+3	1.244E+3	1.279E+3	1.368E+3	1.388E+3
13E+0	NaN	1.188E+3	1.239E+3	1.288E+3	1.332E+3	1.382E+3
14E+0	NaN	1.179E+3	1.238E+3	1.28E+3	1.324E+3	1.384E+3
15E+0	NaN	1.185E+3	1.221E+3	1.271E+3	1.319E+3	1.368E+3
16E+0	NaN	1.171E+3	1.23E+3	1.279E+3	1.319E+3	1.366E+3
17E+0	NaN	1.187E+3	1.232E+3	1.274E+3	1.322E+3	1.375E+3
18E+0	NaN	1.185E+3	1.229E+3	1.275E+3	1.323E+3	1.385E+3
19E+0	NaN	1.186E+3	1.228E+3	1.284E+3	1.325E+3	1.379E+3
20E+0	NaN	1.179E+3	1.233E+3	1.275E+3	1.319E+3	1.381E+3
21E+0	NaN	1.181E+3	1.232E+3	1.276E+3	1.344E+3	1.382E+3
22E+0	NaN	1.183E+3	1.23E+3	1.286E+3	1.332E+3	1.378E+3
