#2021-12-08
#4:42:05 PM
#Balayage par: dphy-morrislab
#Description Keyword: 
#ScanTask Size: 131
###Échantillon: NV center DRG; #Matériaux: Diamond; #Objectif: 100x 0.75NA; #Hauteur fente d'entrée: 15 mm; #Hauteur fente de sortie: 15 mm; #Filtre ND 1: Vide; #Filtre ND 2: 2.0 OD; 
#Température: 293.00°K; #Filtre Entrée: Orange 550nm; #Détecteur: Photon Counter R2949; 
#Source d'excitation: Diode 532nm; #Puissance Laser: 100.00mW; #Pre-amplificateur: Aucun; #Autres: ; 

#Instrument: Triax@Triax320.lvclass; Function:Position (nm); Parameters: *BeforeWait(ms): 0;*AfterWait(ms): 0; ; Grating#: 1; Line Density(Grv/mm): 1800; Blaze: 400nm; Input Slit(mm): 0.200; Output Slit(mm): 0.400;
#Instrument: SR400@SR400.lvclass; Function:Read_Count (Arb); Parameters: *BeforeWait(ms): 200;*AfterWait(ms): 0; ; NbPeriod:1; Dwell(s)2.000000E-3; T Preset(s)1.000000E+0; Mode:A,B for T Preset
#
#Triax.Position(nm)            	SR400.Compte moy(ph)          
579.9874E+0	2.65E+3
580.9964E+0	2.823E+3
582.0046666667E+0	2.815E+3
583.0122666667E+0	2.755E+3
584.0190666667E+0	2.939E+3
584.9852E+0	3.362E+3
585.9906E+0	3.373E+3
586.9956E+0	3.426E+3
587.9996E+0	3.022E+3
589.0032E+0	3.235E+3
590.006E+0	3.319E+3
591.0079333333E+0	3.481E+3
592.0093333333E+0	3.573E+3
593.0100666667E+0	3.296E+3
594.01E+0	3.406E+3
595.0092E+0	3.336E+3
596.0077333333E+0	3.509E+3
597.0056E+0	3.476E+3
598.0026E+0	3.357E+3
598.9990666667E+0	3.556E+3
599.9948E+0	3.667E+3
600.9896E+0	3.617E+3
601.9839333333E+0	3.803E+3
603.0172E+0	3.612E+3
604.01E+0	3.883E+3
605.0021333333E+0	3.923E+3
605.9934666667E+0	3.797E+3
606.9841333333E+0	3.791E+3
608.0135333333E+0	3.508E+3
609.0028E+0	3.777E+3
609.9912E+0	3.775E+3
611.0182666667E+0	4.309E+3
612.0052666667E+0	4.203E+3
612.9914666667E+0	4.029E+3
614.0164666667E+0	3.951E+3
615.0012666667E+0	4.169E+3
615.9852E+0	3.823E+3
617.0077333333E+0	3.998E+3
617.9903333333E+0	4.092E+3
619.0113333333E+0	4.327E+3
619.9922E+0	4.29E+3
621.0118666667E+0	4.312E+3
621.9913333333E+0	4.259E+3
623.0090666667E+0	4.225E+3
623.9872E+0	4.532E+3
625.0034666667E+0	4.533E+3
626.0189333333E+0	4.356E+3
626.9948E+0	4.787E+3
628.0086666667E+0	4.386E+3
628.9828666667E+0	4.143E+3
629.9950666667E+0	4.923E+3
631.0066E+0	4.488E+3
632.0173333333E+0	4.968E+3
632.9885333333E+0	4.509E+3
633.9976E+0	4.947E+3
635.0058666667E+0	5.2E+3
636.0134666667E+0	5.21E+3
636.9814666667E+0	6.463E+3
637.9873333333E+0	7.795E+3
638.9924E+0	6.947E+3
639.9966666667E+0	6.049E+3
641E+0	5.958E+3
642.0026E+0	6.09E+3
643.0044E+0	5.637E+3
644.0052666667E+0	5.687E+3
645.0054666667E+0	5.578E+3
646.0047333333E+0	5.84E+3
647.0031333333E+0	5.815E+3
648.0007333333E+0	6.165E+3
648.9975333333E+0	6.185E+3
649.9935333333E+0	6.348E+3
650.9886666667E+0	6.322E+3
651.9829333333E+0	6.785E+3
653.0145333333E+0	6.171E+3
654.0070666667E+0	6.28E+3
654.9988666667E+0	6.53E+3
655.9896E+0	6.814E+3
657.0177333333E+0	7.302E+3
658.0070666667E+0	6.847E+3
658.9952E+0	7.523E+3
659.9828E+0	7.318E+3
661.0073333333E+0	6.849E+3
661.9929333333E+0	7.319E+3
663.0156666667E+0	6.946E+3
663.9997333333E+0	6.653E+3
664.9828666667E+0	6.538E+3
666.0028666667E+0	6.22E+3
666.9844E+0	6.705E+3
668.0025333333E+0	6.444E+3
668.9820666667E+0	6.252E+3
669.9986E+0	6.476E+3
671.014E+0	6.39E+3
671.9910666667E+0	6.5E+3
673.0046666667E+0	6.367E+3
674.0173333333E+0	5.897E+3
674.9917333333E+0	6.391E+3
676.0025333333E+0	6.51E+3
677.0124666667E+0	6.424E+3
677.9841333333E+0	6.338E+3
678.9922666667E+0	6.693E+3
679.9994E+0	6.313E+3
681.0056E+0	6.286E+3
682.0108E+0	6.305E+3
683.0152E+0	6.121E+3
684.0185333333E+0	6.369E+3
684.9838666667E+0	5.946E+3
685.9854666667E+0	6.097E+3
686.9858666667E+0	5.684E+3
687.9854666667E+0	5.633E+3
688.9841333333E+0	5.512E+3
689.9818E+0	5.58E+3
691.0156E+0	5.676E+3
692.0112E+0	5.321E+3
693.0058666667E+0	5.346E+3
693.9997333333E+0	5.274E+3
694.9925333333E+0	5.195E+3
695.9844E+0	4.711E+3
697.012E+0	4.955E+3
698.0018666667E+0	4.697E+3
698.9908666667E+0	4.512E+3
700.0156E+0	4.682E+3
701.0025333333E+0	4.505E+3
701.9884E+0	4.637E+3
703.0098666667E+0	4.561E+3
703.9938666667E+0	4.489E+3
705.0133333333E+0	4.32E+3
705.9953333333E+0	4.136E+3
707.0126666667E+0	4.195E+3
707.9927333333E+0	3.758E+3
709.008E+0	3.914E+3
709.986E+0	4.066E+3
