#2021-12-08
#5:03:57 PM
#Balayage par: dphy-morrislab
#Description Keyword: 
#ScanTask Size: 131
###Échantillon: NV centerboite 2 : J; #Matériaux: Diamond; #Objectif: 100x 0.75NA; #Hauteur fente d'entrée: 15 mm; #Hauteur fente de sortie: 15 mm; #Filtre ND 1: 0.4 OD; #Filtre ND 2: 1.0 OD; 
#Température: 293.00°K; #Filtre Entrée: Orange 550nm; #Détecteur: Photon Counter R2949; 
#Source d'excitation: Diode 532nm; #Puissance Laser: 100.00mW; #Pre-amplificateur: Aucun; #Autres: ; 

#Instrument: Triax@Triax320.lvclass; Function:Position (nm); Parameters: *BeforeWait(ms): 0;*AfterWait(ms): 0; ; Grating#: 1; Line Density(Grv/mm): 1800; Blaze: 400nm; Input Slit(mm): 0.200; Output Slit(mm): 0.400;
#Instrument: SR400@SR400.lvclass; Function:Read_Count (Arb); Parameters: *BeforeWait(ms): 200;*AfterWait(ms): 0; ; NbPeriod:1; Dwell(s)2.000000E-3; T Preset(s)1.000000E+0; Mode:A,B for T Preset
#
#Triax.Position(nm)            	SR400.Compte moy(ph)          
579.9874E+0	1.961E+3
580.9964E+0	2.019E+3
582.0046666667E+0	2.159E+3
583.0122666667E+0	2.142E+3
584.0190666667E+0	2.162E+3
584.9852E+0	2.312E+3
585.9906E+0	2.265E+3
586.9956E+0	2.332E+3
587.9996E+0	1.946E+3
589.0032E+0	2.225E+3
590.006E+0	2.241E+3
591.0079333333E+0	2.173E+3
592.0093333333E+0	2.259E+3
593.0100666667E+0	2.193E+3
594.01E+0	2.177E+3
595.0092E+0	2.12E+3
596.0077333333E+0	2.189E+3
597.0056E+0	2.204E+3
598.0026E+0	2.442E+3
598.9990666667E+0	2.492E+3
599.9948E+0	2.384E+3
600.9896E+0	2.496E+3
601.9839333333E+0	2.657E+3
603.0172E+0	2.293E+3
604.01E+0	2.585E+3
605.0021333333E+0	2.514E+3
605.9934666667E+0	2.662E+3
606.9841333333E+0	2.727E+3
608.0135333333E+0	2.55E+3
609.0028E+0	2.503E+3
609.9912E+0	2.51E+3
611.0182666667E+0	2.934E+3
612.0052666667E+0	2.964E+3
612.9914666667E+0	2.994E+3
614.0164666667E+0	2.816E+3
615.0012666667E+0	2.659E+3
615.9852E+0	2.696E+3
617.0077333333E+0	3.034E+3
617.9903333333E+0	2.892E+3
619.0113333333E+0	2.787E+3
619.9922E+0	3.175E+3
621.0118666667E+0	2.938E+3
621.9913333333E+0	3.063E+3
623.0090666667E+0	3.247E+3
623.9872E+0	3.421E+3
625.0034666667E+0	2.999E+3
626.0189333333E+0	2.964E+3
626.9948E+0	3.1E+3
628.0086666667E+0	3.3E+3
628.9828666667E+0	3.343E+3
629.9950666667E+0	3.272E+3
631.0066E+0	3.281E+3
632.0173333333E+0	3.221E+3
632.9885333333E+0	3.492E+3
633.9976E+0	3.472E+3
635.0058666667E+0	3.652E+3
636.0134666667E+0	4.024E+3
636.9814666667E+0	4.689E+3
637.9873333333E+0	5.983E+3
638.9924E+0	5.222E+3
639.9966666667E+0	4.416E+3
641E+0	4.794E+3
642.0026E+0	4.268E+3
643.0044E+0	4.19E+3
644.0052666667E+0	4.05E+3
645.0054666667E+0	4.111E+3
646.0047333333E+0	4.3E+3
647.0031333333E+0	4.271E+3
648.0007333333E+0	4.433E+3
648.9975333333E+0	4.658E+3
649.9935333333E+0	4.718E+3
650.9886666667E+0	4.502E+3
651.9829333333E+0	4.696E+3
653.0145333333E+0	4.954E+3
654.0070666667E+0	4.891E+3
654.9988666667E+0	5.111E+3
655.9896E+0	5.53E+3
657.0177333333E+0	5.497E+3
658.0070666667E+0	5.377E+3
658.9952E+0	5.392E+3
659.9828E+0	5.77E+3
661.0073333333E+0	5.847E+3
661.9929333333E+0	5.554E+3
663.0156666667E+0	5.098E+3
663.9997333333E+0	5.153E+3
664.9828666667E+0	4.914E+3
666.0028666667E+0	4.856E+3
666.9844E+0	5.206E+3
668.0025333333E+0	4.823E+3
668.9820666667E+0	4.882E+3
669.9986E+0	4.925E+3
671.014E+0	4.406E+3
671.9910666667E+0	4.633E+3
673.0046666667E+0	4.86E+3
674.0173333333E+0	4.768E+3
674.9917333333E+0	5.034E+3
676.0025333333E+0	4.62E+3
677.0124666667E+0	4.943E+3
677.9841333333E+0	5.261E+3
678.9922666667E+0	4.991E+3
679.9994E+0	5.207E+3
681.0056E+0	4.78E+3
682.0108E+0	5.063E+3
683.0152E+0	5.185E+3
684.0185333333E+0	4.684E+3
684.9838666667E+0	4.665E+3
685.9854666667E+0	4.803E+3
686.9858666667E+0	4.895E+3
687.9854666667E+0	4.469E+3
688.9841333333E+0	4.392E+3
689.9818E+0	4.237E+3
691.0156E+0	4.128E+3
692.0112E+0	4.337E+3
693.0058666667E+0	4.109E+3
693.9997333333E+0	4.119E+3
694.9925333333E+0	3.998E+3
695.9844E+0	3.922E+3
697.012E+0	4.012E+3
698.0018666667E+0	3.665E+3
698.9908666667E+0	3.656E+3
700.0156E+0	3.724E+3
701.0025333333E+0	3.571E+3
701.9884E+0	3.524E+3
703.0098666667E+0	3.342E+3
703.9938666667E+0	3.473E+3
705.0133333333E+0	3.462E+3
705.9953333333E+0	3.184E+3
707.0126666667E+0	3.338E+3
707.9927333333E+0	3.208E+3
709.008E+0	3.188E+3
709.986E+0	2.981E+3
