#2022-04-22
#17:01:08
#Balayage par: iq-qfl
#Description Keyword: 
#
#Instrument: Triax320@Triax320.lvclass; Function:Position (nm); Parameters: *BeforeWait(ms): 0;*AfterWait(ms): 0; ; Grating#: 3; Line Density(Grv/mm): 600; Blaze: 500nm; Input Slit(mm): 0.400; Output Slit(mm): 0.000;
#Instrument: Tools@Tools.lvclass; Function:Indice de Point (Points); Parameters: *BeforeWait(ms): 0;*AfterWait(ms): 0; 
#Instrument: SympCCD@SymphonyCCD.lvclass; Function:AcqImage (Counts); Parameters: *BeforeWait(ms): 0;*AfterWait(ms): 0;  Lambda Factor: 0.00000; Lambda Source: Lambda@Triax320; Lambda Offset: 0.00000;Multiplier Source: GrooveRatio@Triax320; Multiplier Value: 0.00000; Y Bins: 1; X Start: 1; X End: 1024; Y Start: 100; Y End: 160; Integration Time(ms): 30000; ADC1:  20 kHz Tab 1; Gain  2.0(x); Ccd Temp(degC): -125.139; Shutter Enable: True; Accumulation: 1; Noise Mode: One For Every Acq; Noise Window Enabled: False; Window Width(ds): 1.000; Window Avg Samples: 1;

#SympCCD.XPixels               	SympCCD.Wavelenght(nm)        	SympCCD.Y Pix Row 1(Cnt)      	SympCCD.Noise Y Pix Row 1(Cnt)	SympCCD.Corr Y Pix Row 1(Cnt) 
1E+0	547.0568E+0	1.236E+3	1.155E+3	81E+0
2E+0	547.1793E+0	1.235E+3	1.154E+3	81E+0
3E+0	547.3018E+0	1.242E+3	1.159E+3	83E+0
4E+0	547.4244E+0	1.244E+3	1.154E+3	90E+0
5E+0	547.5469E+0	1.246E+3	1.158E+3	88E+0
6E+0	547.6695E+0	1.252E+3	1.158E+3	94E+0
7E+0	547.792E+0	1.256E+3	1.158E+3	98E+0
8E+0	547.9146E+0	1.259E+3	1.158E+3	101E+0
9E+0	548.0371E+0	1.262E+3	1.158E+3	104E+0
10E+0	548.1597E+0	1.269E+3	1.163E+3	106E+0
11E+0	548.2822E+0	1.272E+3	1.158E+3	114E+0
12E+0	548.4048E+0	1.274E+3	1.16E+3	114E+0
13E+0	548.5274E+0	1.287E+3	1.158E+3	129E+0
14E+0	548.6499E+0	1.293E+3	1.157E+3	136E+0
15E+0	548.7725E+0	1.307E+3	1.156E+3	151E+0
16E+0	548.8951E+0	1.314E+3	1.161E+3	153E+0
17E+0	549.0176E+0	1.313E+3	1.159E+3	154E+0
18E+0	549.1402E+0	1.326E+3	1.158E+3	168E+0
19E+0	549.2628E+0	1.329E+3	1.155E+3	174E+0
20E+0	549.3853E+0	1.339E+3	1.159E+3	180E+0
21E+0	549.5079E+0	1.344E+3	1.159E+3	185E+0
22E+0	549.6305E+0	1.354E+3	1.159E+3	195E+0
23E+0	549.7531E+0	1.357E+3	1.162E+3	195E+0
24E+0	549.8756E+0	1.373E+3	1.158E+3	215E+0
25E+0	549.9982E+0	1.39E+3	1.162E+3	228E+0
26E+0	550.1208E+0	1.396E+3	1.159E+3	237E+0
27E+0	550.2434E+0	1.408E+3	1.16E+3	248E+0
28E+0	550.366E+0	1.41E+3	1.161E+3	249E+0
29E+0	550.4886E+0	1.433E+3	1.161E+3	272E+0
30E+0	550.6111E+0	1.45E+3	1.16E+3	290E+0
31E+0	550.7337E+0	1.463E+3	1.166E+3	297E+0
32E+0	550.8563E+0	1.487E+3	1.164E+3	323E+0
33E+0	550.9789E+0	1.501E+3	1.165E+3	336E+0
34E+0	551.1015E+0	1.532E+3	1.162E+3	370E+0
35E+0	551.2241E+0	1.549E+3	1.164E+3	385E+0
36E+0	551.3467E+0	1.571E+3	1.164E+3	407E+0
37E+0	551.4693E+0	1.597E+3	1.165E+3	432E+0
38E+0	551.5919E+0	1.617E+3	1.16E+3	457E+0
39E+0	551.7145E+0	1.647E+3	1.162E+3	485E+0
40E+0	551.8371E+0	1.674E+3	1.167E+3	507E+0
