#2022-05-02
#12:30:02
#Balayage par: iq-qfl
#Description Keyword: 
#
#Instrument: Triax320@Triax320.lvclass; Function:Position (nm); Parameters: *BeforeWait(ms): 0;*AfterWait(ms): 0; ; Grating#: 1; Line Density(Grv/mm): 1800; Blaze: 400nm; Input Slit(mm): 0.400; Output Slit(mm): 0.000;
#Instrument: Tools@Tools.lvclass; Function:Indice de Point (Points); Parameters: *BeforeWait(ms): 0;*AfterWait(ms): 0; 
#Instrument: SympCCD@SymphonyCCD.lvclass; Function:AcqImage (Counts); Parameters: *BeforeWait(ms): 0;*AfterWait(ms): 0;  Lambda Factor: 0.00000; Lambda Source: Lambda@Triax320; Lambda Offset: 0.00000;Multiplier Source: GrooveRatio@Triax320; Multiplier Value: 0.00000; Y Bins: 1; X Start: 1; X End: 1024; Y Start: 1; Y End: 256; Integration Time(ms): 30000; ADC1:  20 kHz Tab 1; Gain  2.0(x); Ccd Temp(degC): -101.907; Shutter Enable: True; Accumulation: 1; Noise Mode: Off; Noise Window Enabled: False; Window Width(ds): 1.000; Window Avg Samples: 1;

#SympCCD.XPixels               	SympCCD.Wavelenght(nm)        	SympCCD.Y Pix Row 1(Cnt)      
1E+0	555.1294E+0	1.077E+3
2E+0	555.1625E+0	1.079E+3
3E+0	555.1957E+0	1.083E+3
4E+0	555.2288E+0	1.079E+3
5E+0	555.262E+0	1.082E+3
6E+0	555.2951E+0	1.083E+3
7E+0	555.3282E+0	1.08E+3
8E+0	555.3614E+0	1.083E+3
9E+0	555.3945E+0	1.084E+3
10E+0	555.4277E+0	1.078E+3
11E+0	555.4608E+0	1.081E+3
12E+0	555.494E+0	1.083E+3
13E+0	555.5271E+0	1.08E+3
14E+0	555.5602E+0	1.079E+3
15E+0	555.5934E+0	1.08E+3
16E+0	555.6265E+0	1.081E+3
17E+0	555.6596E+0	1.084E+3
18E+0	555.6928E+0	1.081E+3
19E+0	555.7259E+0	1.086E+3
20E+0	555.759E+0	1.082E+3
21E+0	555.7922E+0	1.081E+3
22E+0	555.8253E+0	1.086E+3
23E+0	555.8584E+0	1.08E+3
24E+0	555.8916E+0	1.082E+3
25E+0	555.9247E+0	1.083E+3
26E+0	555.9578E+0	1.082E+3
27E+0	555.991E+0	1.082E+3
28E+0	556.0241E+0	1.082E+3
29E+0	556.0572E+0	1.086E+3
30E+0	556.0903E+0	1.082E+3
31E+0	556.1235E+0	1.084E+3
32E+0	556.1566E+0	1.084E+3
33E+0	556.1897E+0	1.085E+3
34E+0	556.2228E+0	1.081E+3
35E+0	556.256E+0	1.085E+3
36E+0	556.2891E+0	1.086E+3
37E+0	556.3222E+0	1.088E+3
38E+0	556.3553E+0	1.086E+3
39E+0	556.3884E+0	1.083E+3
40E+0	556.4215E+0	1.085E+3
41E+0	556.4547E+0	1.086E+3
42E+0	556.4878E+0	1.086E+3
43E+0	556.5209E+0	1.084E+3
44E+0	556.554E+0	1.086E+3
45E+0	556.5871E+0	1.085E+3
46E+0	556.6202E+0	1.084E+3
47E+0	556.6533E+0	1.081E+3
48E+0	556.6865E+0	1.085E+3
49E+0	556.7196E+0	1.087E+3
50E+0	556.7527E+0	1.081E+3
51E+0	556.7858E+0	1.085E+3
52E+0	556.8189E+0	1.088E+3
53E+0	556.852E+0	1.084E+3
54E+0	556.8851E+0	1.089E+3
55E+0	556.9182E+0	1.089E+3
56E+0	556.9513E+0	1.087E+3
57E+0	556.9844E+0	1.087E+3
58E+0	557.0175E+0	1.085E+3
59E+0	557.0506E+0	1.089E+3
60E+0	557.0837E+0	1.088E+3
61E+0	557.1168E+0	1.088E+3
62E+0	557.1499E+0	1.087E+3
63E+0	557.183E+0	1.087E+3
64E+0	557.2161E+0	1.087E+3
65E+0	557.2492E+0	1.089E+3
66E+0	557.2823E+0	1.087E+3
67E+0	557.3154E+0	1.088E+3
68E+0	557.3485E+0	1.09E+3
69E+0	557.3816E+0	1.087E+3
70E+0	557.4147E+0	1.086E+3
71E+0	557.4478E+0	1.088E+3
72E+0	557.4809E+0	1.09E+3
73E+0	557.514E+0	1.088E+3
74E+0	557.547E+0	1.088E+3
75E+0	557.5801E+0	1.092E+3
76E+0	557.6132E+0	1.088E+3
77E+0	557.6463E+0	1.088E+3
78E+0	557.6794E+0	1.091E+3
79E+0	557.7125E+0	1.086E+3
80E+0	557.7456E+0	1.089E+3
81E+0	557.7786E+0	1.091E+3
82E+0	557.8117E+0	1.089E+3
83E+0	557.8448E+0	1.089E+3
84E+0	557.8779E+0	1.088E+3
85E+0	557.911E+0	1.091E+3
86E+0	557.944E+0	1.091E+3
87E+0	557.9771E+0	1.089E+3
88E+0	558.0102E+0	1.089E+3
89E+0	558.0433E+0	1.091E+3
90E+0	558.0764E+0	1.09E+3
91E+0	558.1094E+0	1.093E+3
92E+0	558.1425E+0	1.09E+3
93E+0	558.1756E+0	1.09E+3
94E+0	558.2086E+0	1.09E+3
95E+0	558.2417E+0	1.092E+3
96E+0	558.2748E+0	1.089E+3
97E+0	558.3079E+0	1.093E+3
98E+0	558.3409E+0	1.093E+3
99E+0	558.374E+0	1.09E+3
100E+0	558.4071E+0	1.09E+3
101E+0	558.4401E+0	1.094E+3
102E+0	558.4732E+0	1.093E+3
103E+0	558.5062E+0	1.093E+3
104E+0	558.5393E+0	1.087E+3
105E+0	558.5724E+0	1.095E+3
106E+0	558.6054E+0	1.09E+3
107E+0	558.6385E+0	1.094E+3
108E+0	558.6716E+0	1.095E+3
109E+0	558.7046E+0	1.09E+3
110E+0	558.7377E+0	1.094E+3
111E+0	558.7707E+0	1.096E+3
112E+0	558.8038E+0	1.094E+3
113E+0	558.8368E+0	1.093E+3
114E+0	558.8699E+0	1.092E+3
115E+0	558.9029E+0	1.095E+3
116E+0	558.936E+0	1.091E+3
117E+0	558.9691E+0	1.093E+3
118E+0	559.0021E+0	1.092E+3
119E+0	559.0352E+0	1.093E+3
120E+0	559.0682E+0	1.092E+3
121E+0	559.1013E+0	1.097E+3
122E+0	559.1343E+0	1.096E+3
123E+0	559.1673E+0	1.091E+3
124E+0	559.2004E+0	1.094E+3
125E+0	559.2334E+0	1.093E+3
126E+0	559.2665E+0	1.092E+3
127E+0	559.2995E+0	1.094E+3
128E+0	559.3326E+0	1.097E+3
129E+0	559.3656E+0	1.094E+3
130E+0	559.3986E+0	1.095E+3
131E+0	559.4317E+0	1.094E+3
132E+0	559.4647E+0	1.095E+3
133E+0	559.4978E+0	1.092E+3
134E+0	559.5308E+0	1.094E+3
135E+0	559.5638E+0	1.094E+3
136E+0	559.5969E+0	1.093E+3
137E+0	559.6299E+0	1.096E+3
138E+0	559.6629E+0	1.093E+3
139E+0	559.696E+0	1.091E+3
140E+0	559.729E+0	1.095E+3
141E+0	559.762E+0	1.094E+3
142E+0	559.7951E+0	1.094E+3
143E+0	559.8281E+0	1.095E+3
144E+0	559.8611E+0	1.094E+3
145E+0	559.8941E+0	1.097E+3
146E+0	559.9272E+0	1.094E+3
147E+0	559.9602E+0	1.095E+3
148E+0	559.9932E+0	1.096E+3
149E+0	560.0262E+0	1.095E+3
150E+0	560.0593E+0	1.095E+3
151E+0	560.0923E+0	1.098E+3
152E+0	560.1253E+0	1.094E+3
153E+0	560.1583E+0	1.096E+3
154E+0	560.1913E+0	1.099E+3
155E+0	560.2244E+0	1.094E+3
156E+0	560.2574E+0	1.093E+3
157E+0	560.2904E+0	1.094E+3
158E+0	560.3234E+0	1.096E+3
159E+0	560.3564E+0	1.095E+3
160E+0	560.3894E+0	1.095E+3
161E+0	560.4224E+0	1.097E+3
162E+0	560.4554E+0	1.096E+3
163E+0	560.4885E+0	1.097E+3
164E+0	560.5215E+0	1.095E+3
165E+0	560.5545E+0	1.093E+3
166E+0	560.5875E+0	1.095E+3
167E+0	560.6205E+0	1.098E+3
168E+0	560.6535E+0	1.094E+3
169E+0	560.6865E+0	1.093E+3
170E+0	560.7195E+0	1.094E+3
171E+0	560.7525E+0	1.096E+3
172E+0	560.7855E+0	1.096E+3
173E+0	560.8185E+0	1.096E+3
174E+0	560.8515E+0	1.095E+3
175E+0	560.8845E+0	1.098E+3
176E+0	560.9175E+0	1.093E+3
177E+0	560.9505E+0	1.094E+3
178E+0	560.9835E+0	1.093E+3
179E+0	561.0165E+0	1.099E+3
180E+0	561.0495E+0	1.094E+3
181E+0	561.0825E+0	1.095E+3
182E+0	561.1155E+0	1.094E+3
183E+0	561.1485E+0	1.096E+3
184E+0	561.1815E+0	1.095E+3
185E+0	561.2144E+0	1.098E+3
186E+0	561.2474E+0	1.094E+3
187E+0	561.2804E+0	1.094E+3
188E+0	561.3134E+0	1.093E+3
189E+0	561.3464E+0	1.094E+3
190E+0	561.3794E+0	1.099E+3
191E+0	561.4124E+0	1.096E+3
192E+0	561.4453E+0	1.092E+3
193E+0	561.4783E+0	1.095E+3
194E+0	561.5113E+0	1.099E+3
195E+0	561.5443E+0	1.094E+3
196E+0	561.5773E+0	1.098E+3
197E+0	561.6103E+0	1.099E+3
198E+0	561.6432E+0	1.096E+3
199E+0	561.6762E+0	1.097E+3
200E+0	561.7092E+0	1.096E+3
201E+0	561.7422E+0	1.095E+3
202E+0	561.7751E+0	1.095E+3
203E+0	561.8081E+0	1.095E+3
204E+0	561.8411E+0	1.096E+3
205E+0	561.874E+0	1.097E+3
206E+0	561.907E+0	1.097E+3
207E+0	561.94E+0	1.098E+3
208E+0	561.9729E+0	1.094E+3
209E+0	562.0059E+0	1.097E+3
210E+0	562.0389E+0	1.103E+3
211E+0	562.0718E+0	1.094E+3
212E+0	562.1048E+0	1.095E+3
213E+0	562.1378E+0	1.095E+3
214E+0	562.1707E+0	1.095E+3
215E+0	562.2037E+0	1.095E+3
216E+0	562.2367E+0	1.096E+3
217E+0	562.2696E+0	1.097E+3
218E+0	562.3026E+0	1.096E+3
219E+0	562.3355E+0	1.096E+3
220E+0	562.3685E+0	1.097E+3
221E+0	562.4014E+0	1.098E+3
222E+0	562.4344E+0	1.095E+3
223E+0	562.4674E+0	1.101E+3
224E+0	562.5003E+0	1.096E+3
225E+0	562.5333E+0	1.096E+3
226E+0	562.5662E+0	1.1E+3
227E+0	562.5992E+0	1.096E+3
228E+0	562.6321E+0	1.094E+3
229E+0	562.6651E+0	1.093E+3
230E+0	562.698E+0	1.097E+3
231E+0	562.7309E+0	1.098E+3
232E+0	562.7639E+0	1.095E+3
233E+0	562.7968E+0	1.099E+3
234E+0	562.8298E+0	1.093E+3
235E+0	562.8627E+0	1.093E+3
236E+0	562.8957E+0	1.097E+3
237E+0	562.9286E+0	1.098E+3
238E+0	562.9615E+0	1.094E+3
239E+0	562.9945E+0	1.097E+3
240E+0	563.0274E+0	1.097E+3
241E+0	563.0603E+0	1.096E+3
242E+0	563.0933E+0	1.096E+3
243E+0	563.1262E+0	1.096E+3
244E+0	563.1592E+0	1.098E+3
245E+0	563.1921E+0	1.098E+3
246E+0	563.225E+0	1.094E+3
247E+0	563.2579E+0	1.099E+3
248E+0	563.2909E+0	1.097E+3
249E+0	563.3238E+0	1.097E+3
250E+0	563.3567E+0	1.098E+3
251E+0	563.3897E+0	1.094E+3
252E+0	563.4226E+0	1.097E+3
253E+0	563.4555E+0	1.097E+3
254E+0	563.4884E+0	1.096E+3
255E+0	563.5213E+0	1.097E+3
256E+0	563.5543E+0	1.097E+3
257E+0	563.5872E+0	1.097E+3
258E+0	563.6201E+0	1.099E+3
259E+0	563.653E+0	1.101E+3
260E+0	563.6859E+0	1.098E+3
261E+0	563.7189E+0	1.098E+3
262E+0	563.7518E+0	1.097E+3
263E+0	563.7847E+0	1.097E+3
264E+0	563.8176E+0	1.093E+3
265E+0	563.8505E+0	1.1E+3
266E+0	563.8834E+0	1.101E+3
267E+0	563.9163E+0	1.1E+3
268E+0	563.9492E+0	1.094E+3
269E+0	563.9822E+0	1.099E+3
270E+0	564.0151E+0	1.099E+3
271E+0	564.048E+0	1.093E+3
272E+0	564.0809E+0	1.098E+3
273E+0	564.1138E+0	1.095E+3
274E+0	564.1467E+0	1.097E+3
275E+0	564.1796E+0	1.099E+3
276E+0	564.2125E+0	1.095E+3
277E+0	564.2454E+0	1.095E+3
278E+0	564.2783E+0	1.096E+3
279E+0	564.3112E+0	1.096E+3
280E+0	564.3441E+0	1.098E+3
281E+0	564.377E+0	1.096E+3
282E+0	564.4099E+0	1.099E+3
283E+0	564.4428E+0	1.097E+3
284E+0	564.4757E+0	1.095E+3
285E+0	564.5085E+0	1.097E+3
286E+0	564.5414E+0	1.1E+3
287E+0	564.5743E+0	1.098E+3
288E+0	564.6072E+0	1.098E+3
289E+0	564.6401E+0	1.097E+3
290E+0	564.673E+0	1.099E+3
291E+0	564.7059E+0	1.095E+3
