#2022-05-02
#15:56:40
#Balayage par: iq-qfl
#Description Keyword: 
#
#Instrument: Triax320@Triax320.lvclass; Function:Position (nm); Parameters: *BeforeWait(ms): 0;*AfterWait(ms): 0; ; Grating#: 3; Line Density(Grv/mm): 600; Blaze: 500nm; Input Slit(mm): 1.000; Output Slit(mm): 0.000;
#Instrument: Tools@Tools.lvclass; Function:Indice de Point (Points); Parameters: *BeforeWait(ms): 0;*AfterWait(ms): 0; 
#Instrument: SympCCD@SymphonyCCD.lvclass; Function:AcqImage (Counts); Parameters: *BeforeWait(ms): 0;*AfterWait(ms): 0;  Lambda Factor: 0.00000; Lambda Source: Lambda@Triax320; Lambda Offset: 0.00000;Multiplier Source: GrooveRatio@Triax320; Multiplier Value: 0.00000; Y Bins: 1; X Start: 1; X End: 1024; Y Start: 1; Y End: 256; Integration Time(ms): 2000; ADC1:  20 kHz Tab 1; ; Ccd Temp(degC): -124.178; Shutter Enable: True; Accumulation: 1; Noise Mode: Off; Noise Window Enabled: False; Window Width(ds): 1.000; Window Avg Samples: 1;

#SympCCD.XPixels               	SympCCD.Wavelenght(nm)        	SympCCD.Y Pix Row 1(Cnt)      
1E+0	688.0678E+0	2.746E+3
2E+0	688.1884E+0	2.653E+3
3E+0	688.309E+0	2.626E+3
4E+0	688.4296E+0	2.697E+3
5E+0	688.5502E+0	2.733E+3
6E+0	688.6707E+0	2.712E+3
7E+0	688.7913E+0	2.66E+3
8E+0	688.9119E+0	2.762E+3
9E+0	689.0325E+0	2.622E+3
10E+0	689.1531E+0	2.696E+3
11E+0	689.2737E+0	2.759E+3
12E+0	689.3942E+0	2.702E+3
13E+0	689.5148E+0	2.585E+3
14E+0	689.6354E+0	2.741E+3
15E+0	689.756E+0	2.662E+3
16E+0	689.8766E+0	2.631E+3
17E+0	689.9972E+0	2.722E+3
18E+0	690.1178E+0	2.678E+3
19E+0	690.2384E+0	2.676E+3
20E+0	690.359E+0	2.71E+3
21E+0	690.4796E+0	2.7E+3
22E+0	690.6002E+0	2.671E+3
23E+0	690.7208E+0	2.773E+3
24E+0	690.8414E+0	2.784E+3
25E+0	690.962E+0	2.694E+3
26E+0	691.0826E+0	2.743E+3
27E+0	691.2032E+0	2.658E+3
28E+0	691.3238E+0	2.721E+3
29E+0	691.4444E+0	2.677E+3
30E+0	691.5651E+0	2.67E+3
31E+0	691.6857E+0	2.719E+3
32E+0	691.8063E+0	2.692E+3
33E+0	691.9269E+0	2.773E+3
34E+0	692.0475E+0	2.651E+3
35E+0	692.1681E+0	2.78E+3
36E+0	692.2887E+0	2.743E+3
37E+0	692.4094E+0	2.746E+3
38E+0	692.53E+0	2.682E+3
39E+0	692.6506E+0	2.745E+3
40E+0	692.7712E+0	2.617E+3
41E+0	692.8918E+0	2.721E+3
42E+0	693.0125E+0	2.742E+3
43E+0	693.1331E+0	2.785E+3
44E+0	693.2537E+0	2.684E+3
45E+0	693.3744E+0	2.789E+3
46E+0	693.495E+0	2.737E+3
47E+0	693.6156E+0	2.764E+3
48E+0	693.7362E+0	2.72E+3
49E+0	693.8569E+0	2.734E+3
50E+0	693.9775E+0	2.658E+3
51E+0	694.0981E+0	2.762E+3
52E+0	694.2188E+0	2.741E+3
53E+0	694.3394E+0	2.678E+3
54E+0	694.4601E+0	2.662E+3
55E+0	694.5807E+0	2.748E+3
56E+0	694.7013E+0	2.707E+3
57E+0	694.822E+0	2.75E+3
58E+0	694.9426E+0	2.655E+3
59E+0	695.0633E+0	2.74E+3
60E+0	695.1839E+0	2.721E+3
61E+0	695.3046E+0	2.684E+3
62E+0	695.4252E+0	2.692E+3
63E+0	695.5459E+0	2.754E+3
64E+0	695.6665E+0	2.675E+3
65E+0	695.7872E+0	2.736E+3
66E+0	695.9078E+0	2.74E+3
67E+0	696.0285E+0	2.707E+3
68E+0	696.1491E+0	2.589E+3
69E+0	696.2698E+0	2.724E+3
70E+0	696.3904E+0	2.659E+3
71E+0	696.5111E+0	2.751E+3
72E+0	696.6317E+0	2.626E+3
73E+0	696.7524E+0	2.711E+3
74E+0	696.8731E+0	2.664E+3
75E+0	696.9937E+0	2.696E+3
76E+0	697.1144E+0	2.634E+3
