#2022-08-18
#15:10:53
#Balayage par: iq-qfl
#Description Keyword: 
#ScanTask Size: 1001
##Instrument: Tools@Tools.lvclass; Function:Indice de Point (Points); Parameters: *BeforeWait(ms): 0;*AfterWait(ms): 0; 
#Instrument: Tools@Tools.lvclass; Function:AbsTime (ms); Parameters: *BeforeWait(ms): 0;*AfterWait(ms): 0; 
#
#Tools.Indice de points(Points)	Tools.Time(s)                 	Tools.Temps Abs(ms)           
0E+0	3.743694653453E+9	3.743694653453E+9
1E+0	3.743694653453E+9	3.743694653453E+9
2E+0	3.743694653453E+9	3.743694653453E+9
3E+0	3.743694653453E+9	3.743694653453E+9
4E+0	3.743694653455E+9	3.743694653455E+9
5E+0	3.743694653455E+9	3.743694653455E+9
6E+0	3.743694653455E+9	3.743694653455E+9
7E+0	3.743694653455E+9	3.743694653455E+9
8E+0	3.743694653455E+9	3.743694653455E+9
9E+0	3.743694653455E+9	3.743694653455E+9
10E+0	3.743694653455E+9	3.743694653455E+9
11E+0	3.743694653455E+9	3.743694653455E+9
12E+0	3.743694653455E+9	3.743694653455E+9
13E+0	3.743694653455E+9	3.743694653455E+9
14E+0	3.743694653455E+9	3.743694653455E+9
15E+0	3.743694653455E+9	3.743694653455E+9
16E+0	3.743694653455E+9	3.743694653455E+9
17E+0	3.743694653455E+9	3.743694653455E+9
18E+0	3.743694653455E+9	3.743694653455E+9
19E+0	3.743694653456E+9	3.743694653456E+9
20E+0	3.743694653456E+9	3.743694653456E+9
21E+0	3.743694653456E+9	3.743694653456E+9
22E+0	3.743694653456E+9	3.743694653456E+9
23E+0	3.743694653456E+9	3.743694653456E+9
24E+0	3.743694653456E+9	3.743694653456E+9
25E+0	3.743694653456E+9	3.743694653456E+9
26E+0	3.743694653456E+9	3.743694653456E+9
27E+0	3.743694653456E+9	3.743694653456E+9
28E+0	3.743694653456E+9	3.743694653456E+9
29E+0	3.743694653456E+9	3.743694653456E+9
30E+0	3.743694653456E+9	3.743694653456E+9
31E+0	3.743694653456E+9	3.743694653456E+9
32E+0	3.743694653456E+9	3.743694653456E+9
33E+0	3.743694653456E+9	3.743694653456E+9
34E+0	3.743694653456E+9	3.743694653456E+9
35E+0	3.743694653456E+9	3.743694653456E+9
36E+0	3.743694653456E+9	3.743694653456E+9
37E+0	3.743694653456E+9	3.743694653456E+9
38E+0	3.743694653456E+9	3.743694653457E+9
39E+0	3.743694653457E+9	3.743694653457E+9
40E+0	3.743694653457E+9	3.743694653457E+9
41E+0	3.743694653457E+9	3.743694653457E+9
42E+0	3.743694653457E+9	3.743694653457E+9
43E+0	3.743694653457E+9	3.743694653457E+9
44E+0	3.743694653457E+9	3.743694653457E+9
45E+0	3.743694653457E+9	3.743694653457E+9
46E+0	3.743694653457E+9	3.743694653457E+9
47E+0	3.743694653457E+9	3.743694653457E+9
48E+0	3.743694653457E+9	3.743694653457E+9
49E+0	3.743694653457E+9	3.743694653457E+9
50E+0	3.743694653457E+9	3.743694653457E+9
51E+0	3.743694653457E+9	3.743694653457E+9
52E+0	3.743694653457E+9	3.743694653457E+9
53E+0	3.743694653457E+9	3.743694653457E+9
54E+0	3.743694653457E+9	3.743694653457E+9
55E+0	3.743694653457E+9	3.743694653457E+9
56E+0	3.743694653457E+9	3.743694653457E+9
57E+0	3.743694653457E+9	3.743694653457E+9
58E+0	3.743694653457E+9	3.743694653457E+9
59E+0	3.743694653458E+9	3.743694653458E+9
60E+0	3.743694653458E+9	3.743694653458E+9
61E+0	3.743694653458E+9	3.743694653458E+9
62E+0	3.743694653458E+9	3.743694653458E+9
63E+0	3.743694653458E+9	3.743694653458E+9
64E+0	3.743694653458E+9	3.743694653458E+9
65E+0	3.743694653458E+9	3.743694653458E+9
66E+0	3.743694653458E+9	3.743694653458E+9
67E+0	3.743694653458E+9	3.743694653458E+9
68E+0	3.743694653458E+9	3.743694653458E+9
69E+0	3.743694653458E+9	3.743694653458E+9
70E+0	3.743694653458E+9	3.743694653458E+9
71E+0	3.743694653458E+9	3.743694653458E+9
72E+0	3.743694653458E+9	3.743694653458E+9
73E+0	3.743694653458E+9	3.743694653458E+9
74E+0	3.743694653458E+9	3.743694653458E+9
75E+0	3.743694653458E+9	3.743694653458E+9
76E+0	3.743694653458E+9	3.743694653458E+9
77E+0	3.743694653458E+9	3.743694653458E+9
78E+0	3.743694653458E+9	3.743694653458E+9
79E+0	3.743694653458E+9	3.743694653458E+9
80E+0	3.743694653458E+9	3.743694653458E+9
81E+0	3.743694653459E+9	3.743694653459E+9
82E+0	3.743694653459E+9	3.743694653459E+9
83E+0	3.743694653459E+9	3.743694653459E+9
84E+0	3.743694653459E+9	3.743694653459E+9
85E+0	3.743694653459E+9	3.743694653459E+9
86E+0	3.743694653459E+9	3.743694653459E+9
87E+0	3.743694653459E+9	3.743694653459E+9
88E+0	3.743694653459E+9	3.743694653459E+9
89E+0	3.743694653459E+9	3.743694653459E+9
90E+0	3.743694653459E+9	3.743694653459E+9
91E+0	3.743694653459E+9	3.743694653459E+9
92E+0	3.743694653459E+9	3.743694653459E+9
93E+0	3.743694653459E+9	3.743694653459E+9
94E+0	3.743694653459E+9	3.743694653459E+9
95E+0	3.743694653459E+9	3.743694653459E+9
96E+0	3.743694653459E+9	3.743694653459E+9
97E+0	3.743694653459E+9	3.743694653459E+9
98E+0	3.743694653459E+9	3.743694653459E+9
99E+0	3.743694653459E+9	3.743694653459E+9
100E+0	3.743694653459E+9	3.743694653459E+9
101E+0	3.743694653459E+9	3.743694653459E+9
102E+0	3.74369465346E+9	3.74369465346E+9
103E+0	3.74369465346E+9	3.74369465346E+9
104E+0	3.74369465346E+9	3.74369465346E+9
105E+0	3.74369465346E+9	3.74369465346E+9
106E+0	3.74369465346E+9	3.74369465346E+9
107E+0	3.74369465346E+9	3.74369465346E+9
108E+0	3.74369465346E+9	3.74369465346E+9
109E+0	3.74369465346E+9	3.74369465346E+9
110E+0	3.74369465346E+9	3.74369465346E+9
111E+0	3.74369465346E+9	3.74369465346E+9
112E+0	3.74369465346E+9	3.74369465346E+9
113E+0	3.74369465346E+9	3.74369465346E+9
114E+0	3.74369465346E+9	3.74369465346E+9
115E+0	3.74369465346E+9	3.74369465346E+9
