#2022-08-18
#15:27:02
#Balayage par: iq-qfl
#Description Keyword: 
#ScanTask Size: 1001
##Instrument: Tools@Tools.lvclass; Function:Indice de Point (Points); Parameters: *BeforeWait(ms): 0;*AfterWait(ms): 0; 
#Instrument: Tools@Tools.lvclass; Function:AbsTime (ms); Parameters: *BeforeWait(ms): 0;*AfterWait(ms): 0; 
#Instrument: ThorPM100A@ThorPM100A.lvclass; Function:Read Power (mW); Parameters: *BeforeWait(ms): 500;*AfterWait(ms): 0; Range: 1.861588E-3 (W); Autorange: Off; Wavelenght 530.80 (nm); Act Power: 4.680E-6 (W); Attenuation 0.00 (dB); Average Cnt: 2;
#
#Tools.Indice de points(Points)	Tools.Time(s)                 	Tools.Temps Abs(ms)           	ThorPM100A.Power(mW)          
0E+0	3.74369562252E+9	3.74369562252E+9	4.53330222E-6
1E+0	3.743695623025E+9	3.743695623025E+9	5.91190474E-6
2E+0	3.743695623528E+9	3.743695623528E+9	4.55418876E-6
3E+0	3.743695624034E+9	3.743695624034E+9	6.28788166E-6
4E+0	3.743695624538E+9	3.743695624538E+9	4.21998539E-6
5E+0	3.743695625041E+9	3.743695625041E+9	5.91188928E-6
6E+0	3.743695625544E+9	3.743695625544E+9	5.41059171E-6
7E+0	3.743695626048E+9	3.743695626048E+9	5.87011573E-6
8E+0	3.743695626552E+9	3.743695626553E+9	3.92757102E-6
9E+0	3.743695627056E+9	3.743695627056E+9	5.66124845E-6
10E+0	3.743695627559E+9	3.743695627559E+9	5.5985879E-6
11E+0	3.743695628062E+9	3.743695628062E+9	4.61684931E-6
12E+0	3.743695628566E+9	3.743695628566E+9	6.16256102E-6
13E+0	3.743695629069E+9	3.743695629069E+9	5.45236526E-6
14E+0	3.743695629573E+9	3.743695629573E+9	6.05812738E-6
15E+0	3.743695630075E+9	3.743695630075E+9	5.03461479E-6
16E+0	3.743695630579E+9	3.743695630579E+9	5.53592781E-6
17E+0	3.743695631082E+9	3.743695631082E+9	4.61686477E-6
18E+0	3.743695631586E+9	3.743695631586E+9	5.64036145E-6
19E+0	3.74369563209E+9	3.74369563209E+9	5.36881862E-6
20E+0	3.743695632592E+9	3.743695632592E+9	5.45236526E-6
21E+0	3.743695633097E+9	3.743695633097E+9	6.55942495E-6
22E+0	3.7436956336E+9	3.7436956336E+9	4.49152867E-6
23E+0	3.743695634103E+9	3.743695634103E+9	6.53852248E-6
24E+0	3.743695634607E+9	3.743695634607E+9	4.03200465E-6
25E+0	3.74369563511E+9	3.74369563511E+9	4.76307196E-6
26E+0	3.743695635612E+9	3.743695635612E+9	6.20431911E-6
27E+0	3.743695636116E+9	3.743695636116E+9	4.57507576E-6
28E+0	3.743695636619E+9	3.743695636619E+9	6.14165901E-6
29E+0	3.743695637122E+9	3.743695637122E+9	4.24088785E-6
30E+0	3.743695637627E+9	3.743695637627E+9	6.37142875E-6
31E+0	3.743695638139E+9	3.743695638139E+9	4.42886858E-6
32E+0	3.743695638642E+9	3.743695638642E+9	6.18344802E-6
33E+0	3.743695639151E+9	3.743695639151E+9	5.66124845E-6
34E+0	3.743695639656E+9	3.743695639656E+9	4.26177439E-6
35E+0	3.74369564016E+9	3.74369564016E+9	6.35054175E-6
