#2022-08-18
#15:30:03
#Balayage par: iq-qfl
#Description Keyword: 
#ScanTask Size: 1001
##Instrument: Tools@Tools.lvclass; Function:Indice de Point (Points); Parameters: *BeforeWait(ms): 0;*AfterWait(ms): 0; 
#Instrument: Tools@Tools.lvclass; Function:AbsTime (ms); Parameters: *BeforeWait(ms): 0;*AfterWait(ms): 0; 
#Instrument: ThorPM100A@ThorPM100A.lvclass; Function:Read Power (mW); Parameters: *BeforeWait(ms): 500;*AfterWait(ms): 0; Range: 1.861588E-5 (W); Autorange: On; Wavelenght 530.80 (nm); Act Power: 4.679E-6 (W); Attenuation 0.00 (dB); Average Cnt: 2;
#
#Tools.Indice de points(Points)	Tools.Time(s)                 	Tools.Temps Abs(ms)           	ThorPM100A.Power(mW)          
0E+0	3.743695803283E+9	3.743695803283E+9	5.68423184E-6
1E+0	3.743695803786E+9	3.743695803786E+9	4.77592084E-6
2E+0	3.74369580429E+9	3.74369580429E+9	6.31649391E-6
3E+0	3.743695804794E+9	3.743695804794E+9	4.65535959E-6
4E+0	3.743695805298E+9	3.743695805298E+9	6.09851668E-6
5E+0	3.743695805803E+9	3.743695805803E+9	5.15675038E-6
6E+0	3.743695806308E+9	3.743695806308E+9	5.98489851E-6
7E+0	3.743695806812E+9	3.743695806812E+9	5.30613761E-6
8E+0	3.743695807317E+9	3.743695807317E+9	6.1997207E-6
9E+0	3.74369580782E+9	3.74369580782E+9	4.62085336E-6
10E+0	3.743695808323E+9	3.743695808323E+9	6.41264842E-6
11E+0	3.743695808827E+9	3.743695808827E+9	5.69748727E-6
12E+0	3.74369580933E+9	3.74369580933E+9	5.62384594E-6
13E+0	3.743695809834E+9	3.743695809834E+9	5.88327339E-6
14E+0	3.743695810338E+9	3.743695810338E+9	5.23438939E-6
15E+0	3.743695810842E+9	3.743695810842E+9	6.38466508E-6
16E+0	3.743695811345E+9	3.743695811345E+9	4.77381673E-6
17E+0	3.743695811848E+9	3.743695811848E+9	5.30887201E-6
18E+0	3.74369581235E+9	3.74369581235E+9	6.36215191E-6
19E+0	3.743695812853E+9	3.743695812853E+9	4.62674461E-6
20E+0	3.743695813357E+9	3.743695813357E+9	6.26725978E-6
21E+0	3.74369581386E+9	3.74369581386E+9	4.81505549E-6
22E+0	3.743695814364E+9	3.743695814364E+9	5.55272982E-6
23E+0	3.743695814867E+9	3.743695814867E+9	5.83151404E-6
24E+0	3.74369581537E+9	3.74369581537E+9	4.82368205E-6
25E+0	3.743695815891E+9	3.743695815891E+9	6.40970302E-6
26E+0	3.743695816394E+9	3.743695816394E+9	4.77297499E-6
27E+0	3.743695816897E+9	3.743695816897E+9	6.24053882E-6
28E+0	3.743695817401E+9	3.743695817401E+9	4.62106436E-6
29E+0	3.743695817905E+9	3.743695817905E+9	6.40970347E-6
30E+0	3.743695818412E+9	3.743695818412E+9	5.90768059E-6
31E+0	3.743695818916E+9	3.743695818916E+9	5.16958517E-6
32E+0	3.743695819421E+9	3.743695819421E+9	5.63015828E-6
33E+0	3.743695819923E+9	3.743695819923E+9	5.97416783E-6
34E+0	3.743695820427E+9	3.743695820427E+9	4.88596152E-6
35E+0	3.743695820971E+9	3.743695820971E+9	6.60664091E-6
36E+0	3.743695821474E+9	3.743695821474E+9	4.84745806E-6
37E+0	3.743695821978E+9	3.743695821978E+9	6.01309284E-6
38E+0	3.743695822481E+9	3.743695822481E+9	6.63294168E-6
39E+0	3.743695822991E+9	3.743695822991E+9	5.02377588E-6
40E+0	3.743695823494E+9	3.743695823494E+9	5.6955937E-6
41E+0	3.743695823997E+9	3.743695823998E+9	5.51338462E-6
42E+0	3.743695824502E+9	3.743695824502E+9	6.56224574E-6
43E+0	3.743695825007E+9	3.743695825007E+9	5.64152015E-6
44E+0	3.74369582551E+9	3.74369582551E+9	5.10772634E-6
45E+0	3.743695826013E+9	3.743695826013E+9	6.60642991E-6
46E+0	3.743695826517E+9	3.743695826517E+9	4.85292821E-6
47E+0	3.74369582702E+9	3.74369582702E+9	6.41370025E-6
48E+0	3.743695827523E+9	3.743695827523E+9	5.65435448E-6
49E+0	3.743695828026E+9	3.743695828026E+9	5.11677399E-6
50E+0	3.743695828529E+9	3.743695828529E+9	6.20834726E-6
51E+0	3.743695829034E+9	3.743695829034E+9	4.94887172E-6
52E+0	3.743695829537E+9	3.743695829537E+9	6.65440211E-6
53E+0	3.743695830041E+9	3.743695830041E+9	5.33390994E-6
54E+0	3.743695830543E+9	3.743695830543E+9	5.84098234E-6
55E+0	3.743695831048E+9	3.743695831048E+9	4.99516045E-6
56E+0	3.743695831553E+9	3.743695831553E+9	6.64072604E-6
57E+0	3.743695832057E+9	3.743695832057E+9	5.81426184E-6
58E+0	3.743695832559E+9	3.743695832559E+9	5.19125661E-6
59E+0	3.743695833063E+9	3.743695833063E+9	6.63820128E-6
60E+0	3.743695833565E+9	3.743695833565E+9	5.1043603E-6
61E+0	3.743695834068E+9	3.743695834068E+9	6.47240358E-6
62E+0	3.743695834572E+9	3.743695834572E+9	5.6894919E-6
63E+0	3.743695835076E+9	3.743695835076E+9	6.18499189E-6
64E+0	3.74369583558E+9	3.74369583558E+9	5.80205779E-6
65E+0	3.743695836083E+9	3.743695836083E+9	5.38545919E-6
66E+0	3.743695836587E+9	3.743695836587E+9	6.61463582E-6
67E+0	3.743695837091E+9	3.743695837091E+9	4.94445339E-6
68E+0	3.743695837594E+9	3.743695837594E+9	6.55719577E-6
69E+0	3.743695838098E+9	3.743695838098E+9	4.90321418E-6
