#2022-09-01
#15:36:01
#Balayage par: iq-qfl
#Description Keyword: 
#
#Instrument: Triax320@Triax320.lvclass; Function:Position (nm); Parameters: *BeforeWait(ms): 0;*AfterWait(ms): 0; ; Grating#: 3; Line Density(Grv/mm): 600; Blaze: 500nm; Input Slit(mm): 0.400; Output Slit(mm): 0.000;
#Instrument: Tools@Tools.lvclass; Function:Indice de Point (Points); Parameters: *BeforeWait(ms): 0;*AfterWait(ms): 0; 
#Instrument: SympCCD@SymphonyCCD.lvclass; Function:AcqImage (Counts); Parameters: *BeforeWait(ms): 0;*AfterWait(ms): 0;  Lambda Factor: 0.00000; Lambda Source: Lambda@Triax320; Lambda Offset: 0.00000;Multiplier Source: GrooveRatio@Triax320; Multiplier Value: 0.00000; Y Bins: 1; X Start: 1; X End: 1024; Y Start: 1; Y End: 256; Integration Time(ms): 15000; ADC1:  20 kHz Tab 1; ; Ccd Temp(degC): -120.456; Shutter Enable: True; Accumulation: 1; Noise Mode: Off; Noise Window Enabled: False; Window Width(ds): 1.000; Window Avg Samples: 1;
#Instrument: TaikoLaser@TaikoLaser.lvclass; Function:Power (mW); Parameters: *BeforeWait(ms): 0;*AfterWait(ms): 0; Output Freq(kHz): 60000.00; Output Power(%): 100.00; KeyLock: OFF; OnOffLock: OFF; Laser Mode: CW; CW Power (mW): 23.00; Temp (C): 25.00; SoftLock: OFF; Interlock: OFF; Pulse Shape: Narrow Pulses; Laser Head: LDH-IB-532-T-P; Date: 21-06-22; Class: 3B; Protection: No; Serial: 1043930; Laser Type: TA_SHG; Laser Version: 0.0; Min. Frequ. [Hz]: 1; Max. Frequ. [Hz]: 100000000; Max. CW Power [mW]: 23000.000; Max. Pulse Power [mW]: 5000.000; Wavelength [nm]: 530.8; Max. Case Temp. [°C]: 56.0; Max. Driver Voltage [mV]: 40950; Max. LH Voltage [mV]: 19000; Current Consumption [mA]: 500; Calib. Warranty [h]: 2000; 
#Instrument: ThorPM100A@ThorPM100A.lvclass; Function:Read Power (mW); Parameters: *BeforeWait(ms): 0;*AfterWait(ms): 0; Range: 1.860E-6 (W); Autorange: Off; Wavelenght 530.80 (nm); Act Power: 1.959E-9 (W); Attenuation 0.00 (dB); Average Cnt: 10;

#SympCCD.XPixels               	SympCCD.Wavelenght(nm)        	SympCCD.Y Pix Row 1(Cnt)      
1E+0	567.0759E+0	3.515E+3
2E+0	567.1982E+0	3.468E+3
3E+0	567.3205E+0	3.518E+3
4E+0	567.4428E+0	3.522E+3
5E+0	567.565E+0	3.556E+3
6E+0	567.6873E+0	3.649E+3
7E+0	567.8096E+0	3.418E+3
8E+0	567.9319E+0	3.623E+3
9E+0	568.0542E+0	3.588E+3
10E+0	568.1765E+0	3.546E+3
11E+0	568.2988E+0	3.536E+3
12E+0	568.4211E+0	3.549E+3
13E+0	568.5434E+0	3.668E+3
14E+0	568.6656E+0	3.591E+3
15E+0	568.7879E+0	3.464E+3
16E+0	568.9102E+0	3.538E+3
17E+0	569.0326E+0	3.664E+3
18E+0	569.1549E+0	3.64E+3
19E+0	569.2772E+0	3.441E+3
20E+0	569.3995E+0	3.545E+3
21E+0	569.5218E+0	3.587E+3
22E+0	569.6441E+0	3.497E+3
23E+0	569.7664E+0	3.525E+3
24E+0	569.8887E+0	3.62E+3
25E+0	570.011E+0	3.582E+3
26E+0	570.1333E+0	3.602E+3
27E+0	570.2557E+0	3.482E+3
28E+0	570.378E+0	3.569E+3
29E+0	570.5003E+0	3.622E+3
30E+0	570.6226E+0	3.552E+3
31E+0	570.745E+0	3.492E+3
32E+0	570.8673E+0	3.623E+3
33E+0	570.9896E+0	3.548E+3
34E+0	571.1119E+0	3.632E+3
35E+0	571.2343E+0	3.605E+3
36E+0	571.3566E+0	3.558E+3
37E+0	571.4789E+0	3.643E+3
38E+0	571.6013E+0	3.585E+3
39E+0	571.7236E+0	3.531E+3
40E+0	571.8459E+0	3.514E+3
41E+0	571.9683E+0	3.602E+3
42E+0	572.0906E+0	3.532E+3
43E+0	572.213E+0	3.507E+3
44E+0	572.3353E+0	3.444E+3
45E+0	572.4577E+0	3.525E+3
46E+0	572.58E+0	3.643E+3
47E+0	572.7024E+0	3.611E+3
48E+0	572.8247E+0	3.586E+3
49E+0	572.9471E+0	3.575E+3
50E+0	573.0694E+0	3.508E+3
51E+0	573.1918E+0	3.584E+3
52E+0	573.3141E+0	3.413E+3
53E+0	573.4365E+0	3.605E+3
54E+0	573.5589E+0	3.467E+3
55E+0	573.6812E+0	3.559E+3
56E+0	573.8036E+0	3.541E+3
57E+0	573.926E+0	3.559E+3
58E+0	574.0483E+0	3.541E+3
59E+0	574.1707E+0	3.572E+3
60E+0	574.2931E+0	3.517E+3
61E+0	574.4154E+0	3.609E+3
62E+0	574.5378E+0	3.454E+3
63E+0	574.6602E+0	3.528E+3
64E+0	574.7826E+0	3.495E+3
65E+0	574.9049E+0	3.498E+3
66E+0	575.0273E+0	3.581E+3
67E+0	575.1497E+0	3.467E+3
68E+0	575.2721E+0	3.5E+3
69E+0	575.3945E+0	3.492E+3
70E+0	575.5169E+0	3.503E+3
71E+0	575.6392E+0	3.592E+3
72E+0	575.7616E+0	3.448E+3
73E+0	575.884E+0	3.524E+3
74E+0	576.0064E+0	3.513E+3
75E+0	576.1288E+0	3.447E+3
76E+0	576.2512E+0	3.564E+3
77E+0	576.3736E+0	3.412E+3
78E+0	576.496E+0	3.528E+3
79E+0	576.6184E+0	3.477E+3
80E+0	576.7408E+0	3.459E+3
81E+0	576.8632E+0	3.464E+3
82E+0	576.9856E+0	3.368E+3
83E+0	577.108E+0	3.424E+3
84E+0	577.2304E+0	3.386E+3
85E+0	577.3528E+0	3.385E+3
86E+0	577.4752E+0	3.39E+3
87E+0	577.5976E+0	3.331E+3
88E+0	577.7201E+0	3.268E+3
89E+0	577.8425E+0	3.377E+3
90E+0	577.9649E+0	3.317E+3
91E+0	578.0873E+0	3.348E+3
92E+0	578.2097E+0	3.233E+3
93E+0	578.3321E+0	3.286E+3
94E+0	578.4546E+0	3.344E+3
95E+0	578.577E+0	3.214E+3
96E+0	578.6994E+0	3.276E+3
97E+0	578.8218E+0	3.286E+3
98E+0	578.9443E+0	3.312E+3
99E+0	579.0667E+0	3.24E+3
100E+0	579.1891E+0	3.309E+3
101E+0	579.3116E+0	3.211E+3
102E+0	579.434E+0	3.179E+3
103E+0	579.5564E+0	3.129E+3
104E+0	579.6789E+0	3.208E+3
105E+0	579.8013E+0	3.233E+3
106E+0	579.9237E+0	3.185E+3
107E+0	580.0462E+0	3.157E+3
108E+0	580.1686E+0	3.2E+3
109E+0	580.2911E+0	3.155E+3
110E+0	580.4135E+0	3.212E+3
111E+0	580.5359E+0	3.125E+3
112E+0	580.6584E+0	3.173E+3
113E+0	580.7808E+0	3.186E+3
