#2022-09-01
#16:16:12
#Balayage par: iq-qfl
#Description Keyword: 
#
#Instrument: Triax320@Triax320.lvclass; Function:Position (nm); Parameters: *BeforeWait(ms): 0;*AfterWait(ms): 0; ; Grating#: 1; Line Density(Grv/mm): 1800; Blaze: 400nm; Input Slit(mm): 0.400; Output Slit(mm): 0.000;
#Instrument: Tools@Tools.lvclass; Function:Indice de Point (Points); Parameters: *BeforeWait(ms): 0;*AfterWait(ms): 0; 
#Instrument: SympCCD@SymphonyCCD.lvclass; Function:AcqImage (Counts); Parameters: *BeforeWait(ms): 0;*AfterWait(ms): 0;  Lambda Factor: 0.00000; Lambda Source: Lambda@Triax320; Lambda Offset: 0.00000;Multiplier Source: GrooveRatio@Triax320; Multiplier Value: 0.00000; Y Bins: 1; X Start: 1; X End: 1024; Y Start: 1; Y End: 256; Integration Time(ms): 10000; ADC1:  20 kHz Tab 1; ; Ccd Temp(degC): -120.456; Shutter Enable: True; Accumulation: 3; Noise Mode: Off; Noise Window Enabled: False; Window Width(ds): 1.000; Window Avg Samples: 1;
#Instrument: TaikoLaser@TaikoLaser.lvclass; Function:Power (mW); Parameters: *BeforeWait(ms): 0;*AfterWait(ms): 0; Output Freq(kHz): 60000.00; Output Power(%): 100.00; KeyLock: OFF; OnOffLock: OFF; Laser Mode: CW; CW Power (mW): 23.00; Temp (C): 25.00; SoftLock: OFF; Interlock: OFF; Pulse Shape: Narrow Pulses; Laser Head: LDH-IB-532-T-P; Date: 21-06-22; Class: 3B; Protection: No; Serial: 1043930; Laser Type: TA_SHG; Laser Version: 0.0; Min. Frequ. [Hz]: 1; Max. Frequ. [Hz]: 100000000; Max. CW Power [mW]: 23000.000; Max. Pulse Power [mW]: 5000.000; Wavelength [nm]: 530.8; Max. Case Temp. [°C]: 56.0; Max. Driver Voltage [mV]: 40950; Max. LH Voltage [mV]: 19000; Current Consumption [mA]: 500; Calib. Warranty [h]: 2000; 
#Instrument: ThorPM100A@ThorPM100A.lvclass; Function:Read Power (mW); Parameters: *BeforeWait(ms): 0;*AfterWait(ms): 0; Range: 186.158E-6 (W); Autorange: Off; Wavelenght 530.80 (nm); Act Power: 3.390E-6 (W); Attenuation 0.00 (dB); Average Cnt: 10;

#SympCCD.XPixels               	SympCCD.Wavelenght(nm)        	SympCCD.Y Pix Row 1  Acq 1(Cnt)	SympCCD.Y Pix Row 1  Acq 2(Cnt)	SympCCD.Y Pix Row 1  Acq 3(Cnt)	SympCCD.Y Pix Row 1  Avrg(Cnt)
1E+0	622.2158E+0	1.113E+3	1.118E+3	1.118E+3	1.116333333333E+3
2E+0	622.2468E+0	1.116E+3	1.114E+3	1.112E+3	1.114E+3
3E+0	622.2779E+0	1.121E+3	1.117E+3	1.117E+3	1.118333333333E+3
4E+0	622.3089E+0	1.116E+3	1.118E+3	1.115E+3	1.116333333333E+3
5E+0	622.34E+0	1.117E+3	1.114E+3	1.116E+3	1.115666666667E+3
6E+0	622.371E+0	1.113E+3	1.119E+3	1.114E+3	1.115333333333E+3
7E+0	622.4021E+0	1.116E+3	1.122E+3	1.117E+3	1.118333333333E+3
8E+0	622.4331E+0	1.118E+3	1.118E+3	1.116E+3	1.117333333333E+3
9E+0	622.4641E+0	1.121E+3	1.117E+3	1.121E+3	1.119666666667E+3
10E+0	622.4952E+0	1.117E+3	1.117E+3	1.116E+3	1.116666666667E+3
11E+0	622.5262E+0	1.114E+3	1.121E+3	1.118E+3	1.117666666667E+3
12E+0	622.5573E+0	1.117E+3	1.121E+3	1.122E+3	1.12E+3
13E+0	622.5883E+0	1.115E+3	1.12E+3	1.117E+3	1.117333333333E+3
14E+0	622.6193E+0	1.114E+3	1.118E+3	1.117E+3	1.116333333333E+3
15E+0	622.6504E+0	1.115E+3	1.119E+3	1.112E+3	1.115333333333E+3
16E+0	622.6814E+0	1.118E+3	1.121E+3	1.113E+3	1.117333333333E+3
17E+0	622.7124E+0	1.114E+3	1.118E+3	1.116E+3	1.116E+3
18E+0	622.7435E+0	1.116E+3	1.12E+3	1.117E+3	1.117666666667E+3
19E+0	622.7745E+0	1.115E+3	1.12E+3	1.123E+3	1.119333333333E+3
20E+0	622.8055E+0	1.118E+3	1.117E+3	1.117E+3	1.117333333333E+3
21E+0	622.8366E+0	1.114E+3	1.121E+3	1.117E+3	1.117333333333E+3
22E+0	622.8676E+0	1.116E+3	1.12E+3	1.116E+3	1.117333333333E+3
23E+0	622.8986E+0	1.12E+3	1.12E+3	1.116E+3	1.118666666667E+3
24E+0	622.9296E+0	1.117E+3	1.121E+3	1.116E+3	1.118E+3
25E+0	622.9607E+0	1.116E+3	1.123E+3	1.12E+3	1.119666666667E+3
26E+0	622.9917E+0	1.118E+3	1.122E+3	1.117E+3	1.119E+3
27E+0	623.0227E+0	1.115E+3	1.124E+3	1.119E+3	1.119333333333E+3
28E+0	623.0537E+0	1.121E+3	1.122E+3	1.123E+3	1.122E+3
29E+0	623.0848E+0	1.119E+3	1.124E+3	1.118E+3	1.120333333333E+3
30E+0	623.1158E+0	1.119E+3	1.116E+3	1.118E+3	1.117666666667E+3
31E+0	623.1468E+0	1.121E+3	1.124E+3	1.121E+3	1.122E+3
32E+0	623.1778E+0	1.118E+3	1.122E+3	1.12E+3	1.12E+3
33E+0	623.2088E+0	1.123E+3	1.121E+3	1.121E+3	1.121666666667E+3
34E+0	623.2398E+0	1.119E+3	1.119E+3	1.118E+3	1.118666666667E+3
35E+0	623.2709E+0	1.117E+3	1.121E+3	1.121E+3	1.119666666667E+3
36E+0	623.3019E+0	1.12E+3	1.122E+3	1.121E+3	1.121E+3
37E+0	623.3329E+0	1.119E+3	1.119E+3	1.124E+3	1.120666666667E+3
38E+0	623.3639E+0	1.12E+3	1.123E+3	1.123E+3	1.122E+3
39E+0	623.3949E+0	1.117E+3	1.12E+3	1.118E+3	1.118333333333E+3
40E+0	623.4259E+0	1.117E+3	1.12E+3	1.115E+3	1.117333333333E+3
41E+0	623.4569E+0	1.12E+3	1.12E+3	1.122E+3	1.120666666667E+3
42E+0	623.4879E+0	1.119E+3	1.124E+3	1.115E+3	1.119333333333E+3
43E+0	623.5189E+0	1.123E+3	1.121E+3	1.122E+3	1.122E+3
44E+0	623.5499E+0	1.123E+3	1.122E+3	1.121E+3	1.122E+3
45E+0	623.5809E+0	1.118E+3	1.119E+3	1.116E+3	1.117666666667E+3
46E+0	623.6119E+0	1.123E+3	1.122E+3	1.122E+3	1.122333333333E+3
47E+0	623.6429E+0	1.124E+3	1.125E+3	1.118E+3	1.122333333333E+3
48E+0	623.6739E+0	1.121E+3	1.125E+3	1.123E+3	1.123E+3
49E+0	623.7049E+0	1.124E+3	1.121E+3	1.122E+3	1.122333333333E+3
50E+0	623.7359E+0	1.124E+3	1.121E+3	1.12E+3	1.121666666667E+3
51E+0	623.7669E+0	1.125E+3	1.122E+3	1.121E+3	1.122666666667E+3
52E+0	623.7979E+0	1.117E+3	1.122E+3	1.117E+3	1.118666666667E+3
53E+0	623.8289E+0	1.13E+3	1.129E+3	1.127E+3	1.128666666667E+3
54E+0	623.8599E+0	1.122E+3	1.12E+3	1.122E+3	1.121333333333E+3
55E+0	623.8909E+0	1.122E+3	1.124E+3	1.122E+3	1.122666666667E+3
56E+0	623.9219E+0	1.121E+3	1.119E+3	1.118E+3	1.119333333333E+3
57E+0	623.9529E+0	1.122E+3	1.123E+3	1.126E+3	1.123666666667E+3
58E+0	623.9839E+0	1.126E+3	1.129E+3	1.124E+3	1.126333333333E+3
59E+0	624.0149E+0	1.12E+3	1.122E+3	1.126E+3	1.122666666667E+3
60E+0	624.0459E+0	1.123E+3	1.125E+3	1.118E+3	1.122E+3
61E+0	624.0768E+0	1.123E+3	1.124E+3	1.126E+3	1.124333333333E+3
62E+0	624.1078E+0	1.12E+3	1.122E+3	1.121E+3	1.121E+3
63E+0	624.1388E+0	1.123E+3	1.121E+3	1.123E+3	1.122333333333E+3
64E+0	624.1698E+0	1.124E+3	1.126E+3	1.124E+3	1.124666666667E+3
65E+0	624.2008E+0	1.123E+3	1.125E+3	1.126E+3	1.124666666667E+3
66E+0	624.2318E+0	1.121E+3	1.125E+3	1.128E+3	1.124666666667E+3
67E+0	624.2627E+0	1.124E+3	1.123E+3	1.121E+3	1.122666666667E+3
68E+0	624.2937E+0	1.128E+3	1.125E+3	1.129E+3	1.127333333333E+3
69E+0	624.3247E+0	1.128E+3	1.123E+3	1.125E+3	1.125333333333E+3
70E+0	624.3557E+0	1.123E+3	1.124E+3	1.121E+3	1.122666666667E+3
71E+0	624.3866E+0	1.121E+3	1.127E+3	1.124E+3	1.124E+3
72E+0	624.4176E+0	1.126E+3	1.128E+3	1.128E+3	1.127333333333E+3
73E+0	624.4486E+0	1.124E+3	1.129E+3	1.126E+3	1.126333333333E+3
74E+0	624.4796E+0	1.124E+3	1.123E+3	1.12E+3	1.122333333333E+3
75E+0	624.5105E+0	1.125E+3	1.124E+3	1.122E+3	1.123666666667E+3
76E+0	624.5415E+0	1.126E+3	1.126E+3	1.123E+3	1.125E+3
77E+0	624.5725E+0	1.118E+3	1.126E+3	1.123E+3	1.122333333333E+3
78E+0	624.6034E+0	1.124E+3	1.126E+3	1.124E+3	1.124666666667E+3
79E+0	624.6344E+0	1.126E+3	1.127E+3	1.127E+3	1.126666666667E+3
80E+0	624.6654E+0	1.127E+3	1.127E+3	1.123E+3	1.125666666667E+3
81E+0	624.6963E+0	1.124E+3	1.124E+3	1.122E+3	1.123333333333E+3
82E+0	624.7273E+0	1.126E+3	1.129E+3	1.128E+3	1.127666666667E+3
83E+0	624.7582E+0	1.122E+3	1.13E+3	1.12E+3	1.124E+3
84E+0	624.7892E+0	1.128E+3	1.127E+3	1.13E+3	1.128333333333E+3
85E+0	624.8202E+0	1.128E+3	1.13E+3	1.13E+3	1.129333333333E+3
86E+0	624.8511E+0	1.126E+3	1.129E+3	1.124E+3	1.126333333333E+3
87E+0	624.8821E+0	1.126E+3	1.125E+3	1.123E+3	1.124666666667E+3
88E+0	624.913E+0	1.127E+3	1.13E+3	1.128E+3	1.128333333333E+3
