#2018-02-09
#18:14
#Balayage par: glaliber
#ScanTask Size: 11,3

#Échantillon: ; #Matériaux: AlGaAs; 
#Fente d'entrée: 0.000mm; #Fente de sortie: 0.000mm; #Hauteur fente d'entrée: 2 cm; 
#Température: 1000.00°K; #Filtre Entrée: Aucun; #Détecteur: PM Hamamatsu R9268; 
#Source d'excitation: HeCd 325nm; #Puissance Laser: 1000.00mW; #Pre-amplificateur: Aucun; #Réseaux: 250nm; #Autres: ; 


#Tools.Ind Point(Point)        	Tools.ScanPar(Arb)            	Tools.Crb 1 Dat(Arb)          	Tools.Temps Abs(ms)           	Tools.Random Number(Arb)      
0E+0	0E+0	0E+0	3.6010628899531398E+9	931.27981792655246E-3
1E+0	0E+0	95.774771784899348E-3	3.6010628899951396E+9	148.7651962672305E-3
2E+0	0E+0	190.59259370905438E-3	3.6010628900441399E+9	69.987259765323717E-3
3E+0	0E+0	283.50607743840373E-3	3.6010628900691395E+9	263.74278469956103E-3
4E+0	0E+0	373.58686215663817E-3	3.6010628900901399E+9	809.59141902606679E-3
5E+0	0E+0	459.93489043960151E-3	3.6010628901161399E+9	374.15555513882626E-3
6E+0	0E+0	541.68740133155369E-3	3.6010628901401396E+9	436.54917524790537E-3
7E+0	0E+0	618.02755076744942E-3	3.6010628901571398E+9	754.9061089506881E-3
8E+0	0E+0	688.19257320882388E-3	3.6010628901751399E+9	41.999131778450938E-3
9E+0	0E+0	751.4814029449155E-3	3.6010628901931396E+9	10.071766842818297E-3
10E+0	0E+0	807.26167890950673E-3	3.6010628902121396E+9	659.97631916850574E-3
0E+0	1E+0	854.97606302366746E-3	3.6010628902361398E+9	391.17827319645926E-3
1E+0	1E+0	894.14780893360701E-3	3.6010628902461395E+9	468.86881498981148E-3
2E+0	1E+0	924.38552550265129E-3	3.6010628902511396E+9	584.11604544853901E-3
3E+0	1E+0	945.38708746210254E-3	3.6010628902571397E+9	554.45600308608678E-3
4E+0	1E+0	956.94265414705526E-3	3.6010628902601395E+9	437.89240274088415E-3
5E+0	1E+0	958.93676615495582E-3	3.6010628902691398E+9	241.18440119235984E-3
6E+0	1E+0	951.3494989777872E-3	3.6010628902741399E+9	123.91513325147629E-3
7E+0	1E+0	934.25666208116653E-3	3.6010628902781396E+9	919.82249193370902E-3
8E+0	1E+0	907.82904144122423E-3	3.6010628902811398E+9	438.95712313640867E-3
9E+0	1E+0	872.3306931075846E-3	3.6010628902861395E+9	139.22947207563885E-3
10E+0	1E+0	828.11630484260346E-3	3.6010628902881398E+9	480.53162488297851E-3
0E+0	2E+0	775.62765219849095E-3	3.6010628902911396E+9	198.9411145321891E-3
1E+0	2E+0	715.38918444202548E-3	3.6010628902931399E+9	791.15084712926298E-3
2E+0	2E+0	648.00278443083925E-3	3.6010628902961397E+9	693.61547207727625E-3
3E+0	2E+0	574.14175479886187E-3	3.6010628902991395E+9	20.430829483337964E-3
4E+0	2E+0	494.54409053896575E-3	3.6010628903011398E+9	26.254161385897756E-3
5E+0	2E+0	410.00510520094613E-3	3.6010628903041396E+9	340.166117925504E-3
6E+0	2E+0	321.36948438142771E-3	3.6010628903081398E+9	402.32327108970334E-3
7E+0	2E+0	229.52284590459751E-3	3.6010628903111396E+9	196.73735214475685E-3
8E+0	2E+0	135.38289102165424E-3	3.6010628903131399E+9	520.54735497763516E-3
9E+0	2E+0	39.890235043256533E-3	3.6010628903161397E+9	295.16762091137361E-3
10E+0	2E+0	-56.000990977734824E-3	3.6010628903181396E+9	596.13404935204017E-3
