#2018-02-14
#18:10
#Balayage par: physique
#ScanTask Size: 201

#Échantillon: ; #Matériaux: AlGaAs; 
#Fente d'entrée: 0,000mm; #Fente de sortie: 0,000mm; #Hauteur fente d'entrée: 2 cm; 
#Température: 1000,00°K; #Filtre Entrée: Aucun; #Détecteur: PM Hamamatsu R9268; 
#Source d'excitation: HeCd 325nm; #Puissance Laser: 1000,00mW; #Pre-amplificateur: Aucun; #Réseaux: 250nm; #Autres: ; 

#Longueur d'ondes OR77200: 400,000000
#Sensitivity: 3 V; Vernier Mode: Off; Vernier Value: 50.000; Main Filter: No Filter; Filter Freq (Hz): 1000.000; Filter Mode: Manual;  Line Notch: Off; Reference: Internal; Reference Mode: F; Ref Phase (°): 0.000; Ref Freq (Hz): 921.020; Output Filter: 6dB; Time Constant: 100 ms; Dynamic Res.: Hi Stab; X Offset: Off; X Offset Val %: 0.000; Y Offset: Off; Y Offset Val %: 0.000; Expand: Off; Int Osc (Vrms): 0.100; Int Osc (Hz): 1000.000; Trigger Mode: Asynchronous; Input Mode: Voltage; Ovld Source: Y Channel; 

#OR77200.Long. Ondes(nm)       	EGG5210.Analog In 1(V)        
200E+0	-4.5529999999999999E+0
201E+0	-5.7569999999999997E+0
202E+0	-2.9790000000000001E+0
203E+0	-5.0499999999999998E+0
204E+0	-3.8759999999999999E+0
205E+0	-1.79E+0
206E+0	-3.2690000000000001E+0
207E+0	-1.772E+0
208E+0	-3.415E+0
209E+0	-2.9199999999999999E+0
210E+0	-2.6499999999999999E+0
211E+0	-898.00000000000002E-3
212E+0	-1.8700000000000001E+0
213E+0	-310E-3
214E+0	-63E-3
215E+0	-142.99999999999999E-3
216E+0	-582.99999999999996E-3
217E+0	522.00000000000002E-3
218E+0	1.0860000000000001E+0
219E+0	-51.999999999999998E-3
220E+0	1.1819999999999999E+0
221E+0	1.7270000000000001E+0
222E+0	1.1579999999999999E+0
223E+0	1.6950000000000001E+0
224E+0	1.8080000000000001E+0
225E+0	1.6220000000000001E+0
226E+0	1.4950000000000001E+0
227E+0	1.619E+0
228E+0	1.611E+0
229E+0	1.6939999999999999E+0
230E+0	1.6140000000000001E+0
231E+0	1.4930000000000001E+0
232E+0	1.669E+0
233E+0	1.4410000000000001E+0
234E+0	1.4990000000000001E+0
235E+0	1.6220000000000001E+0
236E+0	1.423E+0
237E+0	1.5640000000000001E+0
