#2018-03-01
#17:27
#Balayage par: physique
#ScanTask Size: 6

#Échantillon: ; #Matériaux: Autres; 
#Fente d'entrée: 0,050mm; Fente de sortie: 1,000mm; #Température: 293,00°K; #Filtre Entrée: CGA 225; #Détecteur: Oriel 70680 with R928; 
#Taux de répétition laser : 4PPS; #Énergie Laser: 100,0mJ; #Pre-amplificateur: Aucun; #Réseaux: Oriel 33010FL01-080R (400nm); #Autres: avg 3; 

#Longueur d'ondes OR77200: 425,000000
#Sensitivity: 3 V; Vernier Mode: Off; Vernier Value: 50.000; Main Filter: No Filter; Filter Freq (Hz): 1000.000; Filter Mode: Manual;  Line Notch: Off; Reference: Internal; Reference Mode: F; Ref Phase (°): 0.000; Ref Freq (Hz): 0.000; Output Filter: 6dB; Time Constant: 100 ms; Dynamic Res.: Hi Stab; X Offset: Off; X Offset Val %: 0.000; Y Offset: Off; Y Offset Val %: 0.000; Expand: Off; Osc Amp. (mV rms): 2000.000; Int Osc (Hz): 0.000; Trigger Mode: Asynchronous; Input Mode: Voltage; Ovld Source: Y Channel; 

#OR77200.Long. Ondes(nm)       	EGG5210.Analog In 1(V)        
206E+0	-6.5880000000000001E+0
207E+0	-6.5873333333333335E+0
208E+0	-6.5880000000000001E+0
209E+0	-6.5873333333333335E+0
210E+0	-6.5876666666666663E+0
211E+0	-6.5880000000000001E+0
212E+0	-6.5873333333333335E+0
213E+0	-6.5876666666666663E+0
214E+0	-991.6666666666667E-3
215E+0	-838.66666666666667E-3
216E+0	-965.99999999999997E-3
217E+0	-881E-3
218E+0	-873E-3
219E+0	-939.33333333333335E-3
220E+0	-727.99999999999998E-3
221E+0	-862.66666666666669E-3
222E+0	-920.66666666666663E-3
223E+0	-840.99999999999997E-3
224E+0	-815.99999999999995E-3
225E+0	-885.33333333333331E-3
226E+0	-773.00000000000002E-3
227E+0	-974.33333333333327E-3
228E+0	-994.6666666666667E-3
229E+0	-923.66666666666664E-3
230E+0	-846.99999999999997E-3
231E+0	-845.33333333333327E-3
232E+0	-957.99999999999996E-3
233E+0	-855.99999999999998E-3
234E+0	-887.33333333333331E-3
235E+0	-1.0276666666666667E+0
236E+0	-1.1173333333333333E+0
237E+0	-929.00000000000005E-3
238E+0	-997.66666666666659E-3
239E+0	-1.042E+0
240E+0	-1.026E+0
241E+0	-977.66666666666668E-3
242E+0	-774.00000000000002E-3
243E+0	-854.66666666666669E-3
244E+0	-678.66666666666664E-3
245E+0	-1.0176666666666667E+0
246E+0	-1.0093333333333332E+0
247E+0	-1.0233333333333332E+0
248E+0	-1.077E+0
249E+0	-1.129E+0
250E+0	-1.0566666666666666E+0
251E+0	-1.0216666666666665E+0
252E+0	-920.33333333333334E-3
253E+0	-934.66666666666665E-3
254E+0	-966.99999999999997E-3
255E+0	-986.99999999999999E-3
256E+0	-1.0939999999999999E+0
257E+0	-1.0743333333333334E+0
258E+0	-1.0283333333333333E+0
259E+0	-990.99999999999999E-3
260E+0	-940.33333333333335E-3
261E+0	-947.66666666666666E-3
262E+0	-940.66666666666665E-3
263E+0	-789.33333333333333E-3
264E+0	-1.0323333333333333E+0
265E+0	-717.99999999999997E-3
266E+0	-784.66666666666662E-3
267E+0	-857.66666666666669E-3
268E+0	-921.66666666666674E-3
269E+0	-762.66666666666671E-3
270E+0	-933.66666666666676E-3
271E+0	-917.66666666666674E-3
272E+0	-874.3333333333333E-3
273E+0	-957.33333333333326E-3
274E+0	-875.6666666666667E-3
275E+0	-691.33333333333335E-3
276E+0	-812.66666666666665E-3
277E+0	-758.66666666666671E-3
278E+0	-668.33333333333333E-3
279E+0	-637.66666666666671E-3
280E+0	-637.00000000000001E-3
281E+0	-660.33333333333333E-3
282E+0	-540.00000000000004E-3
283E+0	-493.33333333333335E-3
284E+0	-530.33333333333332E-3
285E+0	-505.66666666666671E-3
286E+0	-414.00000000000003E-3
287E+0	-498E-3
288E+0	-393.66666666666666E-3
289E+0	-479.33333333333333E-3
290E+0	-347.33333333333333E-3
291E+0	-525.00000000000002E-3
292E+0	-322.00000000000001E-3
293E+0	-276.33333333333332E-3
294E+0	-319.33333333333336E-3
295E+0	-380E-3
296E+0	-283.66666666666668E-3
297E+0	-284.33333333333333E-3
