#2018-03-01
#15:11
#Balayage par: physique
#ScanTask Size: 201

#Échantillon: ; #Matériaux: AlN; 
#Fente d'entrée: 3,000mm; Fente de sortie: 3,000mm; #Température: 293,00°K; #Filtre Entrée: Aucun; #Détecteur: Oriel 70680 with R928; 
#Taux de répétition laser : 3PPS; #Énergie Laser: 100,0mJ; #Pre-amplificateur: Aucun; #Réseaux: Oriel 33010FL01-080R (400nm); #Autres: avg 3; 

#Longueur d'ondes OR77200: 210,000000
#Sensitivity: 3 V; Vernier Mode: Off; Vernier Value: 50.000; Main Filter: No Filter; Filter Freq (Hz): 1000.000; Filter Mode: Manual;  Line Notch: Off; Reference: Internal; Reference Mode: F; Ref Phase (°): 0.000; Ref Freq (Hz): 2.919; Output Filter: 6dB; Time Constant: 100 ms; Dynamic Res.: Hi Stab; X Offset: Off; X Offset Val %: 0.000; Y Offset: Off; Y Offset Val %: 0.000; Expand: Off; Osc Amp. (mV rms): 2000.000; Int Osc (Hz): 3.000; Trigger Mode: Asynchronous; Input Mode: Voltage; Ovld Source: Y Channel; 

#OR77200.Long. Ondes(nm)       	EGG5210.Analog In 1(V)        
200E+0	-6.5040000000000004E+0
201E+0	-6.5103333333333335E+0
202E+0	-6.4663333333333339E+0
203E+0	-6.1786666666666665E+0
204E+0	-6.218E+0
205E+0	-6.1419999999999995E+0
206E+0	-5.9809999999999999E+0
207E+0	-6.1339999999999994E+0
208E+0	-6.0786666666666669E+0
209E+0	-5.953666666666666E+0
210E+0	-6.0149999999999997E+0
211E+0	-5.9963333333333333E+0
212E+0	-6.0209999999999999E+0
213E+0	-5.8629999999999995E+0
214E+0	-5.9989999999999997E+0
215E+0	-6.1173333333333328E+0
216E+0	-6.0419999999999998E+0
217E+0	-6.1310000000000002E+0
218E+0	-6.1449999999999996E+0
219E+0	-6.0943333333333332E+0
220E+0	-6.1226666666666665E+0
221E+0	-5.9379999999999997E+0
222E+0	-5.9883333333333333E+0
223E+0	-5.9376666666666669E+0
224E+0	-5.9296666666666669E+0
225E+0	-5.9866666666666664E+0
226E+0	-5.9236666666666666E+0
227E+0	-5.9159999999999995E+0
228E+0	-5.9496666666666664E+0
229E+0	-6.0640000000000001E+0
230E+0	-5.9366666666666665E+0
231E+0	-5.9783333333333335E+0
232E+0	-6.0703333333333331E+0
233E+0	-5.7756666666666669E+0
234E+0	-5.9433333333333334E+0
235E+0	-5.7939999999999996E+0
236E+0	-5.8536666666666663E+0
237E+0	-5.7596666666666669E+0
238E+0	-5.9496666666666664E+0
239E+0	-5.6480000000000006E+0
240E+0	-5.7610000000000001E+0
241E+0	-5.827E+0
242E+0	-5.7160000000000002E+0
243E+0	-5.8339999999999996E+0
244E+0	-5.7169999999999996E+0
245E+0	-5.7750000000000004E+0
246E+0	-5.7610000000000001E+0
247E+0	-5.6120000000000001E+0
248E+0	-5.4973333333333336E+0
249E+0	-5.5069999999999997E+0
250E+0	-5.6440000000000001E+0
251E+0	-5.5563333333333338E+0
252E+0	-5.5599999999999996E+0
253E+0	-5.6636666666666668E+0
254E+0	-5.5666666666666664E+0
255E+0	-5.5213333333333336E+0
256E+0	-5.4276666666666662E+0
257E+0	-5.4986666666666668E+0
258E+0	-5.1829999999999998E+0
259E+0	-5.004666666666667E+0
260E+0	-5.1890000000000001E+0
261E+0	-5.431E+0
262E+0	-5.2406666666666668E+0
263E+0	-5.1413333333333338E+0
264E+0	-4.7566666666666668E+0
265E+0	-5.0906666666666664E+0
266E+0	-5.0006666666666666E+0
267E+0	-4.7716666666666665E+0
268E+0	-5.0360000000000005E+0
269E+0	-4.726E+0
270E+0	-4.690666666666667E+0
271E+0	-4.6146666666666665E+0
272E+0	-4.5729999999999995E+0
273E+0	-4.3383333333333329E+0
274E+0	-4.2806666666666668E+0
275E+0	-4.2326666666666668E+0
276E+0	-4.2279999999999998E+0
277E+0	-4.3399999999999999E+0
278E+0	-4.165E+0
279E+0	-3.8963333333333332E+0
280E+0	-3.9736666666666669E+0
281E+0	-3.8973333333333335E+0
282E+0	-3.8236666666666665E+0
283E+0	-3.7866666666666666E+0
284E+0	-3.9373333333333331E+0
285E+0	-3.8683333333333332E+0
286E+0	-3.8236666666666665E+0
287E+0	-3.7756666666666669E+0
288E+0	-3.5603333333333333E+0
289E+0	-3.5493333333333332E+0
290E+0	-3.7846666666666668E+0
291E+0	-3.3256666666666668E+0
292E+0	-3.5216666666666665E+0
293E+0	-3.375E+0
294E+0	-3.6673333333333331E+0
295E+0	-3.2196666666666669E+0
296E+0	-3.3780000000000001E+0
297E+0	-3.3373333333333335E+0
298E+0	-2.9916666666666667E+0
299E+0	-2.9276666666666666E+0
300E+0	-2.4359999999999999E+0
301E+0	-2.9686666666666666E+0
302E+0	-3.0006666666666666E+0
303E+0	-2.8866666666666667E+0
304E+0	-2.8660000000000001E+0
305E+0	-2.7123333333333335E+0
306E+0	-2.8379999999999996E+0
307E+0	-2.6466666666666665E+0
308E+0	-2.4286666666666665E+0
309E+0	-2.4376666666666664E+0
310E+0	-2.379E+0
311E+0	-2.335E+0
312E+0	-2.1453333333333333E+0
313E+0	-2.2656666666666667E+0
314E+0	-1.9570000000000001E+0
315E+0	-2.0720000000000001E+0
316E+0	-1.8696666666666666E+0
317E+0	-1.861E+0
318E+0	-1.8373333333333333E+0
319E+0	-1.8860000000000001E+0
320E+0	-1.8403333333333334E+0
321E+0	-1.6536666666666666E+0
322E+0	-1.6613333333333333E+0
323E+0	-1.548E+0
324E+0	-1.5473333333333332E+0
325E+0	-1.6886666666666668E+0
326E+0	-1.4973333333333334E+0
327E+0	-1.4246666666666665E+0
328E+0	-1.4223333333333332E+0
329E+0	-1.3176666666666668E+0
330E+0	-1.1726666666666665E+0
331E+0	-1.2429999999999999E+0
332E+0	-1.1636666666666666E+0
333E+0	-1.0136666666666667E+0
334E+0	-1.002E+0
335E+0	-942.00000000000006E-3
336E+0	-996.66666666666659E-3
337E+0	-1.0056666666666667E+0
338E+0	-1.014E+0
339E+0	-1.0083333333333333E+0
340E+0	-795.33333333333334E-3
341E+0	-880E-3
342E+0	-922.33333333333334E-3
343E+0	-821.66666666666666E-3
344E+0	-772.66666666666672E-3
345E+0	-814.00000000000006E-3
346E+0	-683.33333333333335E-3
347E+0	-603.33333333333328E-3
348E+0	-621.33333333333329E-3
349E+0	-439E-3
350E+0	-546.66666666666674E-3
351E+0	-484.99999999999999E-3
352E+0	-440.33333333333335E-3
353E+0	-468.33333333333332E-3
354E+0	-459.33333333333337E-3
355E+0	-386.00000000000001E-3
356E+0	-381.33333333333336E-3
357E+0	-316.33333333333336E-3
358E+0	-409.66666666666668E-3
359E+0	-209.99999999999999E-3
360E+0	-255.33333333333336E-3
361E+0	-166.66666666666666E-3
362E+0	-182.66666666666667E-3
363E+0	-69.000000000000006E-3
364E+0	-239.33333333333334E-3
365E+0	-266.00000000000001E-3
366E+0	-65.000000000000002E-3
367E+0	-171.33333333333334E-3
368E+0	-216E-3
369E+0	-358.99999999999999E-3
370E+0	-300.66666666666669E-3
371E+0	-427.99999999999999E-3
372E+0	-426.33333333333334E-3
373E+0	-552.00000000000005E-3
374E+0	-711.99999999999997E-3
375E+0	-610.33333333333328E-3
376E+0	-466.66666666666662E-3
377E+0	-740.6666666666667E-3
378E+0	-823.33333333333336E-3
379E+0	-757.66666666666671E-3
380E+0	-834.00000000000007E-3
381E+0	-880.3333333333333E-3
382E+0	-841.33333333333338E-3
383E+0	-693.99999999999995E-3
384E+0	-697.33333333333336E-3
385E+0	-643.66666666666672E-3
386E+0	-587.99999999999997E-3
387E+0	-465.00000000000002E-3
388E+0	-523.66666666666672E-3
389E+0	-358.66666666666663E-3
390E+0	-128.33333333333333E-3
391E+0	-295.33333333333334E-3
392E+0	-228.66666666666666E-3
393E+0	-136.99999999999998E-3
394E+0	-40.333333333333332E-3
395E+0	66.333333333333341E-3
396E+0	24.333333333333332E-3
397E+0	-39E-3
398E+0	148.00000000000002E-3
399E+0	129E-3
400E+0	171.33333333333334E-3
