#2018-03-01
#15:35
#Balayage par: physique
#ScanTask Size: 201

#Échantillon: ; #Matériaux: GaN; 
#Fente d'entrée: 3,000mm; Fente de sortie: 3,000mm; #Température: 293,00°K; #Filtre Entrée: Aucun; #Détecteur: Oriel 70680 with R928; 
#Taux de répétition laser : 3PPS; #Énergie Laser: 100,0mJ; #Pre-amplificateur: Aucun; #Réseaux: Oriel 33010FL01-080R (400nm); #Autres: avg 3; 

#Longueur d'ondes OR77200: 202,000000
#Sensitivity: 3 V; Vernier Mode: Off; Vernier Value: 50.000; Main Filter: No Filter; Filter Freq (Hz): 1000.000; Filter Mode: Manual;  Line Notch: Off; Reference: Internal; Reference Mode: F; Ref Phase (°): 0.000; Ref Freq (Hz): 2.918; Output Filter: 6dB; Time Constant: 100 ms; Dynamic Res.: Hi Stab; X Offset: Off; X Offset Val %: 0.000; Y Offset: Off; Y Offset Val %: 0.000; Expand: Off; Osc Amp. (mV rms): 2000.000; Int Osc (Hz): 3.000; Trigger Mode: Asynchronous; Input Mode: Voltage; Ovld Source: Y Channel; 

#OR77200.Long. Ondes(nm)       	EGG5210.Analog In 1(V)        
200E+0	-6,5613333333333337E+0
201E+0	-6,5110000000000001E+0
202E+0	-6,4613333333333331E+0
203E+0	-6,190666666666667E+0
204E+0	-6,0723333333333329E+0
205E+0	-4,5663333333333336E+0
206E+0	-4,0990000000000002E+0
207E+0	-4,2930000000000001E+0
208E+0	-4,4186666666666667E+0
209E+0	-3,613E+0
210E+0	-4,29E+0
211E+0	-4,04E+0
212E+0	-3,7749999999999999E+0
213E+0	-4,0739999999999998E+0
214E+0	-3,1806666666666668E+0
215E+0	-3,0226666666666668E+0
216E+0	-2,9906666666666668E+0
217E+0	-3,4553333333333334E+0
218E+0	-3,8846666666666665E+0
219E+0	-4,1673333333333336E+0
220E+0	-3,3543333333333334E+0
221E+0	-4,4959999999999995E+0
222E+0	-3,8620000000000001E+0
223E+0	-4,3713333333333333E+0
224E+0	-3,9746666666666668E+0
225E+0	-4,1639999999999997E+0
226E+0	-4,0863333333333331E+0
227E+0	-4,274E+0
228E+0	-3,4796666666666667E+0
229E+0	-4,0406666666666666E+0
230E+0	-4,2223333333333333E+0
231E+0	-4,2976666666666663E+0
232E+0	-4,8266666666666662E+0
233E+0	-4,8833333333333329E+0
234E+0	-4,548E+0
235E+0	-4,7036666666666669E+0
236E+0	-5,1953333333333331E+0
237E+0	-5,3886666666666665E+0
