#2018-03-01
#15:54
#Balayage par: physique
#ScanTask Size: 301

#Échantillon: ; #Matériaux: GaN; 
#Fente d'entrée: 2,000mm; Fente de sortie: 3,000mm; #Température: 293,00°K; #Filtre Entrée: CGA 225; #Détecteur: Oriel 70680 with R928; 
#Taux de répétition laser : 3PPS; #Énergie Laser: 100,0mJ; #Pre-amplificateur: Aucun; #Réseaux: Oriel 33010FL01-080R (400nm); #Autres: avg 3; 

#Longueur d'ondes OR77200: 200,000000
#Sensitivity: 3 V; Vernier Mode: Off; Vernier Value: 50.000; Main Filter: No Filter; Filter Freq (Hz): 1000.000; Filter Mode: Manual;  Line Notch: Off; Reference: Internal; Reference Mode: F; Ref Phase (°): 0.000; Ref Freq (Hz): 2.918; Output Filter: 6dB; Time Constant: 100 ms; Dynamic Res.: Hi Stab; X Offset: Off; X Offset Val %: 0.000; Y Offset: Off; Y Offset Val %: 0.000; Expand: Off; Osc Amp. (mV rms): 2000.000; Int Osc (Hz): 3.000; Trigger Mode: Asynchronous; Input Mode: Voltage; Ovld Source: Y Channel; 

#OR77200.Long. Ondes(nm)       	EGG5210.Analog In 1(V)        
200E+0	-6,4080000000000004E+0
201E+0	-5,9800000000000004E+0
202E+0	-6,0689999999999999E+0
203E+0	-5,8769999999999998E+0
204E+0	-5,5346666666666664E+0
205E+0	-5,0973333333333333E+0
206E+0	-5,0169999999999995E+0
207E+0	-5,1253333333333328E+0
208E+0	-4,8163333333333336E+0
209E+0	-5,1619999999999999E+0
210E+0	-5,0373333333333328E+0
211E+0	-5,0186666666666664E+0
212E+0	-5,0003333333333337E+0
213E+0	-4,7933333333333339E+0
214E+0	-4,7193333333333332E+0
215E+0	-4,8746666666666663E+0
216E+0	-4,6440000000000001E+0
217E+0	-4,7193333333333332E+0
218E+0	-4,8120000000000003E+0
219E+0	-4,7943333333333333E+0
220E+0	-4,5333333333333332E+0
221E+0	-4,9060000000000006E+0
222E+0	-4,726E+0
223E+0	-4,8146666666666666E+0
224E+0	-4,7079999999999993E+0
225E+0	-4,9716666666666667E+0
226E+0	-4,5803333333333329E+0
227E+0	-4,6040000000000001E+0
228E+0	-4,9986666666666668E+0
229E+0	-4,8300000000000001E+0
230E+0	-5,1289999999999996E+0
231E+0	-4,9856666666666669E+0
232E+0	-5,0226666666666668E+0
233E+0	-5,1276666666666673E+0
234E+0	-5,2196666666666669E+0
235E+0	-5,1313333333333331E+0
236E+0	-5,1196666666666664E+0
237E+0	-5,3126666666666669E+0
238E+0	-5,4199999999999999E+0
239E+0	-5,4509999999999996E+0
240E+0	-5,4290000000000003E+0
241E+0	-5,5670000000000002E+0
242E+0	-5,7223333333333333E+0
243E+0	-5,6796666666666669E+0
244E+0	-5,6193333333333335E+0
245E+0	-5,6576666666666666E+0
246E+0	-5,7936666666666667E+0
247E+0	-5,6646666666666663E+0
248E+0	-5,968E+0
249E+0	-5,9306666666666663E+0
250E+0	-6,016E+0
251E+0	-5,9296666666666669E+0
252E+0	-6,1096666666666666E+0
253E+0	-6,1126666666666667E+0
254E+0	-6,0916666666666668E+0
255E+0	-6,1333333333333337E+0
256E+0	-6,1659999999999995E+0
257E+0	-6,1970000000000001E+0
258E+0	-6,2783333333333333E+0
259E+0	-6,3673333333333328E+0
260E+0	-6,3883333333333336E+0
261E+0	-6,3719999999999999E+0
