#2018-10-10
#16:47
#Balayage par: Administrateur
#ScanTask Size: 10,10


#X Axis.Position(Units)        	Y Axis.Position(Units)        	LeafMagnetometer.X(nT)        	LeafMagnetometer.Y(nT)        	LeafMagnetometer.Z(nT)        	LeafMagnetometer.Total(nT)    
10E+0	10E+0	16.917135864257812E+3	-6.7529445190429687E+3	-53.6850869140625E+3	56.691100355416456E+3
20E+0	10E+0	16.928339965820312E+3	-6.6527949829101562E+3	-53.966720703125E+3	56.949413749061641E+3
30E+0	10E+0	16.94160693359375E+3	-6.5857938842773437E+3	-54.192833984375E+3	57.1599015336917E+3
40E+0	10E+0	16.953406860351562E+3	-6.4818789672851562E+3	-54.4612255859375E+3	57.406083175528722E+3
50E+0	10E+0	16.964951049804687E+3	-6.3652944946289062E+3	-54.700978515625E+3	57.623988748891206E+3
60E+0	10E+0	16.971081665039062E+3	-6.2426320190429687E+3	-54.93109033203125E+3	57.830901769073891E+3
70E+0	10E+0	16.965371948242187E+3	-6.1140499267578125E+3	-55.1458193359375E+3	58.019542578315049E+3
80E+0	10E+0	16.95997314453125E+3	-5.978150390625E+3	-55.34527490234375E+3	58.193460669442655E+3
90E+0	10E+0	16.960313354492187E+3	-5.8338848266601562E+3	-55.53026123046875E+3	58.354920159568195E+3
100E+0	10E+0	16.946395751953125E+3	-5.67322021484375E+3	-55.71346728515625E+3	58.509457611810751E+3
10E+0	20E+0	16.967731201171875E+3	-6.391755126953125E+3	-54.644677734375E+3	57.574303544031631E+3
20E+0	20E+0	17.008782104492187E+3	-6.5683255615234375E+3	-53.99945458984375E+3	56.994587488664096E+3
30E+0	20E+0	17.015138916015625E+3	-6.5741153564453125E+3	-53.9967001953125E+3	56.994543306833744E+3
40E+0	20E+0	17.020548706054687E+3	-6.4622619018554687E+3	-54.2671201171875E+3	57.239677252153793E+3
50E+0	20E+0	17.03652099609375E+3	-6.3514617309570312E+3	-54.50344287109375E+3	57.456155829405005E+3
60E+0	20E+0	17.048347290039062E+3	-6.2423011474609375E+3	-54.71391748046875E+3	57.647425574559791E+3
70E+0	20E+0	17.052706909179687E+3	-6.1151985473632812E+3	-54.91830224609375E+3	57.829152345465634E+3
80E+0	20E+0	17.046507446289062E+3	-5.9810472412109375E+3	-55.12439501953125E+3	58.009101023104915E+3
90E+0	20E+0	17.040903442382812E+3	-5.840228515625E+3	-55.31090576171875E+3	58.170417428644796E+3
100E+0	20E+0	17.036276733398437E+3	-5.6862344360351562E+3	-55.48493505859375E+3	58.319348200634828E+3
10E+0	30E+0	17.044053955078125E+3	-6.287724609375E+3	-54.63732373046875E+3	57.578410339089103E+3
20E+0	30E+0	17.047918579101562E+3	-6.556815185546875E+3	-53.8056552734375E+3	56.821407437312453E+3
30E+0	30E+0	17.047098754882812E+3	-6.559795166015625E+3	-53.7985390625E+3	56.814767422824756E+3
40E+0	30E+0	17.064028930664062E+3	-6.454554931640625E+3	-54.06256689453125E+3	57.057899899577256E+3
50E+0	30E+0	17.081938232421875E+3	-6.3496571044921875E+3	-54.290248046875E+3	57.267289382814248E+3
60E+0	30E+0	17.094138549804687E+3	-6.240075927734375E+3	-54.4948095703125E+3	57.452875476196357E+3
70E+0	30E+0	17.0975703125E+3	-6.120361083984375E+3	-54.693185546875E+3	57.629252910530711E+3
80E+0	30E+0	17.099848266601562E+3	-5.9874135131835937E+3	-54.899287109375E+3	57.811642561716966E+3
90E+0	30E+0	17.097620971679687E+3	-5.8492617797851562E+3	-55.08034375E+3	57.968846721199428E+3
100E+0	30E+0	17.094504028320312E+3	-5.6994920654296875E+3	-55.250689453125E+3	58.114933273436502E+3
10E+0	40E+0	17.091064086914062E+3	-6.3849170532226562E+3	-54.2250537109375E+3	57.212145120761117E+3
20E+0	40E+0	17.053311401367187E+3	-6.5497418823242187E+3	-53.612669921875E+3	56.639504020840039E+3
30E+0	40E+0	17.056594116210937E+3	-6.5553391723632812E+3	-53.6062109375E+3	56.635026583865241E+3
40E+0	40E+0	17.07355859375E+3	-6.449084228515625E+3	-53.8592255859375E+3	56.867510443616644E+3
50E+0	40E+0	17.08720849609375E+3	-6.3482991943359375E+3	-54.0838505859375E+3	57.073084576359368E+3
60E+0	40E+0	17.094234619140625E+3	-6.2374873657226562E+3	-54.28834423828125E+3	57.256824975110874E+3
70E+0	40E+0	17.10362109375E+3	-6.1242613525390625E+3	-54.4827763671875E+3	57.431819662466049E+3
80E+0	40E+0	17.095247680664062E+3	-6.0100682373046875E+3	-54.68623876953125E+3	57.610359355893357E+3
90E+0	40E+0	17.095349487304687E+3	-5.8608927612304687E+3	-54.8754677734375E+3	57.774721325939645E+3
100E+0	40E+0	17.093943237304687E+3	-5.7121095581054687E+3	-55.051134765625E+3	57.926323721472436E+3
10E+0	50E+0	17.076704956054687E+3	-6.3709067993164062E+3	-54.0695361328125E+3	57.058898643448592E+3
20E+0	50E+0	17.01844482421875E+3	-6.5328126220703125E+3	-53.45117138671875E+3	56.474182911256459E+3
30E+0	50E+0	17.018033569335937E+3	-6.5447755737304687E+3	-53.44002197265625E+3	56.46489051274526E+3
40E+0	50E+0	17.0575732421875E+3	-6.445141357421875E+3	-53.66848583984375E+3	56.681631834206666E+3
50E+0	50E+0	17.089198852539062E+3	-6.3345916748046875E+3	-53.87896923828125E+3	56.878040731028792E+3
60E+0	50E+0	17.111184692382812E+3	-6.2329177856445312E+3	-54.0674892578125E+3	57.052044617342071E+3
70E+0	50E+0	17.118042602539062E+3	-6.1141734008789062E+3	-54.2649208984375E+3	57.228425311003542E+3
80E+0	50E+0	17.121358032226562E+3	-5.9955281372070312E+3	-54.4561689453125E+3	57.39827522755829E+3
90E+0	50E+0	17.124878173828125E+3	-5.8662918090820312E+3	-54.6305966796875E+3	57.551519671887057E+3
100E+0	50E+0	17.127249755859375E+3	-5.727852294921875E+3	-54.79086669921875E+3	57.690471048916857E+3
10E+0	60E+0	17.094571899414062E+3	-6.3487985229492187E+3	-53.83751953125E+3	56.841986225774854E+3
20E+0	60E+0	16.988808227539062E+3	-6.5793530883789062E+3	-53.022982421875E+3	56.065538949242102E+3
30E+0	60E+0	17.015477294921875E+3	-6.5112984619140625E+3	-53.23809375E+3	56.269161784004798E+3
40E+0	60E+0	17.03497119140625E+3	-6.4222319946289062E+3	-53.4659453125E+3	56.480466043682441E+3
50E+0	60E+0	17.0591220703125E+3	-6.3264410400390625E+3	-53.683337890625E+3	56.682789736599923E+3
60E+0	60E+0	17.0742412109375E+3	-6.2215750122070312E+3	-53.87640673828125E+3	56.858644005548282E+3
70E+0	60E+0	17.090071411132812E+3	-6.1165315551757812E+3	-54.059544921875E+3	57.025585017713318E+3
80E+0	60E+0	17.09511572265625E+3	-6.0030310668945312E+3	-54.2376845703125E+3	57.183968398654193E+3
90E+0	60E+0	17.09594775390625E+3	-5.8731343994140625E+3	-54.41317578125E+3	57.337241214171845E+3
100E+0	60E+0	17.096379638671875E+3	-5.7414356079101562E+3	-54.5745869140625E+3	57.477267589610121E+3
10E+0	70E+0	17.064109252929687E+3	-6.3581685180664062E+3	-53.628341796875E+3	56.635768204822845E+3
20E+0	70E+0	16.96632080078125E+3	-6.5027615966796875E+3	-53.0719208984375E+3	56.096088317371061E+3
30E+0	70E+0	16.96537158203125E+3	-6.5046766357421875E+3	-53.06040185546875E+3	56.085126697899439E+3
40E+0	70E+0	16.98170361328125E+3	-6.4138494873046875E+3	-53.293724609375E+3	56.300420653598856E+3
50E+0	70E+0	17.012851196289062E+3	-6.3246463623046875E+3	-53.49721875E+3	56.492399164261522E+3
60E+0	70E+0	17.031460327148437E+3	-6.2270811157226562E+3	-53.6745390625E+3	56.65513083290455E+3
70E+0	70E+0	17.036990234375E+3	-6.1232141723632812E+3	-53.857115234375E+3	56.81850105292895E+3
80E+0	70E+0	17.045570678710937E+3	-6.013661376953125E+3	-54.039115234375E+3	56.981944294088273E+3
90E+0	70E+0	17.049987060546875E+3	-5.8874932861328125E+3	-54.2043544921875E+3	57.126850726901946E+3
100E+0	70E+0	17.050691040039062E+3	-5.7681935424804687E+3	-54.363943359375E+3	57.266368342918919E+3
10E+0	80E+0	17.003648193359375E+3	-6.3616285400390625E+3	-53.4541162109375E+3	56.45297302492016E+3
20E+0	80E+0	16.897345947265625E+3	-6.4933262939453125E+3	-52.90806689453125E+3	55.919116408842114E+3
30E+0	80E+0	16.903472534179687E+3	-6.4980281982421875E+3	-52.89785400390625E+3	55.911851868945821E+3
40E+0	80E+0	16.925059326171875E+3	-6.4113125610351562E+3	-53.1194423828125E+3	56.118074129580455E+3
50E+0	80E+0	16.946515869140625E+3	-6.3254905395507812E+3	-53.3035244140625E+3	56.289097323794478E+3
60E+0	80E+0	16.962185791015625E+3	-6.230677490234375E+3	-53.4942021484375E+3	56.463857426663111E+3
70E+0	80E+0	16.978693115234375E+3	-6.1297486572265625E+3	-53.680208984375E+3	56.634046732474264E+3
80E+0	80E+0	16.990904541015625E+3	-6.02249755859375E+3	-53.84517724609375E+3	56.782611708119766E+3
90E+0	80E+0	16.989462158203125E+3	-5.9066640014648437E+3	-54.00421337890625E+3	56.920875264736147E+3
100E+0	80E+0	16.993332275390625E+3	-5.7813800659179687E+3	-54.16177490234375E+3	57.05870679971941E+3
10E+0	90E+0	16.951291137695312E+3	-6.3492261352539062E+3	-53.259947265625E+3	56.251947568084892E+3
20E+0	90E+0	16.825860229492187E+3	-6.4822604370117187E+3	-52.74726513671875E+3	55.74409248286733E+3
30E+0	90E+0	16.82473779296875E+3	-6.4805338745117187E+3	-52.7384033203125E+3	55.735166058703427E+3
