#2018-10-10
#21:45
#Balayage par: Administrateur
#ScanTask Size: 21,2


#Y Axis.Position(Units)        	X Axis.Position(Units)        	LeafMagnetometer.X(nT)        	LeafMagnetometer.Y(nT)        	LeafMagnetometer.Z(nT)        	LeafMagnetometer.Total(nT)    
400E+0	600E+0	12.921720825195312E+3	-6.60721728515625E+3	-59.91813134765625E+3	61.65070161530521E+3
420E+0	600E+0	12.712951416015625E+3	-5.3247845458984375E+3	-58.4549873046875E+3	60.057958002322186E+3
440E+0	600E+0	12.718783203125E+3	-5.5005322875976562E+3	-58.60688623046875E+3	60.22284232460356E+3
460E+0	600E+0	12.71872265625E+3	-5.501900146484375E+3	-58.59977197265625E+3	60.216031779299963E+3
480E+0	600E+0	12.718013549804687E+3	-5.6545527954101562E+3	-58.7314150390625E+3	60.358108375323922E+3
500E+0	600E+0	12.707328002929687E+3	-5.8331956176757812E+3	-58.88871142578125E+3	60.52588858395681E+3
520E+0	600E+0	12.696066040039062E+3	-6.0014970703125E+3	-59.05432568359375E+3	60.701085599991529E+3
540E+0	600E+0	12.669271728515625E+3	-6.1535104370117187E+3	-59.2206123046875E+3	60.872467968642035E+3
560E+0	600E+0	12.658634521484375E+3	-6.2580266723632812E+3	-59.3542412109375E+3	61.0109021902686E+3
580E+0	600E+0	12.649041259765625E+3	-6.3458095092773437E+3	-59.46402197265625E+3	61.124772515777768E+3
600E+0	600E+0	12.633000244140625E+3	-6.4235148315429687E+3	-59.5664169921875E+3	61.22918111003295E+3
620E+0	600E+0	12.637179565429687E+3	-6.4820165405273437E+3	-59.6504892578125E+3	61.317990835564815E+3
640E+0	600E+0	12.63187109375E+3	-6.4807669067382812E+3	-59.648541015625E+3	61.31487000405095E+3
660E+0	600E+0	12.651297729492187E+3	-6.5279262084960937E+3	-59.72158251953125E+3	61.39492586427382E+3
680E+0	600E+0	12.724184448242187E+3	-6.5665537109375E+3	-59.77374462890625E+3	61.464831274189084E+3
700E+0	600E+0	12.844847900390625E+3	-6.581092529296875E+3	-59.79268115234375E+3	61.509886683207202E+3
720E+0	600E+0	12.995396362304687E+3	-6.5670662841796875E+3	-59.77089697265625E+3	61.518837350310066E+3
740E+0	600E+0	13.15650732421875E+3	-6.527077880859375E+3	-59.71125537109375E+3	61.4909010857416E+3
760E+0	600E+0	13.320353271484375E+3	-6.4709580078125E+3	-59.6225537109375E+3	61.434147082045994E+3
780E+0	600E+0	13.501334228515625E+3	-6.3977477416992187E+3	-59.505568359375E+3	61.352507947506216E+3
800E+0	600E+0	13.720614135742187E+3	-6.3065335693359375E+3	-59.3475419921875E+3	61.238540638257182E+3
400E+0	601E+0	13.713142822265625E+3	-6.305718017578125E+3	-59.34520654296875E+3	61.234519471986379E+3
420E+0	601E+0	12.661278198242187E+3	-5.1326889038085937E+3	-58.18445263671875E+3	59.766907755749271E+3
