#2018-10-15
#15:35
#Balayage par: glaliber
#ScanTask Size: 101,3


#Tools.Ind Point(Point)        	Tools.ScanPar(Arb)            	Tools.Temps Abs(ms)           	Tools.Random Number(Arb)      	Tools.Crb 1 Dat(Arb)          
0E+0	0E+0	3.6224769151190095E+9	786.8062458941445E-3	0E+0
1E+0	0E+0	3.6224769151380095E+9	810.27823671060073E-3	49.521384243899E-3
2E+0	0E+0	3.6224769151740098E+9	141.82999349423242E-3	98.547967186026195E-3
3E+0	0E+0	3.6224769151850095E+9	233.0264928476764E-3	146.58989141565754E-3
4E+0	0E+0	3.6224769151920099E+9	526.58400135536887E-3	193.16713790643936E-3
5E+0	0E+0	3.6224769151970096E+9	228.25801308297833E-3	237.81432220782639E-3
6E+0	0E+0	3.6224769152030096E+9	879.89191214080065E-3	280.08534441267618E-3
7E+0	0E+0	3.6224769152090096E+9	205.26416215296495E-3	319.55784644006002E-3
8E+0	0E+0	3.6224769152150097E+9	617.93378408990907E-3	355.83743209759483E-3
9E+0	0E+0	3.6224769152200098E+9	573.57934476180272E-3	388.56160775782694E-3
10E+0	0E+0	3.6224769152250099E+9	880.12723780656421E-3	417.40340427473366E-3
11E+0	0E+0	3.6224769152310095E+9	615.79270809483144E-3	442.07464395134854E-3
12E+0	0E+0	3.6224769152360096E+9	47.087187961678545E-3	462.32881991605018E-3
13E+0	0E+0	3.6224769152430096E+9	981.91026252533431E-3	477.96355913774002E-3
14E+0	0E+0	3.6224769152490096E+9	309.84478223076883E-3	488.82264447027235E-3
15E+0	0E+0	3.6224769152550096E+9	641.61994883696138E-3	494.79757552254106E-3
16E+0	0E+0	3.6224769152610097E+9	536.08407832617022E-3	495.82865275852134E-3
17E+0	0E+0	3.6224769152670097E+9	130.92543882386298E-3	491.90557399530022E-3
18E+0	0E+0	3.6224769152740097E+9	206.21394886067934E-3	483.06753733908231E-3
19E+0	0E+0	3.6224769152790098E+9	581.40524265164073E-3	469.40284953067002E-3
20E+0	0E+0	3.6224769152850099E+9	192.00439164919159E-3	451.04804361369988E-3
21E+0	0E+0	3.6224769152900095E+9	460.41837964283694E-3	428.18651474160191E-3
22E+0	0E+0	3.6224769152960095E+9	654.85241583117748E-3	401.0466877538495E-3
23E+0	0E+0	3.6224769153020096E+9	756.61191646338799E-3	369.89973483047028E-3
24E+0	0E+0	3.6224769153080096E+9	493.24097364427932E-3	335.05686602926071E-3
25E+0	0E+0	3.6224769153150096E+9	795.3359986098989E-3	296.86621977776145E-3
26E+0	0E+0	3.6224769153220096E+9	769.47086188537173E-3	255.70938438916829E-3
27E+0	0E+0	3.6224769153310099E+9	871.94243173981634E-3	211.99758535804294E-3
28E+0	0E+0	3.6224769153430095E+9	590.01061239450636E-3	166.167576531105E-3
29E+0	0E+0	3.6224769153510098E+9	229.70841205341763E-3	118.67727620716605E-3
30E+0	0E+0	3.6224769153580098E+9	965.87126345190222E-3	70.001191768856885E-3
31E+0	0E+0	3.6224769153640099E+9	673.03302861087788E-3	20.625678561710891E-3
32E+0	0E+0	3.6224769153710098E+9	355.57471830517717E-3	-28.955919607680864E-3
33E+0	0E+0	3.6224769153780098E+9	558.60473630074825E-3	-78.248199799906909E-3
34E+0	0E+0	3.6224769153940096E+9	903.16608946651522E-3	-126.75864984514845E-3
35E+0	0E+0	3.6224769154030099E+9	214.04073973654247E-3	-174.00256936197608E-3
36E+0	0E+0	3.6224769154090099E+9	292.89249660917993E-3	-219.50791272334114E-3
37E+0	0E+0	3.6224769154150095E+9	746.05574600998614E-3	-262.82000558044349E-3
38E+0	0E+0	3.6224769154220095E+9	871.32245472365377E-3	-303.50608781852911E-3
39E+0	0E+0	3.6224769154270096E+9	685.01354878407539E-3	-341.15963755290624E-3
40E+0	0E+0	3.6224769154320097E+9	835.85702931867756E-3	-375.40443296123738E-3
41E+0	0E+0	3.6224769154370098E+9	162.64606124999781E-3	-405.89831136762683E-3
42E+0	0E+0	3.6224769154410095E+9	531.56585603036288E-3	-432.3365880189744E-3
43E+0	0E+0	3.6224769154470096E+9	636.37373124184315E-3	-454.45510039431153E-3
44E+0	0E+0	3.6224769154520097E+9	251.79387081240234E-3	-472.03284762939246E-3
