#2019-05-17
#18:03
#Balayage par: lalg1702
#ScanTask Size: 51


#Tools.Indice de points(Points)	Tools.Crb 1 Dat(Arb)          	Tools.Random Number(Arb)      	Tools.Temps Abs(ms)           
0E+0	0E+0	59.872074135135289E-3	3.640975405456831E+9
1E+0	30.260515496984115E-3	207.52703872787781E-3	3.6409754054588261E+9
2E+0	60.218677925918881E-3	809.001522418753E-3	3.6409754054608245E+9
3E+0	89.575155230666267E-3	96.448354586899931E-3	3.6409754054628134E+9
4E+0	118.03662719395849E-3	741.17722358588534E-3	3.6409754054656234E+9
5E+0	145.31871619605008E-3	553.50928915939401E-3	3.6409754054945459E+9
6E+0	171.14882862189176E-3	32.726620395018724E-3	3.6409754054957252E+9
7E+0	195.26887852642452E-3	611.91099194191234E-3	3.6409754054977217E+9
8E+0	217.43786634403076E-3	651.91311031181054E-3	3.6409754054995337E+9
9E+0	237.43428687652995E-3	786.43037092901569E-3	3.6409754055005326E+9
10E+0	255.05834249989923E-3	753.06675252229827E-3	3.6409754055027065E+9
11E+0	270.13393947608816E-3	706.32887377871301E-3	3.6409754055035243E+9
12E+0	282.51044742344034E-3	136.90740263228029E-3	3.6409754055184822E+9
13E+0	292.06420436567559E-3	537.31352567801527E-3	3.6409754055194807E+9
14E+0	298.69975232147922E-3	472.71347937629171E-3	3.6409754055204768E+9
15E+0	302.35079108909735E-3	774.37289931833464E-3	3.6409754055224729E+9
16E+0	302.98084069603687E-3	2.3906066128307479E-3	3.6409754055234699E+9
17E+0	300.58360589489197E-3	992.327822834423E-3	3.6409754055244665E+9
18E+0	295.18303906337523E-3	826.88746908040711E-3	3.6409754055254636E+9
19E+0	286.83310088007713E-3	340.68537500936058E-3	3.6409754055264611E+9
20E+0	275.61722116720261E-3	356.31973613515444E-3	3.6409754055284557E+9
21E+0	261.64746528736571E-3	610.45886424608442E-3	3.6409754055474052E+9
22E+0	245.06341442353047E-3	587.96591380687535E-3	3.6409754055484033E+9
23E+0	226.03077092997004E-3	887.48960561343804E-3	3.6409754055494008E+9
24E+0	204.73970268911643E-3	475.86170462232213E-3	3.6409754055503983E+9
25E+0	181.40294301694088E-3	841.54177839385014E-3	3.6409754055523925E+9
26E+0	156.25366510198066E-3	698.13085134877029E-3	3.64097540555339E+9
27E+0	129.543152215916E-3	970.82227202685556E-3	3.6409754055553846E+9
28E+0	101.53828697418292E-3	150.92391890417089E-3	3.6409754055563817E+9
29E+0	72.518884733098921E-3	134.60156354573849E-3	3.6409754055653553E+9
30E+0	42.774897767317979E-3	895.61314572031336E-3	3.6409754055663543E+9
31E+0	12.603518162547315E-3	562.66400560851426E-3	3.6409754055673532E+9
32E+0	-17.693791629534324E-3	872.05723415255587E-3	3.6409754055683498E+9
33E+0	-47.814310904443422E-3	906.58852588514605E-3	3.6409754055693464E+9
34E+0	-77.457085390105262E-3	9.8222439787249982E-3	3.640975405571342E+9
35E+0	-106.3259342824575E-3	333.19560976741158E-3	3.6409754055733361E+9
36E+0	-134.13240958614042E-3	195.42827427893705E-3	3.6409754055743337E+9
37E+0	-160.59867819151832E-3	282.20807239845147E-3	3.6409754055843077E+9
38E+0	-185.46029789127139E-3	790.32629196745496E-3	3.6409754055853043E+9
39E+0	-208.4688595995188E-3	769.38649900551814E-3	3.6409754055872989E+9
40E+0	-229.39446937329089E-3	342.60517470324947E-3	3.6409754055882964E+9
41E+0	-248.02804543681503E-3	706.87781424333107E-3	3.6409754055892925E+9
42E+0	-264.18340725750605E-3	887.67093931231589E-3	3.6409754055902925E+9
43E+0	-277.69913580030386E-3	217.29404900852689E-3	3.6409754055912886E+9
44E+0	-288.44018637331503E-3	548.03801140905162E-3	3.6409754055922856E+9
45E+0	-296.29923794973301E-3	878.33187853757111E-3	3.6409754055942793E+9
46E+0	-301.19776548406352E-3	530.62145821094697E-3	3.6409754056002703E+9
47E+0	-303.08682450842134E-3	158.32470347826222E-3	3.6409754056012616E+9
48E+0	-301.947540169475E-3	570.97869996696038E-3	3.6409754056022577E+9
49E+0	-297.79129581974184E-3	868.34762558043577E-3	3.6409754056042528E+9
50E+0	-290.65961927889283E-3	919.19287005139005E-3	3.6409754056052508E+9
