#2019-05-31
#10:33
#Balayage par: lalg1702
#ScanTask Size: 11,1

#Sweep Count: 1

#Tools.Indice de points(Points)	Tools.Time(ms)                	Tools.SweepNumber(Sweep)      	Tools.Random Number(Arb)      	Tools.Temps Abs(ms)           	Tools.Crb 1 Dat(Arb)          
0E+0	3.642158011978E+9	0E+0	871.8930794776E-3	3.64215801198E+9	0E+0
1E+0	3.642158011982E+9	0E+0	267.2197719143E-3	3.642158011984E+9	93.76145385975E-3
2E+0	3.642158011986E+9	0E+0	582.2424421188E-3	3.642158011989E+9	186.5860742659E-3
3E+0	3.642158011991E+9	0E+0	910.6519519247E-3	3.642158012068E+9	277.5463882952E-3
4E+0	3.64215801207E+9	0E+0	241.306135096E-3	3.642158012072E+9	365.7335505573E-3
5E+0	3.642158012073E+9	0E+0	79.81210251835E-3	3.642158012074E+9	450.2664240777E-3
6E+0	3.642158012075E+9	0E+0	272.5275187636E-3	3.642158012076E+9	530.3003843269E-3
7E+0	3.642158012077E+9	0E+0	857.0854342018E-3	3.642158012079E+9	605.03575843E-3
8E+0	3.64215801208E+9	0E+0	730.9025978456E-3	3.6421580121E+9	673.725815233E-3
9E+0	3.642158012101E+9	0E+0	199.4925966745E-3	3.642158012104E+9	735.6842263944E-3
10E+0	3.642158012105E+9	0E+0	556.4403891735E-3	3.642158012108E+9	790.2919239506E-3
