#2019-06-04
#16:13
#Balayage par: lalg1702
#ScanTask Size: 6,3,4

#Sweep Count: 3

#Tools.Indice de points(Points)	Tools.Time(ms)                	Tools.SweepNumber(Sweep)      	Tools.ScanPar(Arb)            	Tools.Random Number(Arb)      	Tools.Temps Abs(ms)           	Tools.Crb 1 Dat(Arb)          	Calc.Avg(Tools.Crb 1 Dat(Arb))
0E+0	3.642524014434E+9	0E+0	0E+0	937.639578815E-3	3.642524014436E+9	0E+0	0E+0
1E+0	3.642524014442E+9	0E+0	0E+0	562.9993659812E-3	3.64252401456E+9	93.76145385975E-3	93.76145385975E-3
2E+0	3.642524014562E+9	0E+0	0E+0	818.1772971347E-3	3.642524014652E+9	186.5860742659E-3	186.5860742659E-3
3E+0	3.642524014655E+9	0E+0	0E+0	694.2288093594E-3	3.642524014664E+9	277.5463882952E-3	277.5463882952E-3
4E+0	3.642524014667E+9	0E+0	0E+0	340.4003507115E-3	3.642524014827E+9	365.7335505573E-3	365.7335505573E-3
5E+0	3.642524014831E+9	0E+0	0E+0	698.5307063468E-3	3.642524014835E+9	450.2664240777E-3	450.2664240777E-3
0E+0	3.642524014838E+9	1E+0	0E+0	562.6366368264E-3	3.642524014922E+9	0E+0	0E+0
1E+0	3.642524014925E+9	1E+0	0E+0	491.5441252737E-3	3.642524014962E+9	93.76145385975E-3	93.76145385975E-3
2E+0	3.642524014966E+9	1E+0	0E+0	24.04283075432E-3	3.642524014972E+9	186.5860742659E-3	186.5860742659E-3
3E+0	3.642524014974E+9	1E+0	0E+0	789.812541309E-3	3.642524015043E+9	277.5463882952E-3	277.5463882952E-3
4E+0	3.642524015046E+9	1E+0	0E+0	376.7677308639E-3	3.642524015051E+9	365.7335505573E-3	365.7335505573E-3
5E+0	3.642524015054E+9	1E+0	0E+0	461.5820699803E-3	3.642524015124E+9	450.2664240777E-3	450.2664240777E-3
0E+0	3.642524015127E+9	2E+0	0E+0	271.7618113483E-3	3.642524015157E+9	0E+0	0E+0
1E+0	3.64252401516E+9	2E+0	0E+0	236.4952411366E-3	3.642524015233E+9	93.76145385975E-3	93.76145385975E-3
2E+0	3.642524015236E+9	2E+0	0E+0	645.6280558537E-3	3.642524015241E+9	186.5860742659E-3	186.5860742659E-3
