#2019-06-06
#12:56
#Balayage par: lalg1702
#ScanTask Size: 4,3

#Sweep Count: 3

#Tools.Indice de points(Points)	Tools.Time(ms)                	Tools.SweepNumber(Sweep)      	Tools.Random Number(Arb)      	Tools.Temps Abs(ms)           	Tools.Crb 1 Dat(Arb)          	Calc.Avg(Tools.Crb 1 Dat(Arb))
0E+0	3.642684965552E+9	0E+0	821.8577622818E-3	3.642684965555E+9	0E+0	NaN
1E+0	3.642684965555E+9	0E+0	167.0843600544E-3	3.642684965557E+9	88.88712093625E-3	NaN
2E+0	3.642684965558E+9	0E+0	509.212291616E-3	3.64268496556E+9	176.8861111423E-3	NaN
3E+0	3.64268496556E+9	0E+0	937.3922355424E-3	3.642684965562E+9	263.1177137966E-3	NaN
0E+0	3.642684965562E+9	1E+0	245.2181939695E-3	3.642684965564E+9	0E+0	NaN
1E+0	3.642684965565E+9	1E+0	701.8191411582E-3	3.64268496558E+9	88.88712093625E-3	NaN
2E+0	3.642684965581E+9	1E+0	676.2092523518E-3	3.642684965583E+9	176.8861111423E-3	NaN
3E+0	3.642684965583E+9	1E+0	695.2208553466E-3	3.642684965585E+9	263.1177137966E-3	NaN
0E+0	3.642684965585E+9	2E+0	998.8203821845E-3	3.642684965586E+9	0E+0	NaN
1E+0	3.642684965587E+9	2E+0	541.1126149549E-3	3.642684965588E+9	88.88712093625E-3	NaN
2E+0	3.642684965589E+9	2E+0	154.772547899E-3	3.642684965643E+9	176.8861111423E-3	NaN
3E+0	3.642684965643E+9	2E+0	781.245768417E-3	3.642684965644E+9	263.1177137966E-3	NaN
