#2020-09-11
#15:23
#Balayage par: lalg1702
#ScanTask Size: 10001

#Instrument: LSCI332@LSCI332.lvclass Function:Read_InputA (K,S); Parameters:*BeforeWait(ms):0*AfterWait(ms):0

#Minuteur.Time(s)              	LSCI332.Temp(K)               	LSCI332.Sensor(U)             
3.682696988599E+9	0E+0	0E+0
3.682696993629E+9	0E+0	0E+0
3.682696998649E+9	0E+0	0E+0
3.682697003669E+9	0E+0	0E+0
3.68269700869E+9	0E+0	0E+0
3.682697013711E+9	0E+0	0E+0
3.68269701874E+9	0E+0	0E+0
3.682697023758E+9	0E+0	0E+0
3.682697028779E+9	0E+0	0E+0
3.682697033799E+9	0E+0	0E+0
3.682697038819E+9	0E+0	0E+0
3.682697043838E+9	0E+0	0E+0
3.682697048858E+9	0E+0	0E+0
3.682697053879E+9	0E+0	0E+0
3.6826970589E+9	0E+0	0E+0
3.682697063918E+9	0E+0	0E+0
3.682697068938E+9	0E+0	0E+0
3.682697073958E+9	0E+0	0E+0
3.682697078979E+9	0E+0	0E+0
3.682697083999E+9	0E+0	0E+0
3.682697089018E+9	0E+0	0E+0
3.682697094038E+9	0E+0	0E+0
3.682697099059E+9	0E+0	0E+0
3.682697104079E+9	0E+0	0E+0
3.682697109099E+9	0E+0	0E+0
3.682697114119E+9	0E+0	0E+0
3.68269711914E+9	0E+0	0E+0
3.682697124159E+9	0E+0	0E+0
3.68269712918E+9	0E+0	0E+0
3.6826971342E+9	0E+0	0E+0
3.682697139218E+9	0E+0	0E+0
3.682697144239E+9	0E+0	0E+0
3.682697149259E+9	0E+0	0E+0
3.68269715429E+9	0E+0	0E+0
3.682697159308E+9	0E+0	0E+0
3.682697164328E+9	0E+0	0E+0
3.68269716935E+9	0E+0	0E+0
3.682697174369E+9	0E+0	0E+0
3.6826971794E+9	0E+0	0E+0
3.682697184419E+9	0E+0	0E+0
