#2020-10-26
#16:26
#Balayage par: lalg1702
#ScanTask Size: 11,11

#Instrument: YokoGS200@YokoGS200.lvclass Function:SetVoltage (V); Parameters:*BeforeWait(ms):0*AfterWait(ms):0 Source Range: 10V; AutoRange: Off;
#Instrument: SR830@SR830.lvclass Function:Read Mag & Phase (V,°); Parameters:*BeforeWait(ms):0*AfterWait(ms):0Phase Shift: 0°; Reference Source: Internal; Reference Frequency: 149.03Hz; Reference Trigger: Sine Zero Crossing; Detection Harmonic: 1; Sine Amplitude: 0.004V; Input Configuration: A; Input Shield: Float; Input Coupling: DC; 1xLineFilter: Off; 2xLineFilter: Off; Sensitivity: 50 µV/pA; Dynamic Reserve: Low; Time Constant: 100 ms; Low Pass Filter: 24 dB/oct; Sync Filter: Off; Expand X: Off, Offset: 0%; Expand Y: Off, Offset: 0%; Expand R: Off, Offset: 0%; 

#Tools.Indice de points(Points)	Tools.Time(ms)                	YokoGS200.Volt(V)             	SR830.Mag(V)                  	SR830.Phase(°)                	Tools.Temps Abs(ms)           
0E+0	3.686588836767E+9	0E+0	376.256E-9	-122.142E+0	3.686588836887E+9
1E+0	3.686588836888E+9	0E+0	366.943E-9	-115.518E+0	3.686588836926E+9
2E+0	3.686588836927E+9	0E+0	366.943E-9	-110.16E+0	3.686588836965E+9
3E+0	3.686588836965E+9	0E+0	374.393E-9	-105.702E+0	3.686588837011E+9
4E+0	3.686588837012E+9	0E+0	370.668E-9	-104.034E+0	3.686588837049E+9
5E+0	3.68658883705E+9	0E+0	331.553E-9	-107.166E+0	3.686588837086E+9
6E+0	3.686588837086E+9	0E+0	268.223E-9	-117.042E+0	3.686588837123E+9
7E+0	3.686588837123E+9	0E+0	203.029E-9	-134.334E+0	3.686588837163E+9
8E+0	3.686588837163E+9	0E+0	156.463E-9	-155.352E+0	3.6865888372E+9
9E+0	3.6865888372E+9	0E+0	128.523E-9	-174.87E+0	3.686588837237E+9
10E+0	3.686588837237E+9	0E+0	128.523E-9	165.066E+0	3.686588837274E+9
0E+0	3.686588837274E+9	1E+0	143.425E-9	127.53E+0	3.686588837391E+9
1E+0	3.686588837392E+9	1E+0	109.897E-9	111.48E+0	3.68658883743E+9
2E+0	3.68658883743E+9	1E+0	74.5063E-9	78.438E+0	3.686588837469E+9
3E+0	3.686588837469E+9	1E+0	89.4074E-9	32.802E+0	3.686588837508E+9
4E+0	3.686588837508E+9	1E+0	150.875E-9	6.966E+0	3.686588837551E+9
5E+0	3.686588837551E+9	1E+0	242.146E-9	-3.138E+0	3.686588837589E+9
6E+0	3.68658883759E+9	1E+0	329.69E-9	-4.644E+0	3.686588837627E+9
7E+0	3.686588837627E+9	1E+0	396.745E-9	-3.846E+0	3.686588837664E+9
8E+0	3.686588837665E+9	1E+0	430.273E-9	-4.212E+0	3.686588837701E+9
9E+0	3.686588837701E+9	1E+0	396.745E-9	-8.676E+0	3.686588837737E+9
10E+0	3.686588837737E+9	1E+0	316.651E-9	-17.964E+0	3.686588837776E+9
0E+0	3.686588837776E+9	2E+0	230.969E-9	-108.96E+0	3.686588837891E+9
1E+0	3.686588837892E+9	2E+0	312.926E-9	-115.476E+0	3.686588837928E+9
2E+0	3.686588837928E+9	2E+0	383.707E-9	-114.012E+0	3.686588837965E+9
3E+0	3.686588837965E+9	2E+0	443.311E-9	-110.13E+0	3.686588838002E+9
4E+0	3.686588838002E+9	2E+0	486.154E-9	-105.702E+0	3.68658883804E+9
5E+0	3.68658883804E+9	2E+0	497.33E-9	-100.782E+0	3.686588838077E+9
6E+0	3.686588838078E+9	2E+0	495.467E-9	-95.574E+0	3.68658883812E+9
7E+0	3.68658883812E+9	2E+0	474.976E-9	-87.6E+0	3.686588838156E+9
8E+0	3.686588838156E+9	2E+0	445.174E-9	-77.934E+0	3.686588838194E+9
9E+0	3.686588838194E+9	2E+0	400.471E-9	-65.988E+0	3.686588838232E+9
10E+0	3.686588838233E+9	2E+0	337.141E-9	-51.606E+0	3.686588838271E+9
0E+0	3.686588838272E+9	3E+0	325.965E-9	80.01E+0	3.686588838415E+9
1E+0	3.686588838416E+9	3E+0	508.506E-9	92.058E+0	3.686588838451E+9
2E+0	3.686588838452E+9	3E+0	694.77E-9	96.888E+0	3.686588838489E+9
3E+0	3.68658883849E+9	3E+0	849.37E-9	99.816E+0	3.686588838526E+9
4E+0	3.686588838527E+9	3E+0	949.953E-9	101.844E+0	3.686588838565E+9
5E+0	3.686588838565E+9	3E+0	989.072E-9	103.92E+0	3.686588838603E+9
