#2020-10-29
#11:52
#Balayage par: dphy-morrislab
#ScanTask Size: 100001

#Instrument: LSCI332@LSCI332.lvclass Function:Read_InputB (K,S); Parameters:*BeforeWait(ms):0*AfterWait(ms):0

#Tools.Time(s)                 	LSCI332.Temp(K)               	LSCI332.Sensor(U)             
3.686831578786E+9	3.79E+0	1.5908E+0
3.686831588815E+9	3.789E+0	1.5908E+0
3.686831598845E+9	3.789E+0	1.5908E+0
3.686831608875E+9	3.788E+0	1.5909E+0
3.686831618916E+9	3.796E+0	1.5907E+0
3.686831628946E+9	3.822E+0	1.5899E+0
3.686831638975E+9	3.831E+0	1.5896E+0
3.686831649015E+9	3.837E+0	1.5895E+0
3.686831659046E+9	3.83E+0	1.5897E+0
3.686831669076E+9	3.833E+0	1.5896E+0
3.686831679115E+9	3.836E+0	1.5895E+0
3.686831689145E+9	3.836E+0	1.5894E+0
3.686831699176E+9	3.834E+0	1.5895E+0
3.686831709215E+9	3.848E+0	1.5891E+0
3.686831719257E+9	3.845E+0	1.5892E+0
3.686831729435E+9	3.846E+0	1.5892E+0
3.686831739466E+9	3.844E+0	1.5892E+0
3.686831749495E+9	3.842E+0	1.5893E+0
3.686831759525E+9	3.822E+0	1.5899E+0
3.686831769555E+9	3.826E+0	1.5898E+0
3.686831779585E+9	3.817E+0	1.59E+0
3.686831789616E+9	3.838E+0	1.5894E+0
3.686831799655E+9	3.839E+0	1.5894E+0
3.686831809685E+9	3.842E+0	1.5893E+0
3.686831819716E+9	3.845E+0	1.5892E+0
3.686831829746E+9	3.844E+0	1.5893E+0
3.686831839775E+9	3.836E+0	1.5895E+0
3.686831849816E+9	3.821E+0	1.5899E+0
3.686831859846E+9	3.823E+0	1.5899E+0
3.686831869885E+9	3.825E+0	1.5898E+0
3.686831879916E+9	3.824E+0	1.5898E+0
3.686831889945E+9	3.825E+0	1.5898E+0
3.686831899975E+9	3.822E+0	1.5899E+0
3.686831910006E+9	3.824E+0	1.5898E+0
3.686831920035E+9	3.828E+0	1.5897E+0
3.686831930066E+9	3.843E+0	1.5893E+0
3.686831940115E+9	3.844E+0	1.5892E+0
3.686831950145E+9	3.83E+0	1.5896E+0
3.686831960176E+9	3.825E+0	1.5898E+0
3.686831970216E+9	3.83E+0	1.5897E+0
3.686831980245E+9	3.829E+0	1.5897E+0
3.686831990274E+9	3.81E+0	1.5902E+0
3.686832000315E+9	3.794E+0	1.5907E+0
3.686832010345E+9	3.813E+0	1.5901E+0
3.686832020375E+9	3.811E+0	1.5902E+0
3.686832030415E+9	3.812E+0	1.5902E+0
3.686832040456E+9	3.814E+0	1.5901E+0
3.686832050486E+9	3.814E+0	1.5901E+0
3.686832060517E+9	3.814E+0	1.5901E+0
3.686832070545E+9	3.842E+0	1.5893E+0
3.686832080576E+9	3.835E+0	1.5895E+0
3.686832090616E+9	3.832E+0	1.5896E+0
3.686832100646E+9	3.832E+0	1.5896E+0
3.686832110685E+9	3.831E+0	1.5896E+0
3.686832120716E+9	3.83E+0	1.5897E+0
3.686832130756E+9	3.832E+0	1.5895E+0
3.686832141615E+9	3.83E+0	1.5896E+0
3.686832151646E+9	3.833E+0	1.5896E+0
3.686832161676E+9	3.843E+0	1.5893E+0
3.686832171716E+9	3.836E+0	1.5895E+0
3.686832181746E+9	3.833E+0	1.5895E+0
3.686832191926E+9	3.831E+0	1.5896E+0
3.686832201957E+9	3.828E+0	1.5897E+0
3.686832211986E+9	3.834E+0	1.5895E+0
3.686832222015E+9	3.847E+0	1.5892E+0
3.686832232046E+9	3.835E+0	1.5895E+0
3.686832242076E+9	3.795E+0	1.5907E+0
3.686832252117E+9	3.799E+0	1.5906E+0
3.686832262146E+9	3.801E+0	1.5905E+0
3.686832272176E+9	3.799E+0	1.5905E+0
3.686832282217E+9	3.803E+0	1.5904E+0
3.686832292248E+9	3.804E+0	1.5904E+0
3.686832302276E+9	3.805E+0	1.5904E+0
3.686832312317E+9	3.806E+0	1.5903E+0
3.686832322347E+9	3.8E+0	1.5905E+0
3.686832332376E+9	3.826E+0	1.5898E+0
3.686832342418E+9	3.824E+0	1.5898E+0
3.686832352446E+9	3.824E+0	1.5898E+0
3.686832362477E+9	3.825E+0	1.5898E+0
3.686832372518E+9	3.827E+0	1.5897E+0
3.686832382546E+9	3.826E+0	1.5898E+0
3.686832392577E+9	3.823E+0	1.5898E+0
3.686832402616E+9	3.822E+0	1.5899E+0
3.686832412647E+9	3.82E+0	1.5899E+0
3.686832422677E+9	3.82E+0	1.5899E+0
3.686832432708E+9	3.818E+0	1.59E+0
3.686832442747E+9	3.82E+0	1.59E+0
3.686832452777E+9	3.816E+0	1.5901E+0
3.686832462818E+9	3.815E+0	1.5901E+0
3.686832472848E+9	3.816E+0	1.5901E+0
3.686832482878E+9	3.809E+0	1.5903E+0
3.686832492918E+9	3.807E+0	1.5903E+0
3.686832502958E+9	3.811E+0	1.5902E+0
3.686832513128E+9	3.812E+0	1.5902E+0
3.686832523167E+9	3.817E+0	1.59E+0
3.686832533198E+9	3.833E+0	1.5896E+0
3.686832543227E+9	3.833E+0	1.5896E+0
3.686832553258E+9	3.826E+0	1.5897E+0
3.686832563287E+9	3.828E+0	1.5897E+0
3.686832573317E+9	3.826E+0	1.5898E+0
3.686832583348E+9	3.828E+0	1.5897E+0
3.686832593388E+9	3.825E+0	1.5898E+0
3.686832603417E+9	3.825E+0	1.5898E+0
3.686832613448E+9	3.824E+0	1.5898E+0
3.686832623477E+9	3.827E+0	1.5897E+0
3.68683263453E+9	3.828E+0	1.5897E+0
3.686832644558E+9	3.826E+0	1.5898E+0
3.686832654587E+9	3.825E+0	1.5898E+0
3.686832664617E+9	3.823E+0	1.5898E+0
3.686832674648E+9	3.825E+0	1.5898E+0
3.686832684677E+9	3.822E+0	1.5899E+0
3.686832694718E+9	3.823E+0	1.5898E+0
3.686832704747E+9	3.825E+0	1.5898E+0
3.686832714777E+9	3.824E+0	1.5898E+0
3.686832724818E+9	3.823E+0	1.5898E+0
3.686832734848E+9	3.821E+0	1.5899E+0
3.686832744878E+9	3.825E+0	1.5898E+0
