#2020-10-30
#09:06
#Balayage par: dphy-morrislab
#ScanTask Size: 10001

#Instrument: LSCI332@LSCI332.lvclass Function:Read_InputA (K,S); Parameters:*BeforeWait(ms):0*AfterWait(ms):0

#Tools.Time(s)                 	LSCI332.Temp(K)               	LSCI332.Sensor(U)             
3.686908020061E+9	0E+0	0E+0
3.686908030092E+9	0E+0	0E+0
3.686908040111E+9	0E+0	0E+0
3.686908050132E+9	0E+0	0E+0
3.68690806015E+9	0E+0	0E+0
3.686908070171E+9	0E+0	0E+0
3.686908080191E+9	0E+0	0E+0
3.68690809021E+9	0E+0	0E+0
3.68690810022E+9	0E+0	0E+0
3.686908110241E+9	0E+0	0E+0
3.686908120261E+9	0E+0	0E+0
3.686908130281E+9	0E+0	0E+0
3.686908140302E+9	0E+0	0E+0
3.686908150321E+9	0E+0	0E+0
3.68690816034E+9	0E+0	0E+0
3.68690817038E+9	0E+0	0E+0
3.686908180401E+9	0E+0	0E+0
3.686908190422E+9	0E+0	0E+0
