#2020-10-30
#10:22
#Balayage par: dphy-morrislab
#ScanTask Size: 31

#Instrument: LSCI332@LSCI332.lvclass Function:Read_InputB&Heater (K,S,%,W); Parameters:*BeforeWait(ms):0*AfterWait(ms):0

#Tools.Time(s)                 	LSCI332.Temp(K)               	LSCI332.Sensor(U)             	LSCI332.Heater(%)             	LSCI332.Heater(W)             
3.686912573356E+9	231.48E+0	714.8E-3	0E+0	0E+0
3.686912574386E+9	231.48E+0	714.8E-3	0E+0	0E+0
3.686912575416E+9	231.49E+0	714.8E-3	0E+0	0E+0
3.686912576447E+9	231.49E+0	714.8E-3	0E+0	0E+0
3.686912577477E+9	231.49E+0	714.8E-3	0E+0	0E+0
3.686912578507E+9	231.49E+0	714.8E-3	0E+0	0E+0
3.686912579536E+9	231.49E+0	714.7E-3	0E+0	0E+0
3.686912580565E+9	231.49E+0	714.7E-3	0E+0	0E+0
3.686912581595E+9	231.49E+0	714.7E-3	0E+0	0E+0
3.686912582626E+9	231.49E+0	714.7E-3	0E+0	0E+0
3.686912583655E+9	231.5E+0	714.7E-3	0E+0	0E+0
3.686912584685E+9	231.5E+0	714.7E-3	0E+0	0E+0
3.686912585716E+9	231.5E+0	714.7E-3	0E+0	0E+0
3.686912586745E+9	231.5E+0	714.7E-3	0E+0	0E+0
3.686912587776E+9	231.5E+0	714.7E-3	0E+0	0E+0
3.686912588805E+9	231.5E+0	714.7E-3	0E+0	0E+0
3.686912589836E+9	231.51E+0	714.7E-3	0E+0	0E+0
3.686912590865E+9	231.51E+0	714.7E-3	0E+0	0E+0
3.686912591897E+9	231.51E+0	714.7E-3	0E+0	0E+0
3.686912592926E+9	231.51E+0	714.7E-3	0E+0	0E+0
3.686912593957E+9	231.51E+0	714.7E-3	0E+0	0E+0
3.686912594987E+9	231.51E+0	714.7E-3	0E+0	0E+0
3.686912596026E+9	231.52E+0	714.7E-3	0E+0	0E+0
3.686912597055E+9	231.52E+0	714.7E-3	0E+0	0E+0
3.686912598085E+9	231.52E+0	714.7E-3	0E+0	0E+0
3.686912599115E+9	231.52E+0	714.7E-3	0E+0	0E+0
3.686912600146E+9	231.52E+0	714.7E-3	0E+0	0E+0
3.686912601175E+9	231.52E+0	714.7E-3	0E+0	0E+0
3.686912602205E+9	231.52E+0	714.7E-3	0E+0	0E+0
3.686912603235E+9	231.52E+0	714.7E-3	0E+0	0E+0
3.686912604266E+9	231.53E+0	714.7E-3	0E+0	0E+0
