#2020-11-05
#16:12
#Balayage par: dphy-morrislab
#ScanTask Size: 401

#Instrument: Monospec50@Monospec50.lvclass Function:Position (nm); Parameters:*BeforeWait(ms):0*AfterWait(ms):0
#Instrument: SR400@SR400.lvclass Function:Read_Count (Arb); Parameters:*BeforeWait(ms):0*AfterWait(ms):0; NbPeriod:2; Dwell(s)1.000000E-2; T Preset(s)1.000000E+0; Mode:A,B for T Preset

#Monospec50.Position(nm)       	SR400.Compte moy(ph)          
500E+0	25E+0
500.5E+0	35E+0
501E+0	50E+0
501.5E+0	65E+0
502E+0	75.5E+0
502.5E+0	48.5E+0
503E+0	65.5E+0
503.5E+0	74.5E+0
504E+0	33E+0
504.5E+0	66E+0
505E+0	15.5E+0
505.5E+0	93E+0
506E+0	49E+0
506.5E+0	42.5E+0
507E+0	88.5E+0
507.5E+0	47E+0
508E+0	79.5E+0
508.5E+0	60E+0
509E+0	51E+0
509.5E+0	86E+0
510E+0	75.5E+0
510.5E+0	37.5E+0
511E+0	33.5E+0
511.5E+0	45E+0
512E+0	67E+0
512.5E+0	51E+0
513E+0	34E+0
513.5E+0	64E+0
514E+0	92.5E+0
514.5E+0	86E+0
515E+0	60E+0
515.5E+0	50.5E+0
516E+0	45E+0
516.5E+0	40E+0
517E+0	58E+0
517.5E+0	57E+0
518E+0	78E+0
518.5E+0	57.5E+0
519E+0	73.5E+0
519.5E+0	22.5E+0
520E+0	64.5E+0
520.5E+0	74E+0
521E+0	28E+0
521.5E+0	55.5E+0
522E+0	53E+0
522.5E+0	34.5E+0
523E+0	49.5E+0
523.5E+0	49E+0
524E+0	39E+0
524.5E+0	36.5E+0
525E+0	33E+0
525.5E+0	55E+0
526E+0	52E+0
526.5E+0	100.5E+0
527E+0	129E+0
527.5E+0	47E+0
528E+0	34E+0
528.5E+0	81.5E+0
529E+0	80.5E+0
529.5E+0	88.5E+0
530E+0	63E+0
530.5E+0	82.5E+0
531E+0	106E+0
531.5E+0	80E+0
532E+0	153.5E+0
532.5E+0	116E+0
533E+0	97.5E+0
533.5E+0	112.5E+0
534E+0	89E+0
534.5E+0	98E+0
535E+0	99E+0
535.5E+0	201E+0
536E+0	74E+0
536.5E+0	124.5E+0
537E+0	158E+0
537.5E+0	131E+0
538E+0	118.5E+0
538.5E+0	89.5E+0
539E+0	223E+0
539.5E+0	164.5E+0
540E+0	132E+0
540.5E+0	181E+0
541E+0	164.5E+0
541.5E+0	194E+0
542E+0	106.5E+0
542.5E+0	262E+0
543E+0	144E+0
543.5E+0	240E+0
544E+0	256.5E+0
544.5E+0	206.5E+0
545E+0	214E+0
545.5E+0	201E+0
546E+0	245E+0
546.5E+0	214.5E+0
547E+0	221.5E+0
547.5E+0	310.5E+0
548E+0	300E+0
548.5E+0	216E+0
549E+0	286E+0
549.5E+0	245.5E+0
550E+0	325.5E+0
550.5E+0	158E+0
551E+0	297E+0
551.5E+0	146.5E+0
552E+0	237E+0
552.5E+0	262.5E+0
553E+0	226E+0
553.5E+0	233.5E+0
554E+0	235E+0
