#2020-11-27
#15:28
#Balayage par: Administrateur
#ScanTask Size: 301

#Instrument: Triax320@Triax320.lvclass Function:Position (nm); Parameters:*BeforeWait(ms):0*AfterWait(ms):0
#Instrument: SR530@SR530.lvclass Function:Read Mag & Phase (V,°); Parameters:*BeforeWait(ms):0*AfterWait(ms):0BandFilter: On; LineFilter1x: On; LineFilter2x: On; Expand Ch1: Off; Expand Ch2: Off; Sensitivity: 20 µV; Pre Time: 300 ms; Post Time: 1 s; Dynamic Res.: Low; Reference Trigger: Negative; Channels Settings: R, Teta; Frequency: 320.000000; 

#Triax320.Position(nm)         	SR530.Mag(V)                  	SR530.Phase(°)                
699.9754E+0	1.82E-6	99.55E+0
701.009E+0	2.55E-6	100.65E+0
701.978E+0	2.84E-6	109.2E+0
703.011E+0	3.18E-6	115.35E+0
703.9791E+0	3.105E-6	105.95E+0
705.0117E+0	2.66E-6	106.3E+0
705.9793E+0	2.525E-6	103.6E+0
707.011E+0	2.73E-6	102.05E+0
707.9778E+0	2.61E-6	111.1E+0
709.009E+0	2.725E-6	105.5E+0
709.9754E+0	2.935E-6	110.15E+0
711.0058E+0	3.025E-6	113.3E+0
711.9714E+0	2.895E-6	115.15E+0
713.0012E+0	3.025E-6	112.9E+0
714.0306E+0	2.54E-6	109.7E+0
714.9952E+0	3.105E-6	110.25E+0
716.024E+0	2.96E-6	102.4E+0
716.9882E+0	2.735E-6	102.25E+0
718.0162E+0	2.735E-6	102.9E+0
718.9798E+0	2.97E-6	109.6E+0
720.007E+0	2.78E-6	114.75E+0
720.9698E+0	2.87E-6	107.85E+0
721.9966E+0	3.09E-6	102.65E+0
723.023E+0	2.97E-6	105.3E+0
723.9847E+0	3.21E-6	108E+0
725.0106E+0	3.295E-6	116.65E+0
725.9715E+0	3.31E-6	114.35E+0
726.9966E+0	2.62E-6	107.9E+0
728.0212E+0	2.79E-6	108.2E+0
728.9815E+0	2.91E-6	107.35E+0
730.0054E+0	3.01E-6	108.5E+0
731.0288E+0	3.075E-6	97.3E+0
731.9882E+0	3.485E-6	98.3E+0
733.0112E+0	3.255E-6	99.25E+0
733.9698E+0	3.43E-6	109.1E+0
734.9919E+0	3.085E-6	105.85E+0
736.0138E+0	2.935E-6	111.85E+0
736.9714E+0	3.005E-6	114.2E+0
737.9925E+0	3.22E-6	113.15E+0
739.0132E+0	2.99E-6	107.35E+0
739.9699E+0	3.465E-6	107.35E+0
740.9899E+0	3.245E-6	102.75E+0
742.0098E+0	3.145E-6	105.9E+0
743.029E+0	3.19E-6	112.6E+0
743.9844E+0	3.565E-6	104.3E+0
745.003E+0	3.49E-6	103.85E+0
746.0214E+0	3.08E-6	109.95E+0
746.9757E+0	3.37E-6	109.2E+0
747.9931E+0	3.17E-6	103.05E+0
749.0102E+0	3.14E-6	109.3E+0
750.0273E+0	3.8E-6	110.75E+0
750.9802E+0	3.565E-6	103.4E+0
751.9963E+0	3.61E-6	100.4E+0
753.0122E+0	3.77E-6	102.8E+0
754.0275E+0	3.555E-6	103.8E+0
754.9791E+0	3.425E-6	106.85E+0
755.9938E+0	3.49E-6	101.95E+0
757.0082E+0	3.505E-6	101.45E+0
758.0222E+0	3.675E-6	108.3E+0
758.9724E+0	2.84E-6	108E+0
759.9855E+0	3.135E-6	108.05E+0
760.9985E+0	2.795E-6	99.8E+0
762.011E+0	3.09E-6	107.3E+0
763.0231E+0	3.24E-6	114.75E+0
763.9715E+0	3.585E-6	102.15E+0
764.983E+0	3.57E-6	101.9E+0
765.9941E+0	3.84E-6	105.85E+0
767.0047E+0	3.49E-6	106.35E+0
768.015E+0	3.485E-6	100.7E+0
769.025E+0	3.055E-6	105.75E+0
769.9714E+0	3.415E-6	105.7E+0
770.9806E+0	3.425E-6	105.35E+0
771.9894E+0	3.635E-6	105.6E+0
772.9978E+0	3.43E-6	107.95E+0
774.0059E+0	3.265E-6	111.85E+0
775.0135E+0	3.235E-6	111.9E+0
776.0208E+0	3.115E-6	109.85E+0
777.0278E+0	3.28E-6	107.15E+0
777.9714E+0	3.165E-6	104.55E+0
778.9775E+0	3.405E-6	100.9E+0
779.9834E+0	3.605E-6	98.55E+0
780.9888E+0	3.36E-6	103.85E+0
781.9939E+0	3.55E-6	108.45E+0
782.9987E+0	3.625E-6	106.55E+0
784.003E+0	3.26E-6	108.4E+0
785.0067E+0	3.16E-6	108E+0
786.0102E+0	3.245E-6	106.9E+0
787.0134E+0	3.345E-6	106.15E+0
788.0162E+0	3.58E-6	105.75E+0
789.0186E+0	2.955E-6	106.4E+0
790.0206E+0	3.265E-6	98.2E+0
791.0222E+0	3.275E-6	99.3E+0
792.0234E+0	3.24E-6	105.9E+0
