#2020-11-27
#15:52
#Balayage par: Administrateur
#ScanTask Size: 1201

#triax slit at 1mm(in) 2mm(out),amplifier 1ua/V,pm voltage =350V
#Instrument: Triax320@Triax320.lvclass Function:Position (nm); Parameters:*BeforeWait(ms):0*AfterWait(ms):0
#Instrument: SR530@SR530.lvclass Function:Read Mag & Phase (V,°); Parameters:*BeforeWait(ms):1000*AfterWait(ms):0BandFilter: On; LineFilter1x: On; LineFilter2x: On; Expand Ch1: Off; Expand Ch2: Off; Sensitivity: 50 µV; Pre Time: 300 ms; Post Time: 1 s; Dynamic Res.: Low; Reference Trigger: Negative; Channels Settings: R, Teta; Frequency: 320.000000; 

#Triax320.Position(nm)         	SR530.Mag(V)                  	SR530.Phase(°)                
400.0276E+0	0E+0	0E+0
400.5128E+0	260E-9	-84.5E+0
400.9979E+0	0E+0	0E+0
401.483E+0	0E+0	0E+0
401.968E+0	130E-9	0E+0
402.5223E+0	130E-9	0E+0
403.0072E+0	0E+0	0E+0
403.4922E+0	0E+0	0E+0
403.9771E+0	70E-9	0E+0
404.5312E+0	130E-9	0E+0
405.016E+0	170E-9	0E+0
405.5008E+0	60E-9	0E+0
405.9855E+0	150E-9	0E+0
406.4702E+0	520E-9	-167E+0
407.024E+0	310E-9	-151.3E+0
407.5086E+0	410E-9	-101.9E+0
407.9932E+0	150E-9	0E+0
408.4778E+0	0E+0	0E+0
409.0314E+0	60E-9	0E+0
409.5159E+0	70E-9	0E+0
410.0003E+0	400E-9	110.8E+0
410.4847E+0	100E-9	0E+0
410.9691E+0	0E+0	0E+0
411.5225E+0	0E+0	0E+0
412.0068E+0	530E-9	-121.5E+0
412.491E+0	520E-9	-134.4E+0
412.9752E+0	260E-9	-90E+0
413.5285E+0	30E-9	0E+0
414.0125E+0	70E-9	0E+0
414.4965E+0	0E+0	0E+0
414.9806E+0	0E+0	0E+0
415.5338E+0	210E-9	-9.1E+0
416.0176E+0	60E-9	0E+0
416.5015E+0	120E-9	0E+0
416.9854E+0	320E-9	-83.1E+0
417.4692E+0	0E+0	0E+0
418.0221E+0	0E+0	0E+0
418.5059E+0	0E+0	0E+0
418.9895E+0	700E-9	-90E+0
