#2020-11-27
#18:23
#Balayage par: Administrateur
#ScanTask Size: 10001

#Instrument: SR530@SR530.lvclass Function:Read Mag & Phase (V,°); Parameters:*BeforeWait(ms):100*AfterWait(ms):0BandFilter: On; LineFilter1x: On; LineFilter2x: On; Expand Ch1: Off; Expand Ch2: Off; Sensitivity: 2 mV; Pre Time: 300 ms; Post Time: 1 s; Dynamic Res.: Low; Reference Trigger: Negative; Channels Settings: R, Teta; Frequency: 321.000000; 

#Tools.Indice de points(Points)	Tools.Time(ms)                	SR530.Mag(V)                  	SR530.Phase(°)                
0E+0	3.689364199494E+9	895.5E-6	109.2E+0
1E+0	3.689364200638E+9	898E-6	109.1E+0
2E+0	3.689364201501E+9	895E-6	109.15E+0
3E+0	3.689364202366E+9	891E-6	109.25E+0
4E+0	3.689364203232E+9	888.5E-6	109.3E+0
5E+0	3.689364204095E+9	882E-6	109.3E+0
6E+0	3.68936420496E+9	879E-6	109.3E+0
7E+0	3.689364205824E+9	880E-6	109.2E+0
8E+0	3.68936420669E+9	882E-6	109.15E+0
9E+0	3.689364207554E+9	886E-6	109E+0
10E+0	3.68936420842E+9	887.5E-6	109E+0
11E+0	3.689364209285E+9	895E-6	109E+0
12E+0	3.689364210148E+9	900E-6	108.95E+0
13E+0	3.689364211014E+9	901.5E-6	108.95E+0
14E+0	3.689364211879E+9	897.5E-6	109.15E+0
15E+0	3.689364212743E+9	898.5E-6	109.05E+0
16E+0	3.689364213613E+9	896E-6	109.1E+0
17E+0	3.689364214477E+9	889.5E-6	109.2E+0
18E+0	3.689364215342E+9	889E-6	109.25E+0
19E+0	3.689364216208E+9	890E-6	109.25E+0
20E+0	3.689364217075E+9	895.5E-6	109.25E+0
21E+0	3.689364217942E+9	901.5E-6	109.4E+0
22E+0	3.689364218805E+9	907.5E-6	109.35E+0
23E+0	3.689364219669E+9	906.5E-6	109.3E+0
24E+0	3.689364220535E+9	918.5E-6	109.15E+0
25E+0	3.689364221401E+9	933E-6	109.2E+0
26E+0	3.689364222264E+9	939E-6	109.1E+0
27E+0	3.689364223129E+9	946E-6	108.8E+0
28E+0	3.689364223994E+9	952E-6	108.7E+0
29E+0	3.689364224858E+9	954.5E-6	108.6E+0
30E+0	3.689364225725E+9	964.5E-6	108.1E+0
31E+0	3.689364226589E+9	975E-6	107.75E+0
32E+0	3.689364227454E+9	977.5E-6	107.45E+0
33E+0	3.689364228319E+9	980.5E-6	107.1E+0
34E+0	3.689364229183E+9	993.5E-6	106.6E+0
35E+0	3.689364230049E+9	1.019E-3	106.4E+0
36E+0	3.689364230912E+9	1.04E-3	106.4E+0
37E+0	3.689364231778E+9	1.059E-3	106.45E+0
38E+0	3.689364232643E+9	1.1045E-3	106.8E+0
39E+0	3.689364233507E+9	1.1125E-3	107E+0
40E+0	3.689364234372E+9	1.1125E-3	107.15E+0
41E+0	3.689364235237E+9	1.108E-3	107.05E+0
42E+0	3.689364236102E+9	1.1055E-3	106.95E+0
43E+0	3.689364236973E+9	1.1135E-3	107E+0
44E+0	3.68936423784E+9	1.113E-3	107.25E+0
45E+0	3.689364238706E+9	1.109E-3	107.4E+0
46E+0	3.689364239574E+9	1.1065E-3	107.45E+0
47E+0	3.689364240438E+9	1.1035E-3	107.65E+0
48E+0	3.689364241303E+9	1.1045E-3	107.7E+0
49E+0	3.689364242168E+9	1.1E-3	108E+0
50E+0	3.689364243032E+9	1.103E-3	108.05E+0
51E+0	3.689364243898E+9	1.102E-3	108E+0
52E+0	3.689364244762E+9	1.0965E-3	107.95E+0
53E+0	3.689364245627E+9	1.0795E-3	107.95E+0
54E+0	3.689364246493E+9	1.065E-3	108E+0
55E+0	3.689364247357E+9	1.055E-3	108.05E+0
56E+0	3.689364248221E+9	1.0625E-3	107.8E+0
57E+0	3.689364249087E+9	1.069E-3	107.75E+0
58E+0	3.689364249953E+9	1.0725E-3	107.65E+0
59E+0	3.689364250817E+9	1.077E-3	107.95E+0
60E+0	3.689364251681E+9	1.0775E-3	108.15E+0
61E+0	3.689364252546E+9	1.079E-3	108.2E+0
62E+0	3.689364253411E+9	1.0815E-3	108.25E+0
63E+0	3.689364254275E+9	1.08E-3	107.95E+0
64E+0	3.689364255139E+9	1.0625E-3	107.4E+0
65E+0	3.689364256005E+9	1.0325E-3	106.8E+0
66E+0	3.689364256872E+9	996.5E-6	106.95E+0
67E+0	3.689364257739E+9	966.5E-6	107.7E+0
68E+0	3.689364258604E+9	952.5E-6	108.25E+0
69E+0	3.689364259469E+9	952.5E-6	108.15E+0
70E+0	3.689364260333E+9	996E-6	107.25E+0
71E+0	3.689364261198E+9	1.0635E-3	107.35E+0
72E+0	3.689364262063E+9	1.1005E-3	107.6E+0
73E+0	3.689364262928E+9	1.131E-3	107.7E+0
74E+0	3.689364263792E+9	1.132E-3	107.9E+0
75E+0	3.689364264658E+9	1.1305E-3	107.65E+0
76E+0	3.689364265523E+9	1.126E-3	107.8E+0
77E+0	3.689364266386E+9	1.1185E-3	107.6E+0
78E+0	3.689364267252E+9	1.116E-3	107.65E+0
79E+0	3.689364268117E+9	1.1105E-3	107.8E+0
80E+0	3.689364268981E+9	1.117E-3	107.7E+0
81E+0	3.689364269845E+9	1.119E-3	107.65E+0
82E+0	3.689364270711E+9	1.1205E-3	107.5E+0
83E+0	3.689364271576E+9	1.119E-3	107.5E+0
