#2020-11-27
#19:15
#Balayage par: Administrateur
#ScanTask Size: 901

#Instrument: Triax320@Triax320.lvclass Function:Position (nm); Parameters:*BeforeWait(ms):0*AfterWait(ms):0; Grating#: 0; Line Density(Grv/mm): 1800; Blaze: 400nm; Input Slit(mm): 0.250; Output Slit(mm): 0.500;
#Instrument: SR530@SR530.lvclass Function:Read Mag & Phase (V,°); Parameters:*BeforeWait(ms):100*AfterWait(ms):0BandFilter: On; LineFilter1x: On; LineFilter2x: On; Expand Ch1: Off; Expand Ch2: Off; Sensitivity: 2 mV; Pre Time: 300 ms; Post Time: 1 s; Dynamic Res.: Low; Reference Trigger: Negative; Channels Settings: R, Teta; Frequency: 321.000000; 

#Triax320.Position(nm)         	SR530.Mag(V)                  	SR530.Phase(°)                
300.0001333333E+0	0E+0	0E+0
300.5040666667E+0	0E+0	0E+0
301.0079333333E+0	0E+0	0E+0
301.5117333333E+0	0E+0	0E+0
302.0154666667E+0	0E+0	0E+0
302.5191333333E+0	0E+0	0E+0
303.0227333333E+0	0E+0	0E+0
303.4804666667E+0	0E+0	0E+0
303.984E+0	0E+0	0E+0
304.4873333333E+0	0E+0	0E+0
304.9906666667E+0	0E+0	0E+0
305.4939333333E+0	0E+0	0E+0
305.9970666667E+0	0E+0	0E+0
306.5002E+0	0E+0	0E+0
307.0032E+0	0E+0	0E+0
307.5062666667E+0	0E+0	0E+0
308.0090666667E+0	0E+0	0E+0
308.5119333333E+0	0E+0	0E+0
309.0146666667E+0	0E+0	0E+0
309.5174E+0	0E+0	0E+0
310.02E+0	0E+0	0E+0
310.5225333333E+0	0E+0	0E+0
310.9793333333E+0	0E+0	0E+0
311.4817333333E+0	0E+0	0E+0
311.984E+0	0E+0	0E+0
312.4862666667E+0	3E-6	0E+0
312.9885333333E+0	9.5E-6	90E+0
313.4906666667E+0	16E-6	93.35E+0
313.9926666667E+0	14.5E-6	90E+0
314.4946666667E+0	0E+0	0E+0
314.9965333333E+0	0E+0	0E+0
315.4984E+0	0E+0	0E+0
316.0001333333E+0	0E+0	0E+0
316.5018666667E+0	0E+0	0E+0
317.0034666667E+0	0E+0	0E+0
317.5049333333E+0	0E+0	0E+0
318.0064666667E+0	0E+0	0E+0
318.5078666667E+0	0E+0	0E+0
319.0091333333E+0	0E+0	0E+0
319.5104E+0	0E+0	0E+0
320.0116E+0	0E+0	0E+0
320.5126666667E+0	0E+0	0E+0
321.0136E+0	0E+0	0E+0
321.5146E+0	0E+0	0E+0
322.0154666667E+0	0E+0	0E+0
322.5162666667E+0	0E+0	0E+0
323.0170666667E+0	0E+0	0E+0
323.5177333333E+0	0E+0	0E+0
324.0182666667E+0	0E+0	0E+0
324.5188E+0	0E+0	0E+0
325.0192E+0	0E+0	0E+0
325.5196E+0	0E+0	0E+0
326.0198E+0	0E+0	0E+0
326.52E+0	0E+0	0E+0
327.0201333333E+0	0E+0	0E+0
327.5202E+0	0E+0	0E+0
328.0202E+0	0E+0	0E+0
328.5200666667E+0	0E+0	0E+0
329.0198666667E+0	0E+0	0E+0
329.5196E+0	0E+0	0E+0
330.0193333333E+0	0E+0	0E+0
330.5189333333E+0	0E+0	0E+0
331.0184E+0	0E+0	0E+0
331.5179333333E+0	0E+0	0E+0
332.0173333333E+0	0E+0	0E+0
332.5165333333E+0	0E+0	0E+0
333.0157333333E+0	0E+0	0E+0
333.5149333333E+0	0E+0	0E+0
334.014E+0	0E+0	0E+0
334.5129333333E+0	41.5E-6	103.25E+0
335.0118666667E+0	56E-6	106.75E+0
335.5108E+0	7E-6	0E+0
336.0094666667E+0	0E+0	0E+0
336.5082E+0	0E+0	0E+0
337.0067333333E+0	0E+0	0E+0
337.5053333333E+0	0E+0	0E+0
338.0037333333E+0	0E+0	0E+0
338.5021333333E+0	0E+0	0E+0
339.0003333333E+0	0E+0	0E+0
339.4985333333E+0	0E+0	0E+0
339.9966666667E+0	0E+0	0E+0
340.4948E+0	0E+0	0E+0
340.9926666667E+0	0E+0	0E+0
341.4906666667E+0	0E+0	0E+0
341.9884E+0	0E+0	0E+0
342.4862E+0	0E+0	0E+0
342.9838666667E+0	0E+0	0E+0
343.4814666667E+0	0E+0	0E+0
343.9789333333E+0	0E+0	0E+0
344.5216E+0	0E+0	0E+0
