#2020-11-30
#16:02
#Balayage par: Administrateur
#ScanTask Size: 401

#Instrument: Triax320@Triax320.lvclass Function:Position (nm); Parameters:*BeforeWait(ms):0*AfterWait(ms):0; Grating#: 0; Line Density(Grv/mm): 1800; Blaze: 400nm; Input Slit(mm): 0.050; Output Slit(mm): 0.100;
#Instrument: SR530@SR530.lvclass Function:Read Mag & Phase (V,°); Parameters:*BeforeWait(ms):1000*AfterWait(ms):0BandFilter: On; LineFilter1x: On; LineFilter2x: On; Expand Ch1: Off; Expand Ch2: Off; Sensitivity: 5 mV; Pre Time: 1 s; Post Time: 0.1 s; Dynamic Res.: Low; Reference Trigger: Symmetric; Channels Settings: R, Teta; Frequency: 320.000000; 

#Triax320.Position(nm)         	SR530.Mag(V)                  	SR530.Phase(°)                
363.9924666667E+0	0E+0	0E+0
363.9924666667E+0	0E+0	0E+0
364.0374666667E+0	0E+0	0E+0
364.0374666667E+0	0E+0	0E+0
364.0374666667E+0	0E+0	0E+0
364.0374666667E+0	0E+0	0E+0
364.0823333333E+0	0E+0	0E+0
364.0823333333E+0	0E+0	0E+0
364.0823333333E+0	0E+0	0E+0
364.0823333333E+0	0E+0	0E+0
364.0823333333E+0	0E+0	0E+0
364.1272666667E+0	0E+0	0E+0
364.1272666667E+0	0E+0	0E+0
364.1272666667E+0	0E+0	0E+0
364.1272666667E+0	0E+0	0E+0
364.1722E+0	0E+0	0E+0
364.1722E+0	0E+0	0E+0
364.1722E+0	0E+0	0E+0
364.1722E+0	0E+0	0E+0
364.1722E+0	0E+0	0E+0
364.2171333333E+0	0E+0	0E+0
364.2171333333E+0	0E+0	0E+0
364.2171333333E+0	0E+0	0E+0
364.2171333333E+0	0E+0	0E+0
364.262E+0	0E+0	0E+0
364.262E+0	0E+0	0E+0
364.262E+0	0E+0	0E+0
364.262E+0	0E+0	0E+0
364.262E+0	0E+0	0E+0
364.3069333333E+0	0E+0	0E+0
364.3069333333E+0	0E+0	0E+0
364.3069333333E+0	0E+0	0E+0
364.3069333333E+0	0E+0	0E+0
364.3518666667E+0	0E+0	0E+0
364.3518666667E+0	0E+0	0E+0
364.3518666667E+0	0E+0	0E+0
364.3518666667E+0	0E+0	0E+0
364.3518666667E+0	0E+0	0E+0
364.3968E+0	0E+0	0E+0
364.3968E+0	0E+0	0E+0
364.3968E+0	0E+0	0E+0
364.3968E+0	0E+0	0E+0
364.4417333333E+0	0E+0	0E+0
364.4417333333E+0	0E+0	0E+0
364.4417333333E+0	0E+0	0E+0
364.4417333333E+0	0E+0	0E+0
364.4417333333E+0	0E+0	0E+0
364.4866E+0	0E+0	0E+0
364.4866E+0	0E+0	0E+0
364.4866E+0	0E+0	0E+0
364.4866E+0	0E+0	0E+0
364.5316E+0	0E+0	0E+0
364.5316E+0	0E+0	0E+0
364.5316E+0	0E+0	0E+0
364.5316E+0	0E+0	0E+0
364.5316E+0	0E+0	0E+0
364.5764666667E+0	0E+0	0E+0
364.5764666667E+0	0E+0	0E+0
364.5764666667E+0	0E+0	0E+0
364.5764666667E+0	0E+0	0E+0
364.6213333333E+0	0E+0	0E+0
364.6213333333E+0	0E+0	0E+0
364.6213333333E+0	0E+0	0E+0
364.6213333333E+0	0E+0	0E+0
364.6213333333E+0	0E+0	0E+0
364.6662666667E+0	0E+0	0E+0
364.6662666667E+0	0E+0	0E+0
364.6662666667E+0	0E+0	0E+0
364.6662666667E+0	0E+0	0E+0
364.7112E+0	0E+0	0E+0
364.7112E+0	0E+0	0E+0
364.7112E+0	0E+0	0E+0
364.7112E+0	0E+0	0E+0
364.7112E+0	0E+0	0E+0
364.7561333333E+0	0E+0	0E+0
364.7561333333E+0	0E+0	0E+0
364.7561333333E+0	0E+0	0E+0
364.7561333333E+0	0E+0	0E+0
364.8010666667E+0	0E+0	0E+0
364.8010666667E+0	0E+0	0E+0
364.8010666667E+0	0E+0	0E+0
364.8010666667E+0	0E+0	0E+0
364.8010666667E+0	0E+0	0E+0
364.846E+0	0E+0	0E+0
364.846E+0	0E+0	0E+0
364.846E+0	0E+0	0E+0
364.846E+0	0E+0	0E+0
364.8908666667E+0	0E+0	0E+0
364.8908666667E+0	0E+0	0E+0
364.8908666667E+0	0E+0	0E+0
364.8908666667E+0	0E+0	0E+0
364.8908666667E+0	0E+0	0E+0
364.9357333333E+0	0E+0	0E+0
364.9357333333E+0	0E+0	0E+0
364.9357333333E+0	0E+0	0E+0
364.9357333333E+0	0E+0	0E+0
364.9806666667E+0	0E+0	0E+0
364.9806666667E+0	0E+0	0E+0
364.9806666667E+0	0E+0	0E+0
364.9806666667E+0	0E+0	0E+0
364.9806666667E+0	0E+0	0E+0
365.0256E+0	0E+0	0E+0
365.0256E+0	0E+0	0E+0
365.0256E+0	0E+0	0E+0
365.0256E+0	0E+0	0E+0
365.0704666667E+0	11E-6	0E+0
365.0704666667E+0	11E-6	0E+0
365.0704666667E+0	12E-6	0E+0
365.0704666667E+0	12E-6	0E+0
365.0704666667E+0	11E-6	0E+0
365.1153333333E+0	46E-6	-90E+0
365.1153333333E+0	55E-6	-87.4E+0
365.1153333333E+0	56E-6	-87.5E+0
365.1153333333E+0	56E-6	-87.45E+0
365.1603333333E+0	148E-6	-81.7E+0
365.1603333333E+0	167E-6	-81.35E+0
365.1603333333E+0	168E-6	-81.05E+0
365.1603333333E+0	171E-6	-81.6E+0
365.1603333333E+0	171E-6	-82E+0
365.2052E+0	585E-6	-76.05E+0
365.2052E+0	670E-6	-75.3E+0
365.2052E+0	672E-6	-75E+0
365.2052E+0	670E-6	-74.95E+0
365.2501333333E+0	1.452E-3	-73.2E+0
365.2501333333E+0	1.625E-3	-73.2E+0
365.2501333333E+0	1.615E-3	-72.95E+0
365.2501333333E+0	1.6E-3	-73E+0
365.2501333333E+0	1.567E-3	-73E+0
365.2950666667E+0	1.693E-3	-71.2E+0
365.2950666667E+0	1.693E-3	-70.8E+0
365.2950666667E+0	1.677E-3	-71E+0
365.2950666667E+0	1.671E-3	-70.9E+0
365.34E+0	1.24E-3	-71.4E+0
365.34E+0	1.17E-3	-71.35E+0
365.34E+0	1.188E-3	-71.6E+0
365.34E+0	1.18E-3	-71.25E+0
365.34E+0	1.183E-3	-71.4E+0
365.3848666667E+0	828E-6	-72.9E+0
365.3848666667E+0	763E-6	-73.45E+0
365.3848666667E+0	760E-6	-73.35E+0
365.3848666667E+0	763E-6	-73.45E+0
365.4297333333E+0	553E-6	-74.2E+0
365.4297333333E+0	508E-6	-74.6E+0
365.4297333333E+0	510E-6	-74.65E+0
365.4297333333E+0	520E-6	-74.8E+0
365.4297333333E+0	523E-6	-74.5E+0
365.4746666667E+0	375E-6	-74.95E+0
365.4746666667E+0	341E-6	-75E+0
365.4746666667E+0	338E-6	-75.2E+0
365.4746666667E+0	338E-6	-75E+0
365.5195333333E+0	253E-6	-75.65E+0
365.5195333333E+0	233E-6	-76.05E+0
365.5195333333E+0	231E-6	-75.6E+0
365.5195333333E+0	231E-6	-76E+0
365.5195333333E+0	230E-6	-75.75E+0
365.5644E+0	170E-6	-76.4E+0
365.5644E+0	152E-6	-76.6E+0
365.5644E+0	150E-6	-76.9E+0
365.5644E+0	148E-6	-77E+0
365.6093333333E+0	118E-6	-78.45E+0
365.6093333333E+0	112E-6	-79.1E+0
365.6093333333E+0	112E-6	-79.1E+0
365.6093333333E+0	111E-6	-78.45E+0
365.6093333333E+0	112E-6	-78.45E+0
365.6542666667E+0	186E-6	-76.8E+0
365.6542666667E+0	203E-6	-76.45E+0
365.6542666667E+0	203E-6	-76.15E+0
365.6542666667E+0	201E-6	-76E+0
365.6992E+0	565E-6	-74.6E+0
365.6992E+0	651E-6	-74.5E+0
365.6992E+0	661E-6	-74.65E+0
365.6992E+0	652E-6	-74.65E+0
365.6992E+0	661E-6	-74.65E+0
365.744E+0	851E-6	-72.7E+0
365.744E+0	893E-6	-72.7E+0
365.744E+0	891E-6	-72.35E+0
365.744E+0	878E-6	-72.25E+0
365.7889333333E+0	708E-6	-71.05E+0
365.7889333333E+0	668E-6	-70.85E+0
365.7889333333E+0	665E-6	-70.65E+0
365.7889333333E+0	668E-6	-70.75E+0
365.7889333333E+0	668E-6	-70.9E+0
365.8338E+0	462E-6	-71.7E+0
365.8338E+0	413E-6	-71.65E+0
365.8338E+0	412E-6	-71.95E+0
365.8338E+0	412E-6	-72.25E+0
365.8788E+0	295E-6	-72.3E+0
365.8788E+0	271E-6	-72.2E+0
365.8788E+0	270E-6	-72.2E+0
365.8788E+0	267E-6	-71.75E+0
365.8788E+0	270E-6	-72.5E+0
365.9236E+0	185E-6	-72.15E+0
365.9236E+0	171E-6	-72E+0
365.9236E+0	166E-6	-72E+0
365.9236E+0	165E-6	-72.35E+0
365.9684666667E+0	122E-6	-71.95E+0
365.9684666667E+0	107E-6	-72.4E+0
365.9684666667E+0	106E-6	-72.2E+0
365.9684666667E+0	106E-6	-71.95E+0
365.9684666667E+0	106E-6	-71.95E+0
366.0133333333E+0	71E-6	-72.3E+0
366.0133333333E+0	61E-6	-71.7E+0
366.0133333333E+0	61E-6	-72.15E+0
366.0133333333E+0	61E-6	-72.15E+0
366.0582666667E+0	36E-6	-73.95E+0
366.0582666667E+0	30E-6	-73.05E+0
366.0582666667E+0	30E-6	-75.5E+0
366.0582666667E+0	28E-6	-75.5E+0
366.0582666667E+0	28E-6	-72.25E+0
366.1032E+0	11E-6	0E+0
366.1032E+0	3E-6	0E+0
366.1032E+0	3E-6	0E+0
366.1032E+0	3E-6	0E+0
366.1481333333E+0	0E+0	0E+0
366.1481333333E+0	0E+0	0E+0
366.1481333333E+0	0E+0	0E+0
366.1481333333E+0	0E+0	0E+0
366.1481333333E+0	0E+0	0E+0
366.1929333333E+0	0E+0	0E+0
366.1929333333E+0	0E+0	0E+0
366.1929333333E+0	0E+0	0E+0
366.1929333333E+0	0E+0	0E+0
366.2378666667E+0	0E+0	0E+0
366.2378666667E+0	0E+0	0E+0
366.2378666667E+0	0E+0	0E+0
366.2378666667E+0	0E+0	0E+0
366.2378666667E+0	0E+0	0E+0
366.2826666667E+0	0E+0	0E+0
366.2826666667E+0	0E+0	0E+0
366.2826666667E+0	0E+0	0E+0
366.2826666667E+0	0E+0	0E+0
366.3276E+0	0E+0	0E+0
366.3276E+0	0E+0	0E+0
366.3276E+0	0E+0	0E+0
366.3276E+0	0E+0	0E+0
366.3276E+0	0E+0	0E+0
366.3725333333E+0	0E+0	0E+0
366.3725333333E+0	0E+0	0E+0
366.3725333333E+0	0E+0	0E+0
366.3725333333E+0	0E+0	0E+0
366.4174666667E+0	13E-6	0E+0
366.4174666667E+0	16E-6	0E+0
366.4174666667E+0	16E-6	0E+0
366.4174666667E+0	16E-6	0E+0
366.4622666667E+0	68E-6	-76.3E+0
366.4622666667E+0	81E-6	-75.75E+0
366.4622666667E+0	85E-6	-75.5E+0
366.4622666667E+0	85E-6	-75.05E+0
366.4622666667E+0	82E-6	-75.05E+0
366.5072E+0	258E-6	-75.15E+0
366.5072E+0	296E-6	-75.35E+0
366.5072E+0	301E-6	-75.95E+0
366.5072E+0	298E-6	-75.15E+0
366.552E+0	543E-6	-74.6E+0
366.552E+0	586E-6	-74.3E+0
366.552E+0	581E-6	-74.1E+0
366.552E+0	578E-6	-74.3E+0
366.552E+0	587E-6	-73.95E+0
366.597E+0	588E-6	-72.2E+0
366.597E+0	587E-6	-71.25E+0
366.597E+0	586E-6	-71.2E+0
366.597E+0	590E-6	-71.2E+0
366.6418666667E+0	421E-6	-70.75E+0
366.6418666667E+0	383E-6	-70.95E+0
366.6418666667E+0	378E-6	-71.2E+0
366.6418666667E+0	396E-6	-70.65E+0
366.6418666667E+0	383E-6	-70.6E+0
366.6866666667E+0	260E-6	-70.5E+0
366.6866666667E+0	231E-6	-70.65E+0
366.6866666667E+0	228E-6	-70.85E+0
366.6866666667E+0	230E-6	-70.65E+0
366.7316E+0	153E-6	-70.35E+0
366.7316E+0	137E-6	-69.6E+0
366.7316E+0	135E-6	-69.95E+0
366.7316E+0	136E-6	-69.95E+0
366.7316E+0	135E-6	-70.5E+0
366.7765333333E+0	95E-6	-70E+0
366.7765333333E+0	85E-6	-69.3E+0
366.7765333333E+0	85E-6	-69.65E+0
366.7765333333E+0	85E-6	-69.3E+0
366.8213333333E+0	57E-6	-71E+0
366.8213333333E+0	52E-6	-70.5E+0
366.8213333333E+0	50E-6	-69.5E+0
366.8213333333E+0	51E-6	-69.5E+0
366.8213333333E+0	50E-6	-69.5E+0
366.8662666667E+0	35E-6	-73.4E+0
366.8662666667E+0	31E-6	-73.05E+0
366.8662666667E+0	28E-6	-72.25E+0
366.8662666667E+0	30E-6	-71.45E+0
366.9112E+0	13E-6	0E+0
366.9112E+0	10E-6	0E+0
366.9112E+0	10E-6	0E+0
366.9112E+0	10E-6	0E+0
366.9112E+0	8E-6	0E+0
366.956E+0	0E+0	0E+0
366.956E+0	0E+0	0E+0
366.956E+0	0E+0	0E+0
