#2020-12-01
#15:23
#Balayage par: Administrateur
#ScanTask Size: 10001

#Instrument: SR530@SR530.lvclass Function:Read Mag & Phase (V,°); Parameters:*BeforeWait(ms):0*AfterWait(ms):0BandFilter: Off; LineFilter1x: Off; LineFilter2x: Off; Expand Ch1: Off; Expand Ch2: Off; Sensitivity: ; Pre Time: 100 ms; Post Time: 0.1 s; Dynamic Res.: Low; Reference Trigger: Symmetric; Channels Settings: X, Y; Frequency: 323.000000; 

#Tools.Indice de points(Points)	Tools.Time(ms)                	SR530.Mag(V)                  	SR530.Phase(°)                
0E+0	3.689698987568E+9	12E-3	-10.8E-3
1E+0	3.689698988385E+9	12E-3	-11E-3
2E+0	3.689698989218E+9	11.7E-3	-10.3E-3
3E+0	3.689698990053E+9	12.5E-3	-11.3E-3
4E+0	3.689698990891E+9	13E-3	-12E-3
5E+0	3.689698991725E+9	12.7E-3	-11.8E-3
6E+0	3.689698992562E+9	12.6E-3	-11.5E-3
7E+0	3.689698993398E+9	12.7E-3	-11.8E-3
8E+0	3.689698994234E+9	12.5E-3	-11.6E-3
9E+0	3.68969899507E+9	12.5E-3	-11.5E-3
10E+0	3.689698995907E+9	12.3E-3	-11.5E-3
11E+0	3.689698996741E+9	12.3E-3	-11.3E-3
12E+0	3.689698997578E+9	13E-3	-12E-3
13E+0	3.689698998415E+9	13E-3	-12.1E-3
14E+0	3.68969899925E+9	13.1E-3	-12.5E-3
15E+0	3.689699000086E+9	13.6E-3	-12.8E-3
16E+0	3.689699000922E+9	13.2E-3	-12.5E-3
17E+0	3.68969900176E+9	13.7E-3	-12.8E-3
18E+0	3.689699002596E+9	12E-3	-11.3E-3
19E+0	3.689699003432E+9	15.1E-3	-14.7E-3
20E+0	3.689699004268E+9	15.3E-3	-15E-3
21E+0	3.689699005103E+9	12.7E-3	-12.1E-3
22E+0	3.68969900594E+9	16.2E-3	-17.6E-3
23E+0	3.689699006777E+9	6.7E-3	-6.5E-3
24E+0	3.689699007564E+9	6.1E-3	-5.8E-3
25E+0	3.68969900835E+9	6.1E-3	-5.8E-3
26E+0	3.689699009137E+9	30.7E-3	-35.1E-3
27E+0	3.689699009975E+9	62.5E-3	-71.5E-3
28E+0	3.689699010808E+9	82E-3	-95.8E-3
29E+0	3.689699011646E+9	74E-3	-85.2E-3
30E+0	3.689699012482E+9	72.7E-3	-83.3E-3
31E+0	3.689699013317E+9	81.7E-3	-95.6E-3
32E+0	3.689699014154E+9	129.1E-3	-155.6E-3
33E+0	3.689699015039E+9	139.1E-3	-166.6E-3
34E+0	3.689699015923E+9	113.2E-3	-135.6E-3
35E+0	3.68969901681E+9	108.7E-3	-128.6E-3
36E+0	3.689699017695E+9	100.7E-3	-120.1E-3
37E+0	3.68969901858E+9	139.5E-3	-166.2E-3
38E+0	3.689699019465E+9	139.6E-3	-168E-3
39E+0	3.689699020351E+9	138.8E-3	-168.6E-3
40E+0	3.689699021235E+9	139.7E-3	-168.6E-3
41E+0	3.689699022122E+9	140.2E-3	-170E-3
42E+0	3.689699023007E+9	142.3E-3	-172.2E-3
43E+0	3.689699023892E+9	142E-3	-172.1E-3
44E+0	3.689699024777E+9	143.5E-3	-173.7E-3
45E+0	3.689699025662E+9	142.2E-3	-171.2E-3
46E+0	3.689699026548E+9	113.6E-3	-124.7E-3
47E+0	3.689699027434E+9	116.3E-3	-128.8E-3
48E+0	3.689699028318E+9	141.3E-3	-169.1E-3
49E+0	3.689699029205E+9	145.1E-3	-179.7E-3
50E+0	3.689699030088E+9	148.7E-3	-193.7E-3
51E+0	3.689699030974E+9	145.2E-3	-197.7E-3
52E+0	3.68969903186E+9	144.6E-3	-198.6E-3
53E+0	3.689699032744E+9	150.2E-3	-197.5E-3
54E+0	3.68969903363E+9	149E-3	-195.5E-3
55E+0	3.689699034516E+9	148.7E-3	-197.5E-3
56E+0	3.689699035401E+9	150.6E-3	-198.5E-3
57E+0	3.689699036286E+9	151.6E-3	-199.1E-3
58E+0	3.689699037172E+9	151.8E-3	-199.5E-3
59E+0	3.689699038056E+9	152.6E-3	-201E-3
60E+0	3.689699038941E+9	152.6E-3	-200.5E-3
61E+0	3.689699039828E+9	152.5E-3	-201.7E-3
62E+0	3.689699040712E+9	152.3E-3	-200.5E-3
63E+0	3.689699041598E+9	152.3E-3	-202.3E-3
64E+0	3.689699042483E+9	154.5E-3	-203.6E-3
65E+0	3.689699043369E+9	153.2E-3	-203.5E-3
