#2020-12-01
#15:24
#Balayage par: Administrateur
#ScanTask Size: 51

#Instrument: Triax320@Triax320.lvclass Function:Position (nm); Parameters:*BeforeWait(ms):0*AfterWait(ms):0; Grating#: 0; Line Density(Grv/mm): 1800; Blaze: 400nm; Input Slit(mm): 1.000; Output Slit(mm): 1.000;
#Instrument: SR530@SR530.lvclass Function:Read Mag & Phase (V,°); Parameters:*BeforeWait(ms):0*AfterWait(ms):0BandFilter: Off; LineFilter1x: Off; LineFilter2x: Off; Expand Ch1: Off; Expand Ch2: Off; Sensitivity: ; Pre Time: 100 ms; Post Time: 0.1 s; Dynamic Res.: Low; Reference Trigger: Symmetric; Channels Settings: X, Y; Frequency: 322.000000; 

#Triax320.Position(nm)         	SR530.Mag(V)                  	SR530.Phase(°)                
837.9916E+0	2E-3	-0E+0
838.1137333333E+0	800E-6	-0E+0
838.2053333333E+0	800E-6	-0E+0
838.2969333333E+0	1E-3	-0E+0
838.3886666667E+0	1E-3	-0E+0
838.5106666667E+0	1.2E-3	-0E+0
838.6022666667E+0	2.1E-3	-0E+0
838.694E+0	4E-3	-2E-3
838.7853333333E+0	7.5E-3	-6.6E-3
838.9074E+0	15.3E-3	-17.7E-3
838.9989333333E+0	23.1E-3	-29.1E-3
839.0903333333E+0	34.1E-3	-44.5E-3
839.2124E+0	53.6E-3	-71.5E-3
839.3038666667E+0	68.2E-3	-91.8E-3
839.3953333333E+0	88.5E-3	-121.3E-3
839.4866666667E+0	108.2E-3	-147.2E-3
839.6086666667E+0	134E-3	-182.5E-3
839.6999333333E+0	153.2E-3	-207.3E-3
839.7913333333E+0	167.3E-3	-225.8E-3
839.9132E+0	183.8E-3	-247.3E-3
840.0046666667E+0	185.1E-3	-246.7E-3
840.0959333333E+0	171.8E-3	-227.7E-3
840.1872E+0	154.2E-3	-202.7E-3
840.3089333333E+0	121.5E-3	-158.8E-3
840.4002E+0	95.2E-3	-123.2E-3
840.4916E+0	67.1E-3	-85.6E-3
840.6132666667E+0	28.6E-3	-34.1E-3
840.7044E+0	5.5E-3	-3.5E-3
840.7956666667E+0	2.6E-3	-0E+0
840.8869333333E+0	2E-3	-0E+0
841.0086666667E+0	1.5E-3	-0E+0
841.0996666667E+0	1.3E-3	-0E+0
841.1908666667E+0	1.2E-3	-0E+0
841.3124E+0	800E-6	-0E+0
841.4036E+0	700E-6	-0E+0
841.4946666667E+0	700E-6	-0E+0
841.5857333333E+0	600E-6	0E+0
841.7070666667E+0	600E-6	0E+0
841.7982666667E+0	300E-6	0E+0
841.8892666667E+0	300E-6	100E-6
842.0106666667E+0	200E-6	100E-6
842.1016E+0	300E-6	200E-6
842.1926666667E+0	200E-6	200E-6
842.3138666667E+0	200E-6	200E-6
842.4049333333E+0	200E-6	300E-6
842.4958666667E+0	200E-6	300E-6
842.5868E+0	200E-6	300E-6
842.7081333333E+0	200E-6	300E-6
842.7990666667E+0	200E-6	300E-6
842.8898666667E+0	100E-6	300E-6
843.0110666667E+0	100E-6	600E-6
