#2020-12-10
#13:42
#Balayage par: lalg1702
#ScanTask Size: 10000

#Instrument: DMM34410A@Agilent34410A.lvclass Function:Read Function (Arb); Parameters:*BeforeWait(ms):0*AfterWait(ms):0 DMM_Func: Voltage; DMM_Range: 10 V; Trig Source: Immediate; NPLC: 1.000000

#Tools.Time(s)                 	DMM34410A.AgilentDMM(Arb)     
3.690470617009E+9	-41.8594625E-6
3.690470617149E+9	-70.707977E-6
3.690470617288E+9	-4.20540924E-6
3.690470617429E+9	-73.8598887E-6
3.690470617569E+9	-30.07753E-6
3.690470617759E+9	-41.1507602E-6
3.690470617899E+9	-50.3545296E-6
3.690470618038E+9	-42.0236693E-6
3.690470618189E+9	352.595989E-9
3.690470618329E+9	-57.8304226E-6
3.690470618469E+9	-25.238306E-6
3.690470618609E+9	-42.0821753E-6
3.690470618749E+9	-52.8562449E-6
3.690470618889E+9	5.66649837E-6
3.690470619031E+9	-60.8653224E-6
3.690470619168E+9	-37.582676E-6
3.690470619309E+9	-43.1777971E-6
3.690470619449E+9	-75.517948E-6
3.690470619589E+9	-14.0773168E-6
3.69047061973E+9	-98.5486287E-6
3.690470619869E+9	-11.7690612E-6
3.690470620009E+9	-35.6141451E-6
3.690470620149E+9	-70.0870337E-6
3.690470620289E+9	-10.6441864E-6
3.690470620429E+9	-83.2278649E-6
3.690470620568E+9	-65.1713619E-6
3.69047062071E+9	-64.2399469E-6
3.690470620849E+9	-94.9220385E-6
3.690470620989E+9	10.0197327E-6
3.690470621129E+9	-72.4245422E-6
3.69047062127E+9	-23.4924878E-6
3.690470621419E+9	-45.175581E-6
3.69047062156E+9	-59.3827811E-6
3.690470621709E+9	-44.1092121E-6
3.690470621849E+9	-68.5167334E-6
3.690470621989E+9	-14.3000296E-6
3.690470622129E+9	-67.5560653E-6
3.690470622268E+9	-67.5560653E-6
3.690470622409E+9	-27.4295497E-6
3.690470622549E+9	-58.7325847E-6
3.690470622689E+9	-14.2415236E-6
3.69047062283E+9	-94.1076354E-6
3.69047062297E+9	-35.2451674E-6
3.69047062311E+9	-43.8279934E-6
3.690470623249E+9	-80.8025974E-6
3.690470623392E+9	-32.3565326E-6
3.690470623543E+9	-44.6423966E-6
3.69047062368E+9	-65.7337993E-6
3.690470623821E+9	-24.7343746E-6
3.690470623959E+9	-50.5187364E-6
3.69047062411E+9	-62.0194502E-6
3.690470624248E+9	-86.4269714E-6
3.690470624389E+9	-8.17172407E-6
3.690470624529E+9	-77.6799386E-6
3.690470624669E+9	-31.4251175E-6
3.690470624809E+9	-25.9177554E-6
3.690470624949E+9	-52.768486E-6
3.690470625099E+9	-67.6730773E-6
3.69047062524E+9	-12.2437397E-6
3.690470625379E+9	-53.3309234E-6
3.69047062552E+9	-18.6825169E-6
3.690470625659E+9	-30.5522084E-6
3.690470625799E+9	-60.1386782E-6
3.69047062594E+9	-21.9221876E-6
3.69047062608E+9	-65.4233276E-6
3.69047062622E+9	-34.2665575E-6
3.690470626359E+9	-55.8033857E-6
3.690470626499E+9	-57.6841577E-6
3.690470626639E+9	-40.9573004E-6
3.69047062678E+9	-64.2399469E-6
3.690470626919E+9	-55.580673E-6
3.690470627059E+9	-33.1709357E-6
3.690470627199E+9	-77.1467542E-6
