#2020-12-10
#14:56
#Balayage par: lalg1702
#ScanTask Size: 10000

#Instrument: DMM34410A@Agilent34410A.lvclass Function:Read Function (Arb); Parameters:*BeforeWait(ms):0*AfterWait(ms):0 DMM_Func: Voltage; DMM_Range: 10 V; Trig Source: Immediate; NPLC: 1.000000

#Tools.Time(s)                 	Voltage(V)                    
3.690474969197E+9	6.31641827E+0
3.690474969339E+9	6.31646684E+0
3.690474969478E+9	6.31642159E+0
3.690474969617E+9	6.31652064E+0
3.690474969758E+9	6.31648076E+0
3.690474969897E+9	6.31649755E+0
3.690474970038E+9	6.31642964E+0
3.690474970178E+9	6.31644946E+0
3.690474970318E+9	6.31655221E+0
3.690474970457E+9	6.31644909E+0
3.690474970599E+9	6.31650112E+0
3.690474970739E+9	6.31650412E+0
3.690474970877E+9	6.31652721E+0
3.690474971018E+9	6.31642131E+0
3.69047497116E+9	6.31650699E+0
3.690474971298E+9	6.31654752E+0
3.690474971437E+9	6.31656777E+0
3.690474971577E+9	6.31655424E+0
3.690474971719E+9	6.31646799E+0
3.690474971857E+9	6.31651627E+0
3.690474971997E+9	6.3165573E+0
3.690474972138E+9	6.31643478E+0
3.690474972277E+9	6.31643593E+0
3.690474972418E+9	6.31643852E+0
3.690474972559E+9	6.3165442E+0
3.690474972697E+9	6.31656583E+0
3.690474972839E+9	6.31655671E+0
3.690474972978E+9	6.31647176E+0
3.690474973117E+9	6.31656358E+0
3.690474973258E+9	6.3164372E+0
3.690474973397E+9	6.31647021E+0
3.690474973538E+9	6.31656346E+0
3.690474973678E+9	6.31643796E+0
3.690474973817E+9	6.31645702E+0
3.690474973957E+9	6.31657111E+0
3.690474974099E+9	6.31657046E+0
3.690474974237E+9	6.31643621E+0
3.690474974378E+9	6.31645736E+0
3.690474974518E+9	6.31645024E+0
3.690474974659E+9	6.31654918E+0
3.690474974807E+9	6.31644074E+0
3.690474974947E+9	6.31643577E+0
3.690474975089E+9	6.31655067E+0
3.690474975227E+9	6.31647493E+0
3.690474975378E+9	6.3164839E+0
3.690474975517E+9	6.31653365E+0
3.690474975658E+9	6.31657344E+0
3.690474975798E+9	6.3164762E+0
3.690474975937E+9	6.31651461E+0
3.690474976078E+9	6.31648349E+0
3.690474976217E+9	6.31643618E+0
3.690474976358E+9	6.31656433E+0
3.690474976499E+9	6.31650227E+0
3.690474976637E+9	6.31655559E+0
3.690474976778E+9	6.31645343E+0
3.690474976917E+9	6.31644485E+0
3.690474977058E+9	6.31645362E+0
3.690474977198E+9	6.31650452E+0
3.690474977337E+9	6.31644027E+0
3.690474977477E+9	6.31643487E+0
3.690474977619E+9	6.31649733E+0
3.690474977758E+9	6.31643774E+0
3.690474977899E+9	6.31652578E+0
3.690474978038E+9	6.31656355E+0
3.690474978177E+9	6.31655902E+0
3.690474978318E+9	6.31644828E+0
3.690474978458E+9	6.31656293E+0
3.690474978597E+9	6.31656796E+0
3.690474978739E+9	6.31652938E+0
3.690474978877E+9	6.31649187E+0
3.690474979019E+9	6.31646189E+0
3.690474979158E+9	6.31647493E+0
3.6904749793E+9	6.31645156E+0
3.690474979439E+9	6.31644102E+0
3.690474979579E+9	6.31648275E+0
3.690474979717E+9	6.31648093E+0
3.690474979859E+9	6.31653602E+0
3.690474979997E+9	6.3165629E+0
3.690474980137E+9	6.31646847E+0
3.690474980278E+9	6.3165273E+0
3.690474980419E+9	6.3164368E+0
3.690474980558E+9	6.31656068E+0
3.690474980699E+9	6.31644102E+0
3.690474980839E+9	6.3165424E+0
3.690474980978E+9	6.31654212E+0
3.690474981117E+9	6.31648208E+0
3.690474981258E+9	6.31645047E+0
3.690474981398E+9	6.31647783E+0
3.690474981537E+9	6.31646692E+0
3.690474981678E+9	6.31643905E+0
3.69047498182E+9	6.31655689E+0
3.690474981958E+9	6.31648205E+0
3.690474982098E+9	6.31651074E+0
3.690474982238E+9	6.31652868E+0
3.690474982377E+9	6.31655786E+0
3.690474982519E+9	6.31645027E+0
