#2020-12-10
#15:02
#Balayage par: lalg1702
#ScanTask Size: 10000

#Instrument: DMM34410A@Agilent34410A.lvclass Function:Read Function (Arb); Parameters:*BeforeWait(ms):0*AfterWait(ms):0 DMM_Func: Voltage; DMM_Range: 10 V; Trig Source: Immediate; NPLC: 1.000000

#Tools.Time(s)                 	DMM34410A.Voltage(V)          
3.690475368298E+9	6.31644811E+0
3.690475368438E+9	6.31651583E+0
3.690475368578E+9	6.31654875E+0
3.690475368718E+9	6.31650871E+0
3.690475368858E+9	6.31646127E+0
3.690475368998E+9	6.3165379E+0
3.690475369139E+9	6.31644487E+0
3.690475369278E+9	6.31652392E+0
3.690475369428E+9	6.31647353E+0
3.690475369568E+9	6.3164908E+0
3.690475369708E+9	6.31653362E+0
3.690475369848E+9	6.31645252E+0
3.690475369988E+9	6.31655089E+0
3.690475370129E+9	6.31644831E+0
3.690475370268E+9	6.31649158E+0
3.690475370408E+9	6.31651265E+0
3.690475370548E+9	6.31650224E+0
3.690475370688E+9	6.31643334E+0
3.690475370828E+9	6.31651389E+0
3.690475370968E+9	6.31643284E+0
3.69047537111E+9	6.3164624E+0
3.69047537125E+9	6.31651734E+0
3.690475371388E+9	6.31654102E+0
3.690475371528E+9	6.31653165E+0
3.690475371668E+9	6.31654555E+0
3.690475371809E+9	6.31646765E+0
3.690475371948E+9	6.31646096E+0
3.690475372088E+9	6.31641881E+0
3.690475372228E+9	6.31649102E+0
3.690475372368E+9	6.31654021E+0
3.690475372508E+9	6.31653615E+0
3.690475372649E+9	6.31649283E+0
3.690475372788E+9	6.31652243E+0
3.690475372929E+9	6.31646034E+0
