#2021-02-10
#15:14
#Balayage par: lalg1702
#ScanTask Size: 101


#Ind Point(Point)              	Temps Abs(ms)                 	Random Number(Arb)            	Crb 1 Dat(Arb)                
0E+0	3.695832868144E+9	730.1491642498E-3	0E+0
1E+0	3.695832868147E+9	151.0874327428E-3	49.5213842439E-3
2E+0	3.695832868156E+9	694.9638659459E-3	98.54796718603E-3
3E+0	3.695832868181E+9	851.903958121E-3	146.5898914157E-3
4E+0	3.695832868191E+9	613.6931336613E-3	193.1671379064E-3
5E+0	3.695832868219E+9	233.8475571161E-3	237.8143222078E-3
6E+0	3.695832868227E+9	441.4890323913E-3	280.0853444127E-3
7E+0	3.69583286826E+9	124.4998767383E-3	319.5578464401E-3
8E+0	3.695832868261E+9	707.0199791843E-3	355.8374320976E-3
9E+0	3.695832868288E+9	144.5797722357E-3	388.5616077578E-3
10E+0	3.695832868293E+9	326.4959230425E-3	417.4034042747E-3
11E+0	3.695832868305E+9	842.3490673458E-3	442.0746439513E-3
12E+0	3.69583286831E+9	894.0795913833E-3	462.3288199161E-3
13E+0	3.695832868327E+9	792.9940184018E-3	477.9635591377E-3
14E+0	3.695832868336E+9	386.7078620405E-3	488.8226444703E-3
15E+0	3.695832868351E+9	79.95113742799E-3	494.7975755225E-3
16E+0	3.695832868356E+9	39.6293715021E-3	495.8286527585E-3
17E+0	3.695832868375E+9	634.7072645445E-3	491.9055739953E-3
18E+0	3.695832868395E+9	122.285248849E-3	483.0675373391E-3
19E+0	3.69583286841E+9	384.3576373365E-3	469.4028495307E-3
20E+0	3.695832868419E+9	779.8817494163E-3	451.0480436137E-3
21E+0	3.695832868437E+9	594.3301945743E-3	428.1865147416E-3
22E+0	3.695832868442E+9	665.5556720254E-3	401.0466877538E-3
23E+0	3.69583286847E+9	539.0828877129E-3	369.8997348305E-3
24E+0	3.695832868481E+9	420.9390159758E-3	335.0568660293E-3
25E+0	3.695832868502E+9	494.9932754957E-3	296.8662197778E-3
26E+0	3.69583286851E+9	321.0709793945E-3	255.7093843892E-3
27E+0	3.695832868522E+9	826.7390302088E-3	211.997585358E-3
28E+0	3.695832868527E+9	305.8776218654E-3	166.1675765311E-3
29E+0	3.695832868542E+9	453.8235215718E-3	118.6772762072E-3
30E+0	3.695832868567E+9	835.3265687856E-3	70.00119176886E-3
31E+0	3.695832868575E+9	560.0022573005E-3	20.62567856171E-3
32E+0	3.695832868588E+9	524.6906896215E-3	-28.95591960768E-3
33E+0	3.695832868597E+9	905.2995038429E-3	-78.24819979991E-3
34E+0	3.695832868614E+9	188.5631014134E-3	-126.7586498451E-3
35E+0	3.69583286862E+9	485.530154975E-3	-174.002569362E-3
36E+0	3.695832868635E+9	675.7820017615E-3	-219.5079127233E-3
37E+0	3.695832868642E+9	49.50348050349E-3	-262.8200055804E-3
38E+0	3.695832868655E+9	642.608087679E-3	-303.5060878185E-3
39E+0	3.695832868662E+9	153.7198011963E-3	-341.1596375529E-3
40E+0	3.695832868687E+9	374.2473287975E-3	-375.4044329612E-3
41E+0	3.695832868693E+9	523.1976716837E-3	-405.8983113676E-3
42E+0	3.695832868719E+9	831.0023514488E-3	-432.336588019E-3
43E+0	3.695832868728E+9	971.9317053309E-3	-454.4551003943E-3
44E+0	3.695832868756E+9	699.0162670768E-3	-472.0328476294E-3
45E+0	3.695832868762E+9	799.6279473095E-3	-484.8941986843E-3
46E+0	3.695832868779E+9	508.0789534305E-3	-492.9106471906E-3
47E+0	3.695832868803E+9	977.7439819385E-3	-496.0020954448E-3
48E+0	3.69583286881E+9	602.3754778002E-3	-494.1376547178E-3
49E+0	3.695832868825E+9	451.3472658319E-3	-487.3359538851E-3
50E+0	3.695832868853E+9	978.9356661604E-3	-475.664953293E-3
51E+0	3.695832868861E+9	593.1636411097E-3	-459.2412657215E-3
52E+0	3.695832868884E+9	481.4910382252E-3	-438.228991228E-3
53E+0	3.695832868892E+9	992.2056991092E-3	-412.8380775133E-3
54E+0	3.695832868917E+9	576.7627262927E-3	-383.3222221942E-3
55E+0	3.695832868922E+9	61.70906678755E-3	-349.9763379404E-3
56E+0	3.695832868933E+9	60.64959428044E-3	-313.1336058048E-3
57E+0	3.69583286894E+9	572.4578047139E-3	-273.1621461881E-3
58E+0	3.695832868953E+9	169.44477498E-3	-230.4613407021E-3
59E+0	3.695832868961E+9	179.0104128997E-3	-185.4578416802E-3
60E+0	3.695832868976E+9	719.6729174432E-3	-138.6013092085E-3
61E+0	3.695832868998E+9	693.4574367057E-3	-90.35991827067E-3
62E+0	3.695832869006E+9	820.9159270605E-3	-41.21568089849E-3
63E+0	3.695832869033E+9	30.74039437119E-3	8.340369933143E-3
64E+0	3.695832869039E+9	304.6947164125E-3	57.81308654536E-3
65E+0	3.695832869055E+9	171.4538358134E-3	106.7081539073E-3
66E+0	3.695832869062E+9	727.3763506024E-3	154.5370286684E-3
67E+0	3.695832869078E+9	640.5338240185E-3	200.8218205222E-3
68E+0	3.695832869086E+9	722.844774109E-3	245.1000671282E-3
69E+0	3.695832869106E+9	759.324787494E-3	286.9293548828E-3
70E+0	3.695832869113E+9	885.7871637606E-3	325.8917393696E-3
71E+0	3.695832869131E+9	704.1422726717E-3	361.5979213221E-3
72E+0	3.695832869136E+9	513.8677808862E-3	393.6911363732E-3
73E+0	3.695832869156E+9	96.0176462927E-3	421.8507197266E-3
74E+0	3.695832869163E+9	276.6271238154E-3	445.7953101338E-3
75E+0	3.695832869187E+9	508.8885179671E-3	465.2856611625E-3
76E+0	3.695832869196E+9	847.4237445815E-3	480.1270316678E-3
77E+0	3.695832869225E+9	693.9699678357E-3	490.1711315816E-3
78E+0	3.695832869256E+9	246.2474405186E-3	495.3176035777E-3
79E+0	3.695832869264E+9	511.2757629486E-3	495.5150258091E-3
80E+0	3.695832869279E+9	564.4664276177E-3	490.7614256981E-3
81E+0	3.695832869287E+9	491.2907991883E-3	481.1042996456E-3
82E+0	3.695832869303E+9	173.9902193956E-3	466.6401384631E-3
83E+0	3.695832869308E+9	962.2417899E-3	447.5134632677E-3
84E+0	3.695832869331E+9	507.5860010749E-3	423.9153814756E-3
85E+0	3.695832869339E+9	673.9117491604E-3	396.0816773197E-3
86E+0	3.695832869351E+9	696.7124764929E-3	364.2904559711E-3
87E+0	3.695832869357E+9	835.8552328821E-3	328.8593648049E-3
88E+0	3.695832869379E+9	484.1432797271E-3	290.1424195721E-3
89E+0	3.695832869385E+9	723.7270386252E-3	248.5264671911E-3
90E+0	3.695832869403E+9	853.8063513167E-3	204.427320502E-3
91E+0	3.695832869409E+9	983.7428810469E-3	158.2856036011E-3
92E+0	3.695832869431E+9	201.5553026559E-3	110.5623492712E-3
93E+0	3.695832869437E+9	413.6965269121E-3	61.73439249454E-3
94E+0	3.695832869452E+9	147.0085913203E-3	12.28960607471E-3
95E+0	3.695832869459E+9	704.1653775997E-3	-37.27797402662E-3
96E+0	3.695832869471E+9	531.6125033081E-3	-86.47308493393E-3
97E+0	3.69583286948E+9	758.9055834377E-3	-134.8041853608E-3
98E+0	3.69583286951E+9	261.1628567317E-3	-181.7883669278E-3
99E+0	3.695832869518E+9	41.99604134374E-3	-226.9561792238E-3
100E+0	3.695832869533E+9	89.26266255542E-3	0E+0
