#2021-02-12
#10:05
#Balayage par: lalg1702
#ScanTask Size: 11,4


#Tools.Indice de points(Points)	Tools.Time(s)                 	Tools.ScanPar(Arb)            	Tools.Crb 1 Dat(Arb)          	Tools.Temps Abs(ms)           	Tools.Random Number(Arb)      
0E+0	3.695987106767E+9	0E+0	0E+0	3.695987106767E+9	838.7583524431E-3
1E+0	3.695987106772E+9	0E+0	50.92338303785E-3	3.695987106772E+9	771.407506501E-3
2E+0	3.695987106775E+9	0E+0	101.3379564654E-3	3.695987106775E+9	457.3674295931E-3
3E+0	3.695987106777E+9	0E+0	150.7399945299E-3	3.695987106777E+9	532.7558520851E-3
4E+0	3.695987106779E+9	0E+0	198.635888397E-3	3.695987106779E+9	506.8986971211E-3
5E+0	3.695987106783E+9	0E+0	244.5470781275E-3	3.695987106783E+9	72.83788220377E-3
6E+0	3.695987106866E+9	0E+0	288.0148342899E-3	3.695987106866E+9	768.9841138623E-3
7E+0	3.695987106868E+9	0E+0	328.6048414332E-3	3.695987106868E+9	765.7011081438E-3
8E+0	3.695987106868E+9	0E+0	365.9115376231E-3	3.695987106869E+9	304.7663775954E-3
9E+0	3.69598710687E+9	0E+0	399.5621666834E-3	3.69598710687E+9	841.219051136E-3
10E+0	3.695987106871E+9	0E+0	429.2205026519E-3	3.695987106871E+9	997.9609264416E-3
0E+0	3.695987106871E+9	1E+0	0E+0	3.695987106871E+9	614.9835896466E-3
1E+0	3.695987106872E+9	1E+0	50.92338303785E-3	3.695987106872E+9	262.6340779595E-3
2E+0	3.695987106873E+9	1E+0	101.3379564654E-3	3.695987106873E+9	691.4760441261E-3
3E+0	3.695987106874E+9	1E+0	150.7399945299E-3	3.695987106874E+9	488.2005207726E-3
4E+0	3.695987106875E+9	1E+0	198.635888397E-3	3.695987106875E+9	680.4847738641E-3
5E+0	3.695987106884E+9	1E+0	244.5470781275E-3	3.695987106884E+9	42.27784762287E-3
6E+0	3.695987106918E+9	1E+0	288.0148342899E-3	3.695987106919E+9	335.086807033E-3
7E+0	3.69598710692E+9	1E+0	328.6048414332E-3	3.69598710692E+9	290.8941261356E-3
8E+0	3.695987106921E+9	1E+0	365.9115376231E-3	3.695987106921E+9	673.0284020338E-3
9E+0	3.695987106922E+9	1E+0	399.5621666834E-3	3.695987106922E+9	887.6746128975E-3
10E+0	3.695987106923E+9	1E+0	429.2205026519E-3	3.695987106923E+9	246.0363883191E-3
0E+0	3.695987106924E+9	2E+0	0E+0	3.695987106924E+9	555.5795663756E-3
1E+0	3.695987106926E+9	2E+0	50.92338303785E-3	3.695987106926E+9	779.733453871E-3
2E+0	3.695987106926E+9	2E+0	101.3379564654E-3	3.695987106926E+9	235.5914052871E-3
3E+0	3.695987106928E+9	2E+0	150.7399945299E-3	3.695987106928E+9	135.4109902089E-3
4E+0	3.695987106958E+9	2E+0	198.635888397E-3	3.695987106958E+9	375.2766277575E-3
5E+0	3.695987106959E+9	2E+0	244.5470781275E-3	3.695987106959E+9	444.1184260269E-3
6E+0	3.69598710696E+9	2E+0	288.0148342899E-3	3.69598710696E+9	183.8962924534E-3
7E+0	3.69598710696E+9	2E+0	328.6048414332E-3	3.695987106961E+9	532.08278646E-3
8E+0	3.695987106962E+9	2E+0	365.9115376231E-3	3.695987106962E+9	102.7744257245E-3
9E+0	3.695987106963E+9	2E+0	399.5621666834E-3	3.695987106963E+9	175.2051602175E-3
10E+0	3.695987106964E+9	2E+0	429.2205026519E-3	3.695987106964E+9	517.6851097441E-3
0E+0	3.695987106964E+9	3E+0	0E+0	3.695987106964E+9	464.9964608752E-3
1E+0	3.695987106965E+9	3E+0	50.92338303785E-3	3.695987106965E+9	979.2815637756E-3
2E+0	3.695987106966E+9	3E+0	101.3379564654E-3	3.695987106966E+9	208.0262695914E-3
3E+0	3.695987106967E+9	3E+0	150.7399945299E-3	3.695987106967E+9	84.37299073054E-3
4E+0	3.695987106968E+9	3E+0	198.635888397E-3	3.695987106968E+9	793.0635536289E-3
5E+0	3.695987106979E+9	3E+0	244.5470781275E-3	3.695987106979E+9	143.1177521908E-3
6E+0	3.69598710698E+9	3E+0	288.0148342899E-3	3.69598710698E+9	626.9277584963E-3
7E+0	3.695987106981E+9	3E+0	328.6048414332E-3	3.695987106981E+9	529.1689001127E-3
8E+0	3.695987106982E+9	3E+0	365.9115376231E-3	3.695987106982E+9	592.4788591654E-3
9E+0	3.695987106983E+9	3E+0	399.5621666834E-3	3.695987106983E+9	56.99072519459E-3
10E+0	3.695987106984E+9	3E+0	429.2205026519E-3	3.695987106984E+9	473.0779946836E-3
