#2021-04-26
#4:37 PM
#Balayage par: dphy-morrislab
#Description Keyword: 
#ScanTask Size: 71
##Instrument: Triax320@Triax320.lvclass Function:Position (nm); Parameters:*BeforeWait(ms):0*AfterWait(ms):0; Grating#: 2; Line Density(Grv/mm): 950; Blaze: 900nm; Input Slit(mm): 2.000; Output Slit(mm): 1.000;
#Instrument: SR830@SR830.lvclass Function:Read X,Y,Mag & Phase (V,V,V,°); Parameters:*BeforeWait(ms):0*AfterWait(ms):0Phase Shift: 79.02°; Reference Source: External; Reference Frequency: 366.226Hz; Reference Trigger: Sine Zero Crossing; Detection Harmonic: 1; Sine Amplitude: 1V; Input Configuration: A; Input Shield: Ground; Input Coupling: DC; 1xLineFilter: Off; 2xLineFilter: On; Sensitivity: 500µV/pA; Dynamic Reserve: Low; Time Constant: 300 ms; Low Pass Filter: 24 dB/oct; Sync Filter: Off; Expand X: Off, Offset: 0%; Expand Y: Off, Offset: 0%; Expand R: Off, Offset: 0%; 

#Triax320.Position(nm)         	SR830.X(V)                    	SR830.Y(V)                    	SR830.Mag(V)                  	SR830.Phase(°)                
579.9572210526E+0	-268.223E-9	149.013E-9	298.025E-9	147.996E+0
580.9970526316E+0	-119.21E-9	-208.617E-9	208.617E-9	-118.608E+0
582.0368842105E+0	89.4074E-9	-625.852E-9	596.05E-9	-78.996E+0
582.9898105263E+0	29.8025E-9	-476.841E-9	447.037E-9	-83.658E+0
584.0293894737E+0	89.4074E-9	29.8025E-9	89.4074E-9	15.948E+0
584.9819368421E+0	-357.63E-9	178.815E-9	357.63E-9	151.188E+0
586.0210105263E+0	59.6051E-9	149.013E-9	149.013E-9	66.036E+0
586.9734315789E+0	0E+0	-89.4074E-9	59.6051E-9	-90E+0
588.0122526316E+0	-89.4074E-9	-327.827E-9	327.827E-9	-104.742E+0
588.9642947368E+0	89.4074E-9	327.827E-9	327.827E-9	70.71E+0
590.0028631579E+0	-149.013E-9	357.63E-9	357.63E-9	109.98E+0
591.0411789474E+0	-596.05E-9	29.8025E-9	566.248E-9	174.954E+0
591.9928421053E+0	-387.432E-9	0E+0	357.63E-9	180E+0
593.0309052632E+0	476.841E-9	0E+0	476.841E-9	0E+0
593.9823157895E+0	327.827E-9	-238.42E-9	387.432E-9	-33.69E+0
595.0198736842E+0	208.617E-9	-149.013E-9	238.42E-9	-29.748E+0
595.9710315789E+0	417.234E-9	-298.025E-9	506.643E-9	-33.18E+0
597.0083368421E+0	387.432E-9	-327.827E-9	476.841E-9	-36.87E+0
597.9593684211E+0	-238.42E-9	-59.6051E-9	208.617E-9	-171.87E+0
598.9962947368E+0	-745.062E-9	149.013E-9	745.062E-9	167.196E+0
600.0333473684E+0	-566.248E-9	566.248E-9	774.864E-9	134.148E+0
600.9836210526E+0	0E+0	178.815E-9	178.815E-9	90E+0
602.0202947368E+0	-89.4074E-9	149.013E-9	149.013E-9	119.052E+0
602.9704421053E+0	0E+0	298.025E-9	298.025E-9	86.82E+0
604.0066105263E+0	89.4074E-9	0E+0	89.4074E-9	9.462E+0
605.0427789474E+0	447.037E-9	-119.21E-9	447.037E-9	-14.532E+0
605.9924210526E+0	-29.8025E-9	-387.432E-9	357.63E-9	-92.49E+0
607.0282105263E+0	-29.8025E-9	-119.21E-9	89.4074E-9	-99.462E+0
607.9776E+0	-298.025E-9	566.248E-9	625.852E-9	116.562E+0
609.0131368421E+0	-506.643E-9	298.025E-9	566.248E-9	146.766E+0
609.9621473684E+0	59.6051E-9	149.013E-9	178.815E-9	63.438E+0
610.9973052632E+0	178.815E-9	-596.05E-9	596.05E-9	-70.56E+0
612.0323368421E+0	178.815E-9	-506.643E-9	506.643E-9	-68.196E+0
612.9809684211E+0	-149.013E-9	59.6051E-9	149.013E-9	147.996E+0
614.0156210526E+0	-417.234E-9	59.6051E-9	387.432E-9	168.69E+0
614.9638736842E+0	-506.643E-9	-417.234E-9	625.852E-9	-140.196E+0
615.9981473684E+0	-387.432E-9	268.223E-9	447.037E-9	142.308E+0
617.0324210526E+0	-238.42E-9	178.815E-9	268.223E-9	139.764E+0
617.9802947368E+0	-327.827E-9	-268.223E-9	357.63E-9	-140.196E+0
619.0140631579E+0	-208.617E-9	238.42E-9	327.827E-9	126.87E+0
619.9616842105E+0	-178.815E-9	0E+0	149.013E-9	174.288E+0
620.9952E+0	238.42E-9	-59.6051E-9	238.42E-9	-10.62E+0
622.0284631579E+0	-119.21E-9	-178.815E-9	178.815E-9	-120.966E+0
622.9755789474E+0	208.617E-9	-298.025E-9	357.63E-9	-50.526E+0
624.0087157895E+0	298.025E-9	-327.827E-9	447.037E-9	-45E+0
625.0416E+0	59.6051E-9	-268.223E-9	238.42E-9	-75.066E+0
625.9882105263E+0	-298.025E-9	-178.815E-9	298.025E-9	-152.1E+0
627.0207157895E+0	-298.025E-9	-268.223E-9	357.63E-9	-138.576E+0
627.9670736842E+0	208.617E-9	149.013E-9	238.42E-9	34.698E+0
628.9993263158E+0	-119.21E-9	89.4074E-9	149.013E-9	130.602E+0
630.0313263158E+0	-268.223E-9	-89.4074E-9	238.42E-9	-161.568E+0
630.9771789474E+0	0E+0	387.432E-9	387.432E-9	87.612E+0
632.0089263158E+0	59.6051E-9	208.617E-9	238.42E-9	70.344E+0
633.0404210526E+0	208.617E-9	-149.013E-9	238.42E-9	-31.608E+0
633.9857684211E+0	298.025E-9	-387.432E-9	476.841E-9	-49.188E+0
635.0170105263E+0	178.815E-9	-387.432E-9	387.432E-9	-63.438E+0
635.9623578947E+0	-208.617E-9	208.617E-9	298.025E-9	128.16E+0
636.9930947368E+0	-566.248E-9	327.827E-9	625.852E-9	147.528E+0
638.0238315789E+0	-29.8025E-9	-119.21E-9	89.4074E-9	-99.462E+0
638.9684210526E+0	29.8025E-9	178.815E-9	178.815E-9	80.538E+0
639.9989052632E+0	-238.42E-9	268.223E-9	327.827E-9	127.404E+0
641.0290105263E+0	-89.4074E-9	-119.21E-9	119.21E-9	-129.804E+0
641.9732210526E+0	178.815E-9	0E+0	178.815E-9	0E+0
643.0029473684E+0	29.8025E-9	59.6051E-9	89.4074E-9	59.034E+0
644.0326736842E+0	-178.815E-9	-238.42E-9	238.42E-9	-124.698E+0
644.9763789474E+0	-566.248E-9	-59.6051E-9	536.445E-9	-174.804E+0
646.0057263158E+0	-357.63E-9	238.42E-9	417.234E-9	142.698E+0
647.0349473684E+0	506.643E-9	327.827E-9	596.05E-9	32.826E+0
647.9780210526E+0	149.013E-9	208.617E-9	268.223E-9	54.462E+0
649.0069894737E+0	149.013E-9	89.4074E-9	178.815E-9	30.966E+0
650.0355789474E+0	-238.42E-9	-89.4074E-9	238.42E-9	-164.052E+0
