#2021-12-09
#9:46:03 AM
#Balayage par: dphy-morrislab
#Description Keyword: 
#ScanTask Size: 50000
##Instrument: Tools@Tools.lvclass; Function:Minuteur (s); Parameters: *BeforeWait(ms): 0;*AfterWait(ms): 0; 
#Instrument: LSCI332@LSCI332.lvclass; Function:Read_InputB&Heater (K,S,%,W); Parameters: *BeforeWait(ms): 0;*AfterWait(ms): 0; Input A Parameters: Sensor Type: 7.5V 1mA; Compensation: OFF; Curve Number: 28; Filtering : On; Filter Points: 45; Window %: 7; Input B Parameters: Sensor Type: Silicon Diode; Compensation: OFF; Curve Number: 2; Filtering : OFF; Filter Points: 8; Window %: 1; Heat Range: Off; Heater Power: 0.00W; Heater Output: 0.00%; Heater Resistance: 50 Ohms; Loop 1 Parameters: Ctrl Input: B; Ctrl Mode: Manual PID; Setpoint Units: Kelvin; Heater Units: Current; Power Up Enable: NO; Proportional Val: 40.00; Integral Val: 30.00; Derivative Val: 0; Setpoint: 280.00; Ramp Mode: OFF; Ramp Rate 1.00K/min; Manual Output: 0.00;  Loop 2 Parameters: Ctrl Input: A; Ctrl Mode: Manual PID; Setpoint Units: Sensor Units; Heater Units: Current; Power Up Enable: NO; Proportional Val: 50.00; Integral Val: 20.00; Derivative Val: 0; Setpoint: 0.00; Ramp Mode: OFF; Ramp Rate 0.00K/min; Manual Output: 0.00;  
#
#Tools.Time(s)                 	LSCI332.Temp(K)               	LSCI332.Sensor(U)             	LSCI332.Heater(%)             	LSCI332.Heater(W)             
3.721905968544E+9	294.22E+0	572.9E-3	0E+0	0E+0
3.721905970585E+9	294.22E+0	572.9E-3	0E+0	0E+0
3.721905972624E+9	294.23E+0	572.9E-3	0E+0	0E+0
3.721905974655E+9	294.22E+0	572.9E-3	0E+0	0E+0
3.721905976684E+9	294.23E+0	572.9E-3	0E+0	0E+0
3.721905978725E+9	294.23E+0	572.9E-3	0E+0	0E+0
3.721905980754E+9	294.23E+0	572.9E-3	0E+0	0E+0
3.721905982785E+9	294.23E+0	572.9E-3	0E+0	0E+0
3.721905984825E+9	294.23E+0	572.9E-3	0E+0	0E+0
3.721905986855E+9	294.23E+0	572.9E-3	0E+0	0E+0
3.721905988885E+9	294.23E+0	572.9E-3	0E+0	0E+0
3.721905990916E+9	294.23E+0	572.9E-3	0E+0	0E+0
3.721905992954E+9	294.23E+0	572.9E-3	0E+0	0E+0
3.721905994986E+9	294.23E+0	572.9E-3	0E+0	0E+0
3.721905997025E+9	294.23E+0	572.9E-3	0E+0	0E+0
3.721905999056E+9	294.23E+0	572.9E-3	0E+0	0E+0
3.721906001085E+9	294.23E+0	572.9E-3	0E+0	0E+0
3.721906003115E+9	294.23E+0	572.9E-3	0E+0	0E+0
3.721906005155E+9	294.23E+0	572.9E-3	0E+0	0E+0
3.721906007184E+9	294.23E+0	572.9E-3	0E+0	0E+0
3.721906009215E+9	294.23E+0	572.9E-3	0E+0	0E+0
3.721906011255E+9	294.23E+0	572.9E-3	0E+0	0E+0
3.721906013285E+9	294.23E+0	572.9E-3	0E+0	0E+0
3.721906015315E+9	294.23E+0	572.9E-3	0E+0	0E+0
3.721906017355E+9	294.23E+0	572.9E-3	0E+0	0E+0
3.721906019385E+9	294.23E+0	572.9E-3	0E+0	0E+0
3.721906021415E+9	294.23E+0	572.9E-3	0E+0	0E+0
3.721906023455E+9	294.23E+0	572.9E-3	0E+0	0E+0
3.721906025485E+9	294.24E+0	572.9E-3	0E+0	0E+0
3.721906027515E+9	294.24E+0	572.9E-3	0E+0	0E+0
3.721906029555E+9	294.24E+0	572.9E-3	0E+0	0E+0
3.721906031586E+9	294.24E+0	572.9E-3	0E+0	0E+0
3.721906033615E+9	294.24E+0	572.9E-3	0E+0	0E+0
3.721906035656E+9	294.24E+0	572.9E-3	0E+0	0E+0
3.721906037686E+9	294.24E+0	572.9E-3	0E+0	0E+0
3.721906039716E+9	294.24E+0	572.9E-3	0E+0	0E+0
3.721906041755E+9	294.24E+0	572.9E-3	0E+0	0E+0
3.721906043785E+9	294.24E+0	572.9E-3	0E+0	0E+0
3.721906045816E+9	294.24E+0	572.9E-3	0E+0	0E+0
3.721906047845E+9	294.24E+0	572.9E-3	0E+0	0E+0
3.721906049885E+9	294.24E+0	572.9E-3	0E+0	0E+0
3.721906051915E+9	294.24E+0	572.9E-3	0E+0	0E+0
3.721906053946E+9	294.24E+0	572.9E-3	0E+0	0E+0
3.721906055986E+9	294.24E+0	572.9E-3	0E+0	0E+0
3.721906058015E+9	294.24E+0	572.9E-3	0E+0	0E+0
3.721906060046E+9	294.24E+0	572.9E-3	0E+0	0E+0
3.721906062085E+9	294.24E+0	572.9E-3	0E+0	0E+0
3.721906064116E+9	294.24E+0	572.9E-3	0E+0	0E+0
3.721906066146E+9	294.24E+0	572.9E-3	0E+0	0E+0
3.721906068186E+9	294.24E+0	572.9E-3	0E+0	0E+0
3.721906070215E+9	294.24E+0	572.9E-3	0E+0	0E+0
3.721906072245E+9	294.25E+0	572.9E-3	0E+0	0E+0
3.721906074285E+9	294.25E+0	572.9E-3	0E+0	0E+0
3.721906076316E+9	294.25E+0	572.9E-3	0E+0	0E+0
3.721906078346E+9	294.25E+0	572.9E-3	0E+0	0E+0
3.721906080386E+9	294.25E+0	572.9E-3	0E+0	0E+0
3.721906082416E+9	294.25E+0	572.9E-3	0E+0	0E+0
3.721906084446E+9	294.25E+0	572.9E-3	0E+0	0E+0
3.721906086486E+9	294.23E+0	572.9E-3	0E+0	0E+0
3.721906088516E+9	294.17E+0	573.1E-3	0E+0	0E+0
3.721906090545E+9	293.97E+0	573.5E-3	0E+0	0E+0
3.721906092586E+9	293.6E+0	574.4E-3	0E+0	0E+0
3.721906094617E+9	292.98E+0	575.8E-3	0E+0	0E+0
3.721906096646E+9	292.26E+0	577.4E-3	0E+0	0E+0
3.721906098686E+9	291.46E+0	579.3E-3	0E+0	0E+0
3.721906100716E+9	290.57E+0	581.3E-3	0E+0	0E+0
3.721906102746E+9	289.69E+0	583.3E-3	0E+0	0E+0
3.721906104786E+9	288.78E+0	585.4E-3	0E+0	0E+0
3.721906106817E+9	287.8E+0	587.7E-3	0E+0	0E+0
3.721906108846E+9	286.84E+0	589.9E-3	0E+0	0E+0
3.721906110876E+9	285.85E+0	592.1E-3	0E+0	0E+0
3.721906112906E+9	284.84E+0	594.6E-3	0E+0	0E+0
3.721906114936E+9	283.76E+0	596.9E-3	0E+0	0E+0
3.721906116966E+9	282.71E+0	599.3E-3	0E+0	0E+0
3.721906119006E+9	281.64E+0	601.8E-3	0E+0	0E+0
3.721906121036E+9	280.51E+0	604.4E-3	0E+0	0E+0
3.721906123066E+9	279.42E+0	606.9E-3	0E+0	0E+0
3.721906125106E+9	278.31E+0	609.4E-3	0E+0	0E+0
3.721906127136E+9	277.13E+0	612.1E-3	0E+0	0E+0
3.721906129167E+9	276E+0	614.7E-3	0E+0	0E+0
3.721906131206E+9	274.86E+0	617.2E-3	0E+0	0E+0
3.721906133237E+9	273.66E+0	620E-3	0E+0	0E+0
3.721906135266E+9	272.52E+0	622.6E-3	0E+0	0E+0
3.721906137307E+9	271.36E+0	625.2E-3	0E+0	0E+0
3.721906139338E+9	270.14E+0	628E-3	0E+0	0E+0
3.721906141366E+9	268.98E+0	630.6E-3	0E+0	0E+0
3.721906143397E+9	267.81E+0	633.3E-3	0E+0	0E+0
3.721906145437E+9	266.58E+0	636.1E-3	0E+0	0E+0
3.721906147466E+9	265.4E+0	638.7E-3	0E+0	0E+0
3.721906149496E+9	264.22E+0	641.4E-3	0E+0	0E+0
3.721906151537E+9	262.98E+0	644.2E-3	0E+0	0E+0
3.721906153567E+9	261.79E+0	646.9E-3	0E+0	0E+0
3.721906155596E+9	260.6E+0	649.6E-3	0E+0	0E+0
3.721906157637E+9	259.39E+0	652.5E-3	0E+0	0E+0
3.721906159666E+9	258.12E+0	655.2E-3	0E+0	0E+0
3.721906161697E+9	256.91E+0	657.9E-3	0E+0	0E+0
3.721906163727E+9	255.7E+0	660.6E-3	0E+0	0E+0
3.721906165757E+9	254.42E+0	663.5E-3	0E+0	0E+0
3.721906167786E+9	253.2E+0	666.3E-3	0E+0	0E+0
3.721906169828E+9	251.99E+0	669E-3	0E+0	0E+0
3.721906171867E+9	250.71E+0	671.9E-3	0E+0	0E+0
3.721906173897E+9	249.49E+0	674.6E-3	0E+0	0E+0
3.721906175937E+9	248.27E+0	677.3E-3	0E+0	0E+0
3.721906177968E+9	246.99E+0	680.2E-3	0E+0	0E+0
3.721906179997E+9	245.77E+0	683E-3	0E+0	0E+0
3.721906182037E+9	244.55E+0	685.7E-3	0E+0	0E+0
3.721906184067E+9	243.27E+0	688.6E-3	0E+0	0E+0
3.721906186097E+9	242.04E+0	691.3E-3	0E+0	0E+0
3.721906188127E+9	240.81E+0	694E-3	0E+0	0E+0
3.721906190157E+9	239.52E+0	696.9E-3	0E+0	0E+0
3.721906192188E+9	238.29E+0	699.6E-3	0E+0	0E+0
3.721906194218E+9	237.06E+0	702.4E-3	0E+0	0E+0
3.721906196258E+9	235.84E+0	705.2E-3	0E+0	0E+0
3.721906198287E+9	234.56E+0	707.9E-3	0E+0	0E+0
3.721906200317E+9	233.35E+0	710.6E-3	0E+0	0E+0
3.721906202357E+9	232.13E+0	713.3E-3	0E+0	0E+0
3.721906204387E+9	230.85E+0	716.2E-3	0E+0	0E+0
3.721906206427E+9	229.63E+0	718.9E-3	0E+0	0E+0
3.721906208467E+9	228.41E+0	721.7E-3	0E+0	0E+0
3.721906210497E+9	227.12E+0	724.4E-3	0E+0	0E+0
3.721906212528E+9	225.9E+0	727.1E-3	0E+0	0E+0
3.721906214567E+9	224.67E+0	729.8E-3	0E+0	0E+0
3.721906216598E+9	223.38E+0	732.7E-3	0E+0	0E+0
3.721906218628E+9	222.15E+0	735.4E-3	0E+0	0E+0
3.721906220667E+9	220.94E+0	738E-3	0E+0	0E+0
3.721906222698E+9	219.66E+0	740.9E-3	0E+0	0E+0
3.721906224727E+9	218.44E+0	743.5E-3	0E+0	0E+0
3.721906226768E+9	217.22E+0	746.2E-3	0E+0	0E+0
3.721906228798E+9	215.94E+0	749E-3	0E+0	0E+0
3.721906230827E+9	214.73E+0	751.7E-3	0E+0	0E+0
3.721906232868E+9	213.51E+0	754.4E-3	0E+0	0E+0
3.721906234898E+9	212.23E+0	757.1E-3	0E+0	0E+0
3.721906236928E+9	211.01E+0	759.8E-3	0E+0	0E+0
3.721906238959E+9	209.79E+0	762.5E-3	0E+0	0E+0
3.721906240997E+9	208.51E+0	765.2E-3	0E+0	0E+0
3.721906243027E+9	207.3E+0	767.9E-3	0E+0	0E+0
3.721906245057E+9	206.08E+0	770.5E-3	0E+0	0E+0
3.721906247098E+9	204.8E+0	773.3E-3	0E+0	0E+0
3.721906249128E+9	203.59E+0	775.9E-3	0E+0	0E+0
3.721906251158E+9	202.38E+0	778.6E-3	0E+0	0E+0
3.721906253198E+9	201.17E+0	781.3E-3	0E+0	0E+0
3.721906255228E+9	199.9E+0	783.9E-3	0E+0	0E+0
3.721906257268E+9	198.7E+0	786.6E-3	0E+0	0E+0
3.721906259308E+9	197.42E+0	789.3E-3	0E+0	0E+0
3.721906261338E+9	196.2E+0	791.9E-3	0E+0	0E+0
3.721906263368E+9	194.97E+0	794.6E-3	0E+0	0E+0
3.721906265408E+9	193.76E+0	797.3E-3	0E+0	0E+0
3.721906267438E+9	192.48E+0	799.9E-3	0E+0	0E+0
3.721906269469E+9	191.25E+0	802.5E-3	0E+0	0E+0
3.721906271508E+9	190.04E+0	805.2E-3	0E+0	0E+0
3.721906273548E+9	188.76E+0	807.9E-3	0E+0	0E+0
3.721906275578E+9	187.54E+0	810.5E-3	0E+0	0E+0
3.721906277618E+9	186.32E+0	813.2E-3	0E+0	0E+0
3.721906279648E+9	185.04E+0	815.9E-3	0E+0	0E+0
3.721906281689E+9	183.81E+0	818.5E-3	0E+0	0E+0
3.721906283728E+9	182.51E+0	821.2E-3	0E+0	0E+0
3.721906285758E+9	181.28E+0	823.8E-3	0E+0	0E+0
3.721906287798E+9	180.05E+0	826.4E-3	0E+0	0E+0
3.721906289839E+9	178.76E+0	829.2E-3	0E+0	0E+0
3.721906291869E+9	177.53E+0	831.8E-3	0E+0	0E+0
3.721906293898E+9	176.31E+0	834.4E-3	0E+0	0E+0
3.721906295939E+9	175.03E+0	837.1E-3	0E+0	0E+0
3.721906297968E+9	173.81E+0	839.7E-3	0E+0	0E+0
3.721906299998E+9	172.58E+0	842.3E-3	0E+0	0E+0
3.721906302039E+9	171.35E+0	845E-3	0E+0	0E+0
